excellent 	 first trip New York unsure stay . location really important we since ticket concert Madison Square Gardens ( across road ) , decide Affinia Manhattan . Macy 's couple block away great local eating , thrilled choice . room large add bonus kitchenette make great place stay . can not thank concierge staff enough help ticket , sightseeing etc . local knowledge friendly service help make trip . yes , bathroom small perfectly adequate , yes noisy middle Manhattan - think add experience ! 
 Fabulous stay Affinia 	 stay 5 night Affinia Manhatten studio suite everything great . two comfortable double bed enough three adult . housekeep excellent problem anything need , quick phone call reception sort . room 25th floor noise bad , fire engine street , often . need good diner area good one go back entrance Madison squre garden call Stage door deli , thanksgiven dinner delicious . thank Amy help book , definitely recommend Affinia family friend , can not wait go back . 
 excellent city - great base hotel 	 stay Affinia 23rd 28th November . I do great deal research hotel find one thought would good bet . once get room sort ( change 3 time first one tub second overlook internal courtyard 3 foot away somebody else window ! ) - finally get room 8th floor overlook maddison square garden . great room . could see way times square buzz city life . the Concierge hotel fantastic - Maureen Ashley great ask advice help regard transportation etc buy UGG boot ( thank Ashley ! ) another lady ( sorry can not remember name ) recommend AMAZING Thai restaurant Chelsea - 10 minute walk hotel . food Spice good go twice ! - amazing cocktail , wait staff amazing never felt rush . chance go , go ! bar next door Niles great - reasonably price , great cocktail great service - include great banter bar staff ! ! ! love new york can not wait come back honeymoon although think would stay somewhere else inthe city - not love Affinia would like see something different . 
 love Affinia Manhattan ! 	 love hotel . room great ! room patio 26th floor . husband smoker work well kid hate smoke ! room spacious . bathroom small clean . bedroom great . living room kitchen spacious . problem noise . still hear siren taxi horn ! would recommend hotel family kitchen seperate bedroom . really enjoy first trip New York City ! 
 City Noise 	 teenage daughter stay one night 11/2009 . 17th floor face Madison Square Garden train station . the one negative hotel street noise . hear loud clear . ask room back away street high floor . room clean yes bathroom small planning speding lot time . tv old model , work city look tv . staff friendly helpful . locked room suitacase , room ready . room clean somewaht outdated decor . less $ 200 night 2 queen bed kitchenette well worth money . 
 Hotel need major makeover 	 Hotel book company 's travel agent , upon check realize make mistake , elevator old . arrive floor hall carpet dirty , wallpaper peel wall . continue room upon enter surprised , room big standard room NYC , furniture old . open bathroom killer , shower 3 foot 2feet wide whole bathroom maybe 4 foot wide , stay hotel . 
 warn ! ! ! 	 book 4 - star room Priceline ( first mistake ) . day check , call 1 - 800 reservation number confirm reservation ( base review TA ) request high - floor quiet room ( know well room high floor ) . confirm telephone agent . when check , give room 10th floor . point not match request , informed request note , high floor would extra $ 100 , special gesture , have give $ 50 . refuse pay extra , decide check room offer . room awful , say least . grant , room large ( especially Manhattan hotel ) , obviously date mid-80 good . carpet seem dirty , furniture old beat , overall one would expect two - star motel - 4 - star hotel pay for . I politely , firmly insist front desk manager want move room keep reservation request . move another , admittedly large , room , still calibre . , refuse offer , demand room least somewhat resemble room display hotel 's website ( use term & quot ; false advertizing & quot ; , feel case ) . eventually move room keeping pay , request , see hotel 's website . be warn : Afinia Manhattan renovation . renovate room good deal : large , offer small kitchenette , up - to - date furnishing hotel exceedingly convenient location . unrenovated room old tired . term & quot ; standard room & quot ; Afinia 's euphemism & quot ; dirty , old , decrepit room & quot ; . not accept & quot ; standard & quot ; room , not accept pay supplement renovated room . demand give room match hotel ' advertisement , pay for . business obligation truthful advertising . course , hotel always use photograph show amenity well , display photo update portion hotel expect guest accept less unacceptably misleading . btw , first last time book Priceline - another topic . 
 May 19 2009 	 large room + comfortable bed + helpful staff + great deal = happy customer ! 	 New York friend April 29 - May 1st look comfortable hotel within walk distance major site - reasonable price . much deliberation , choose Affinia Manhattan . we book incredible deal Travelzoo $ 119 / night Studio room . we arrive via taxi LGA hotel super easy find - 's kiddie - corner Penn Station ! lobby lovely lot marble chair hang . check take minute room . our room corner room 25th floor two comfortable double bed nice linen , desk , chair , mini - kitchen ( full - sized fridge , small stove , small sink , small counter area dish / pan / glass ) large closet ( plus coat closet ) tiny bathroom . we pleasantly surprise much room ! much room able take iron board leave entire stay . try ny hotel ! bath really small - definitely one - person time bath . tile update , window open let natural light shower work great . oh , Aveda product ! mention , bed comfy linen crisp ( soft ) - ' m really picky bed linen ! outside room , not spend much time neighborhood . hear place next door ( Niles ) good , not time check . lunch Cafe Europa street one day walk liquor store block two away buy champagne . , walk 10 short block Times Square , make home base start day . literally walk hotel take right onto Seventh Avenue run right Times Square . not scare 10 block ... really quick walk ! walk Times Square , Circle Line dock , Central Park , Rockefeller Center , etc . think take cab twice entire stay . the location also super convenient we leave walk right across street Penn Station catch train Long Beach . as far service concern , lady concierge desk helpful give we great tip restaurant show . they room service pretty speedy even though thing order champagne bucket glass . sometimes get attitude not order food .... bellman helpful luggage hail cab need it . overall , room little tired probably need update , clean comfortable amazing value . would not minded pay good ! really happy whole stay nothing complain . we , take $ 100 / night would pay mediocre room close Times Square spend show nice dinner . we never problem noise like other mention review , maybe high floor.if not look luxury want nice , clean , convenient place stay , favor give Affinia Manhattan try . bet will not disappoint . 
 May 18 2009 	 good family kid space 	 stay want close proximity Penn station ( across street ) . pro : room huge NYC standard . separate kitchen living area . think would great family child , would give plenty room spread , cook , etc . lobby nice staff quite friendly . location okay want sort close Times Square ; never really like location . bed comfortable ; Aveda product great . con : kitchen bathroom little old ; make feel like recent college graduate 's apartment ; fact , remind first place Manhattan ; air - conditioner window ac much noise ( air ! ) street come room ; tv old reception channel not great ; internet free , even business center . luxurious stay , great family . 
 May 18 2009 	 even though be inexpensive will not ever back . 	 stay Affinia past Friday night , never , ever go back . although relatively inexpensive , say ' ve stay well price NYC . place severely need remodel . hallway smell periodically would see white dust floor guess sheetrock get bump something . see patch two day evidently one bother clean . room alright . much well Holiday Inn . & quot ; order pillow & quot ; thing not partake can not speak . bed uncomfortable probably bad night sleep ' ve . coffee provide room , coffee maker . front desk check - in people friendly , woman work concierge desk attitude half . there & quot ; Disturb & quot ; sign room awoken 8:30am , 9 am , 9:45am 10:50am despite ask woman come back check - out time . call front desk ask late check - out tell hotel book . assure woman not try overstay welcome , circumstance ( awake 4 time housekeeping ) not think unreasonable provide extra hour ... especially since sign keep housekeeping away . told ' ve order sign front desk notice miss , respond & quot ; not notice miss wake second time , not realize would come back four time . would ' ve answer door housekeeping yet order accept sign anyway . & quot ; tone voice condescend arrogant . thanked tell would write lovely review hotel tripadvisor offer manager . hung , decide place , employee , worth time . , be cheap place stay , be cheap not even deserve three star . would accurate give place two star unless renovate . find boutique place inexpensive , character . least will clean . fool picture hotel website . would recommend place . 
 May 18 2009 	 want well stay Affinia 	 first time NY stay Affinia , dissapointe fantastic location hotel clean , comfortable , staff great . bit noisy that s New York ! ! ! can not wait go back WOW ! ! ! ! ! 
 may 16 2009 	 great value customer service 	 need place family stay Mother 's Day weekend could not pick well hotel . moment arrive walk door end weekend , every staff member encounter friendly helpful . even remember name ! pleased room , location , service value ' ve since recommend many friend continue ! 
 May 15 2009 	 great location room need serious remodel 	 fair , think good hotel room price pay ( $ 119 / night Travelzoo ) . big complaint website misrepresent hotel . lavish upscale website . room huge ( Manhattan ) little kitchen plenty walk space . everything really old ; bathroom need retile regrouted old tv . location also good be look mid - manhattan close train . 
 May 12 2009 	 hmmm brand consistent stay fine 	 choose hotel stay short 's across Penn station easy access EWR via NJ transit . stay Affinia Chicago newly remodel considerably nice one . walk room distinctly feel like Holiday Inn 1980 's . flashback . price reflect though kind shabby basic kitchen facility great since love fix b'fast stuff buy whole food . would not recommend hotel special NYC experience purely functional source basic lodging work . 
 May 12 2009 	 Loved ! 	 love Affinia Manhattan . room huge , bed comfy , location perfect , staff friendly . book TravelZoo get amazing rate $ 119 / night . price expect . yes , room old , huge compare NYC hotel . like apartment . 20th floor , street noise occasional siren . would recommend hotel anyone look great deal budget . 
 May 10 2009 	 Great Room 	 go NYC wife 40th birthday stay Hotel 5 night April . got 3 pm check straight away , wait . ask room high corner ( via mail previously ) get great room , view Empire State Building . staff helpful courteous throughout . room clean , tidy even balcony area exception , great addition . temp get quite high weekend stay miraculously table / chair brolly appear balcony , take advantage opportunity glass wine two whilst enjoy view . spend time Niles Bar / Restaurant next door , ok refreshment amble back sight seeing . fire station police station close , hear siren night , , real problem sleep - problem cause time difference . we eat breakfast good , bit pricey . see much aim see .... Empire State , Central Park , Rockafeller Centre , Times Square , Lincoln Centre , couple museum bit shop etc - great thoroughly enjoyable walk distance Hotel .. would stay explore south city next time . overall good would recommend Hotel . also would recommend Rockafeller Centre ESB , least esb part view . 
 May 10 2009 	 Good Solid Hotel 	 stay Affinia Manhattan 7 night end March / start April ' 09 . actually stay 6 night first night delay LA not make ny till next day . hotel exactly expect , grand lobby , date room nice clean decent location sightseeing first time visitor . studio room ( room 1918 ) 19th floor end corridor neighbours one side . room large , one queen bed , desk chair , arm chair , date kitchen tiny completely serviceable bathroom fantastic water pressure shower ! room clean keep clean stay . we find staff friendly extremely helpful whenever need . eat Niles restaurant one night really enjoy meal drink , eat bar farly early one night pre - theatre . food good reasonably price hotel restaurant . on whole Affinia Manhattan expect great price Travelzoo ( $ 119 weekend $ 149 weeknight ) . one four NYC hotel stay even though old style still measure pricey accommodation Thompson group . we would definitely reccommend anyone get good price like . 
 May 7 2009 	 noisy bad service - despite good location 	 stay couple time past . overall , hotel nice . two main problem : first , incredibly noisy , think AC build way hear everything go street ( even 15th floor ! ) . much noisy hotel level . and furthermore , service bad . really try nice , probably personnel poorly train . example , give username password internet , 2 hour midnight , non - stop call support team check connect . verify indeed right way connect , lady reassure . end day turn false , buy interent service get new username password . business trip , problem buying service , waste night thing ruin visit . noise , bad service : see . 
 May 5 2009 	 Nice Location Service Room need Work 	 New York brief conference , decide actually stay hotel event hold . change . usually will stay elsewhere make way hotel . not problem subway , fact typically enjoy , since rate Affinia one well one , decide would easier stay there . in general , ' m glad . need take grain salt , ready will get check . make sure realize old property , will probably okay get arrive room . notably , room reasonably well upholstered , small side , plaster aging , see crack , might large side . not going see central air , fact will not see thermostat kind . instead , get essentially steam - control radiator handle heat expel room . will also window unit ( air conditioner ) cool room , winter , unit tape shut keep cold air come room - hope not hit hot spell will open window cool thing down . finally , may want make sure not get & quot ; 17 & quot ; room ( 517 , 917 , etc ) . main steam pipe run closet , make room absolutely bake . even open outside window , outside temperature 30 , keep room nice 65 degree , bearable - mean outside noise increase quite bit . even close , window not block lot noise . 
 may 3 2009 	 definitely return 	 stay hotel 4 night get great rate Travelzoo . hotel great location , close everything ( e.g . Penn Station Macy 's block away ) .The staff really welcome friendly check process take less 5 minute . room 12th floor view 7th Avenue . room huge two ultra - comfortable queen size bed . small kitchen stove , big refrigerator , microwave , toaster coffeemaker . the bathroom nice clean shower good water pressure . everyone keep complain size bathroom think fine . not hit elbow wall get tangle shower curtain size bathroom ok . besides , not go New York spend time hotel room bathroom anyway .. also electric safe room , iron board , clock - radio tv 60 channel . on day departure take black car ( Lincoln Towncar ) hotel JFK . cost $ 55 ( incl . toll gratuity ) lot comfortable regular cab . we recommend hotel anyone plan trip New York City . 's perfect location , beautiful , comfortable , clean safe . friendly staff . will definitely return hotel next time visit New York . 
 May 2 2009 	 Great Value NY Hotel 	 could ask well location ? across road Madison Square Garden Penn Station , Affinia Manhattan great value accommodation option sophisticated traveller look budget level 5 star . room large , clean well appoint , separate bedroom full kitchen make perfect we travel three small kid . sure noise 7th avenue reach room - New York lullaby call - Manhattan ! want quiet would go Vermont right ? staff great , sharp helpful , concierge desk staff real pro be . well back , . 
 Apr 30 2009 	 Excellent choice 	 husband stay Affinia Manhattan 04/22 - 04/29 , celebrate wedding anniversary . book Travel - ticker get great average rate $ 134 , studio king size bed . arrive JFK take Airtrain Jamaica LIRR Penn Station , hotel time cheap . check - in quick staff friendly helpful . get really nice room 20th floor , balcony overlook Penn Station / MSG . room spotless . nice sized closet plenty room clothe shopping bag , iron iron - board safety box . room also work desk office chair plus another arm chair . also 6 - drawer dresser , 2 nightstand , kitchenette microwave , stove small fridge . location can not beat , across Penn Station use subway every day . Macy 's 34th street shop 3 block away Times sqaure one subway station away . would definitely go back would recommend other . 
