great 	 stay 5 night dad November 14th-20th . check quick easy , give room 10th floor view Empire State Building . room good size , twin bedroom pleased size . also electronic safe cupboard free use room clean everyday . breakfast fine - thought would probably go buy breakfast continental plenty choice always enough food go around . buffet style breakfast muffin , cereal , toast , youghurt , bagel etc tea coffee could help throughtout day night . hotel great location wise - road macy 's empire state 5 - 10 minute walk time square . beware though city never sleep - not think night sleep straight without woken binman 3 be noisy people come back hotel . window also break first night mean noise awful staff fix straight away next day complaint that . the hotel also sell ticket attraction exactly price attraction themseleve handy mean queue ! ! staff friendly really helpful , reccommended boat trip not even know fantastic . main attraction walk . People quick tell get taxi get everywhere walk 10 minute ! ! walk central park hotel John Lennon 's old house people could not understand walk 20 minute get ... place get underground Ground Zero walk Statue Liberty dock around ten minute that . when get give map everything seem really far away ... 's . save money walk , really not take long much traffic road 's worth get taxi . the security immense prepare prod poke ! 's good consider everything happen make think Britain . Top Rock , Empire Statue Liberty get search go metal detector etc go , understandable make feel secure plus not actually take long . come airport book Supershuttle.com go . excellent service , tip book ( tip huge thing place go eat actually add tip .. ask want leave anymore ! ! ) . share ride 4 couple take hour get hotel give we time take sight sound not mind . going home last get pick ride take 20 min ! 's cheap get taxi flat rate $ 43 one way . one final thing ... reccommend Keen 's steak house . literally round block hotel good meal ' ve ! ! expensive well worth . not go around 5/6pm though businessman go dinner get stupidly busy . go Sunday quiet . lovely place , excellent staff fab food . 
 Sep 9 2008 	 great find 	 arrive back week Hotel Metro , New York . read negative review site book delighted ignore . minute arrive Reception staff unfailingly welcome helpful . room adequate size bearing mind New York bathroom recently update super large shower cubicle . good quality toiletry welcome travel hand luggage . window look Empire State Building illuminated night . breakfast fresh fruit , yoghourt , cheese , muffin various pastry plus toast set we day hot drink available day lovely bonus arrive back hard day sightseeing . use take room collapse bed . free wireless access two computer bonus . great roof garden lovely food spoil bring restaurant ground floor cold plate food cold drink include wine serve plastic glass . situation could not better right middle Manhattan subway station 50 yard away . pizza place corner great snack impress Brendons across road . Bryant Park 42nd Street great place rest neighbourhood . table , chair , free newspaper , book game chess . hand luggage easy get hotel air train / subway . get quick people take taxi . 
 Sep 1 2008 	 fantastic hotel stay every visit 7 year 	 hotel stay consistently favourite 7 year . service staff brilliant nothing much trouble . stay every year sometimes one trip . always pleasure high standard cleanliness remain . would not want stay anywhere else . Macys less 5 min walk away Empire State building round corner . can not wait next trip . 
 Aug 27 2008 	 Brilliant Hotel 	 great hotel , stay 6 night explore Manhattan & amp ; see Neil Diamond @ Madison Square Gardens . well situate travel & amp ; Downtown , close subway & amp ; Herald Square & amp ; Macy 's ! clean & amp ; spacious room ( Manhattan standard ) & amp ; excellent facility , self service drink available dining room 24 hrs & amp ; breakfast great , lot choice , cereal , many muffin , bagel , toast , fruit , yogurt ~ lovely ! ! Rooftop terrace brilliant , great view esb ! staff friendly & amp ; helpful time . only downside ( & amp ; nothing hotel ) heavy building work two door go night & amp ; noisy . detract excellent service hotel ~ definitely stay & amp ; recommend friend . 
 Aug 26 2008 	 great location see New York 	 stay two night would definately stay travel New York . staff helpful friendly room clean ( although avoid one 's front street noisy night ! ) . sightseeing - block away Times Square Broadway , one block away Macy 's short walk Rockafella Centre . rooftop bar great view Empire State Building . the continental breakfast basic sufficient choice keep go hour tourist bit ! 
 Aug 24 2008 	 top choice return NYC 	 stay two friend Saturday night . first thing first - blow away service hotel . george front desk exceptional . show early check - in happily store luggage , lend umbrella ( pour ) , give we several restaurant recommendation discount card nearby pub . help we map spot want see afternoon tell we good way get . room penthouse level . huge right near roofdeck . room basically comfortable . one nice touch iPod deck / speaker . watch mini bar - one sensor know ' ve remove something charge account ( not marvel gummi bear plastic bear long ! ) .what cool roofdeck . pricey , small drink , so - so calamari - incredible view Empire State Building see pic . bar open evening , time be welcome bring food / drink enjoy . lounge late night enjoy city light , bring ( free ) continental breakfast morning . 
 Aug 22 2008 	 great choice 	 first visit New York decide Hotel Metro extensive research . everything expect - reasonably price , great rooftop view , convenient location Penn Station , Empire State Building , Times Square 1 block Macys . decent complimentary breakfast offer keep go hour , staff friendly overbearing . New York never really room want comfortable bed , good pillow clean room / bathroom . hotel meet expectation , would definitely recommend ! ! ! ! ! ! 
 Aug 22 2008 	 Great Hotel 	 first family holiday New York great stay hotel . find staff speak polite friendly . room large go New York see sight inside hotel day . breakfast bonus good start day . hotel good location , near subway , Times Square , ESB Macys . enjoy dinner restaurant attach hotel place across hotel . would stay hotel . 
 Aug 21 2008 	 Metro New York 	 stay hotel three night , find good . room small ha New York unless going pay mega buck large hotel . room clean good daily maid service , bed good give good night sleep , bathroom tiny shower nice hot first thing morning remain hot day . hotel staff helpful , ready offer advise place visit . breafast excellent great way start day New York , night roof top terrace great place go see New York night . I would recommend hotel stay again . a good place visit rockafellow centre TOP ROCK night see New York also e.s.builde . 
 Aug 20 2008 	 Superb location 	 hotel recommend friend , get good deal pay advance ba.com . the hotel 's website make posher actually , term location 's superb - virtually opposite Macy 's ( shopping ) , near Empire State Building short walk Times square/5th avenue . hardly take subway . get deluxe room old fashioned spacious - slight niggle air con noisy typical old hotel . staff terribly friendly , disappoint able get room 5 pm first day , despite voucher state clearly check 3pm . breakfast interesting , nice continental offering serve kind plastic plate would expect child 's party . however hotel new york not offer breakfast ! nice touch tea coffee available day lounge . top floor lovely open air bar , pleasant warm evening . good hotel ' ve ever stay long way , great location get good deal . 
 Aug 11 2008 	 exceptional service assistence 	 first trip NYC ten year . actually call hotel leave give excellent advise get hotel airport . actually leave home , hotel helped stay memorable easy . ask welcome basket ready husband arrive beautiful tasty . three time ask suggestion every time give great advise . thank suggestion ate visit great place without line hassel kind . room small comfortable . room quiet loung upstairs open guest relaxing break friend . hotel centrally locate . breakfast downstairs nice great start day . happy stay would definitely go back . 
 Aug 6 2008 	 Staff unhelpful .. 	 nice room , shame building work go right outside bedroom window ! Virgin Holidays fail notify we even though know ! room large part day even , 6 drill go window 7 am morning acceptable . toilet overflow first time use unblock ( yuk ) . find hotel staff unhelpful point downright rude . twice ask usual tourist info i.e .. time Empire State Building open give wrong time ( even though hotel next block esb ! ! ) result huge queue get . also stop go onto roof terrace 2 occasion private prtie go . advertise part attraction hotel though order . however , one doorman particular fantastic go way help we . wish staff like ! 
 Aug 2 2008 	 Great Hotel 	 return week stay Hotel Metro . impressed cleanliness hotel staff friendly accomodate help get around city . book internet sight room $ 170 plus taxis . location perfect , half block one main subway terminal , 10 minute walk Times Square Broadway show . continental breakfast bit busy everything need good start day . room bit small pay would gladly stay . 
 Jul 31 2008 	 please read plan stay 	 arrive Hotel Metro , pleasantly surprise 1950 's decor , smell clean supply . book double bed suite beautiful spacious . large bay window look onto street . everything great , next morning awake two bed bug bed , fresh wound leg . take comforter bed one , find one bug bed . go concierge alert issue , nonchalantly say would switch we different room . little shocked behavior , since sympathy show , manager come offer apology . pack everything , bring downstairs ( say new room would not ready 3 pm ) . return later day , ask concierge would able dry clothe - since bed bug , not want risk move room room possibly bite . tell not . , shock lack customer service . ask someone else , give name clean 4 block away - tell bring receipt back manager review refund . drag two suitcase full clothe 4 block , find cleaner not dry clothe full service clean two - day turn around time - even though tell hotel send we . haul clothe back hotel tell concierge happen ( ask speak manager , tell go home ) .Then someone else step say house - keeping would . could not do first place ? ? arrive new room , sorely disappointed . room significantly small first one ( although , later , manager assure we exact type room ) . blind look like someone tear , crush , hang back wallpaper bathroom peel hold one corner several pushpin . decide deal room condition , since not want move . laundry dry deliver room . the next morning , go ask speak manager . tell everything happen , simply answer aware situation , proceed tell bug find bed bed bug . not several time say disappointed level customer service , finally offer apology . say would speak general manager see could . later , leave message inform one night stay would remove bill . this generous offer , thankful , still appalled way whole situation handle , like pull tooth get someone say sorry inconvenience . 
