nice 	 take kid NYC Thanksgiving holiday nice stay Belvedere . staff helpful room nice size four people . hotel locate couple block Times Square , Rock , Macy be got see sty midtown . rate reasonable compare hotel area . would recommend hotel look reasonably price , well cared hotel . 
 GREAT ! ! ! ! 	 nothing negative hotel bad good .. could way soft ... .. Location AWESOME .. 2 - 3 minute Time Square ( walk ) .. clean big room , nice Bathroom , quit .. place we next elevator bit loud .. go 10 minute get another room without problem , Valet parking reasonable 43 usd .. great experience .. sure return . 
 Sep 2 2007 	 Excellent hotel location ! 	 return fantastic trip New York thoroughly enjoy stay Belvedere . book hotel read review site even well hope . reception door staff really friendly helpful hotel clean , well decorate air condition throughout . able check little early well appreciate long flight . room 16th Floor great view city particularly impressive night . room great size kingsize bed huge comfortable . kitchenette area add bonus fridge come particularly handy keeping drink cool . hotel number pc available internet access reasonable cost use check return flight . location excellent , really central short walk Times Square . load great place eat nearby would particularly recommend La Masseria , excellent italian 2 minute walk away 235 West 48th Street . amazing holiday hope return New York soon definately stay Belvedere . 
 Sep 2 2007 	 excellent location good value 	 book Belvedere read several positve review site . please stay . excellent location , 10 minute walk Times Square . lovely room , big expect . reasonable price breakfast include . would stay without hesitation . 
 Aug 31 2007 	 Great Experience Belvedere 	 referral friend well positive Trip Advisor review lead we book Belvedere , be glad . location ideal , staff helpful , room nice reasonable far New York hotel concern . true elevator bit slow , discover service elevator , use able get room fairly quickly . one tip would like pass along find price hotel gift shop reasonable around . also , not miss Vynl , restaurant locate 9th Avenue , short walk Belvedere . food great reasonably price , atmosphere wonderful , absolute must check bathroom -- check -- quite impressed . family four 's first trip Big Apple back return definitely stay Belvedere . highly recommend anyone travel New York . 
 Aug 28 2007 	 great base 	 travel States every year Christmas shopping . stay hotel prefer Belvedere central location , excellent staff good standard accommodation price . walk two block theatre district come Times Sqaure ! can not bad . we recommend hotel other also enjoy stay . unless pay Plaza stay Belvedere . only side proximity Fire House city never sleep . go enjoy location , walk Central Park catch Subway downtown Times Square . 
 Aug 28 2007 	 brilliant location ! 	 first trip NY fall Love ! Hotel hope 2 min walk Times Square . first morning woken drill workman bedroom next door move straight away without fuss . staff friendly helpful , hotel clean smart looking . prepare where - ever stay sound Fire Engines anytime day / night . would recommend anyone go NY would deff go back ( hopefully next year ) .once bite City will want , Fabulous Place ! ! ! ! 
 Aug 16 2007 	 Great experience 	 stay Belvedere 7/31 8/4/07 , arrive early get room right away , wife , two large teenage boy . hotel clean , staff friendly helpful . room plenty large enough would like 2 queen sized bed . fridge room nice . Pozo Pastry Shop amish Grocery 9th great breakfast . Times Square , theater subway short walk . check Belvedere hold luggage afternoon leave airport . wife stay . not waste time money Gray Line bus tour , one five tour guide speak english stuck traffic 45 min top 95 degree heat . a / c bottom double deck either . 
 Aug 13 2007 	 great location ! ! 	 book hotel much research birthday weekend trip sister . live expectation . location great - within walking distance Broadway theatre , Times Square subway . check quick easy . art deco decor lovely . room great size price location . one place two bed reasonable price could find . love mini kitchen room . allow we breakfast room every morning save money . main elevator small slow , generally use service elevator end hall . complaint room connect door next room allow noise draft easily room morning . 
 Aug 13 2007 	 great location roomy accomodation New York 	 great location great room New York . lot nearby diner restaurant . helpful staff . would stay need comfort convenience without luxury , though give cheapness would probably accept low quality / bad location future visit , time glad comfort convenience good price . 
 Aug 10 2007 	 nice old hotel fair price near action dirty street ! 	 first visit NYC 20 year happy prime location . however , area around hotel nice . Mexican Restaurant within yard look like need visit health Dept . good size roach racing restaurant toward hotel ( hopefully ' check ) avoid souvenir shop near , ' run jerk barely speak English . overall , five day stay ok . ' expect much term comfort view friendly staff . room overlook awful apartment building . Breakfast Buffet good $ 17 person way overprice . guess ' NYC , everything overprice . another word caution , stay away gray line people block away ' way book waiting hour board bus . well competitor offer bonus boat cruise price . 
 Aug 9 2007 	 Nice stay Belvedere 	 recently go NYC 3 night stay Belvedere . stay time do good job renovate hotel . staff helpful friendly always , location could not well , room clean comfortable . however , two problem stay : 1 . give room 17th ( top ) floor , small room accord one desk clerk . stay one night room noisy air conditioner , power room go briefly . call change room , good side nice change we . 2 . elevator . slow tight ; fit 6 7 people without luggage . wait long time get , pleasant long , hot summer day walk Manhatan . overall , nice stay go NY would consider return . 
 Aug 8 2007 	 Perfect . 	 arrive late night receive prompt service , however , greet rude receptionist . charge extra 3 person eventhough , book 3 tell phone exact amount confirm reservation . room nothing spectacular elevator slow . plus side , location perfect . close Times Square yet still quiet street . 
 Aug 5 2007 	 good expect 	 sad say disappointed property . check , tell room would ready 4 , fine , ready we either . although seem petty , rather annoying travel day . check , also , charge additional per person change , even though make reservation 3 people . the room nothing special , really small expect , nice . bathroom really small though water temperature vary enjoyable . bed horrible still backache . location fantastic though , within walking distance Times Square many fantastic location . wait elevator every time long time suprise annoying , 5 minute little much . would stay good rate location , do not expect much room ! 
 Aug 2 2007 	 little hidden gem 	 place hide well , two street hectic Times Sq would never know peaceful place . the room good size seperate kitchen sink good size fridge microwave . there safe , handy , .In basement laundry room nice clean place great tumble dryer pack even less make room great shopping .Check quick check .We stay 7 night do not use gift shop breakfast busy that . the doorman helpful ask , leave case last day arrange cab airport hassle all . it pleasure let someone else arrange . we take hop hop tour well worth money New York pass well , plenty attraction see include 2 hour night cruise lovely . I go back Belvedere ever return New York live review would not want chance other .also think fair price get . we ( husband two kids12.14 . ) third floor room do not problem noise outside . 
