stay 	 go 8th time Vegas , stay new hotel visit . however , friend Vegas newbie narrow - minded plan spend time lounge pool . sister advise we book stay Hard Rock Hotel . since yet try destination party atmosphere , concede suggestion . plan trip span Thursday Monday ensure would poolside Sunday Rehab party , still advertise prominent event website , though already enter Fall season . we arrive schedule Thursday afternoon confront lengthy check - in line . die get settle start trip , allow check prior 3 pm time . tell room ready await approval housekeeping manager , take one hour . drag luggage Pink Taco restaurant grab tasty mexican salad ( see separate review ) enjoy sun patio . return check desk hour later tell room still await approval , could immediately settle room low floor . point , eager get pool , agree less room , wound provide hideous view parking garage ! room funky wallpaper , spacious bathroom , iPod dock speaker , large flat - screen television . mixed feeling regard stay . first , website mention Sunday Rehab party season pool heat . , basically , everyone relax poolside 80 - degree weather , nowhere properly cool . regard crowd , friend think back home among Jersey shore guido . fist pump definitely scene ... final note pool waitress extremely friendly Thursday afternoon , become snooty pretentious weekend . try exude & quot ; cool & quot ; vibe rowdy Saturday - Sunday crowd . pretentiousness discourage impressive . additionally , hotel 's free shuttle Strip arrive every hour even stop anywhere close Las Vegas Boulevard . wind opt taxi service instead , save time cost $ 10 way . also annoy $ 20 day fee use fitness center , attach spa rather part hotel . large room pack equipment would perfect way counteract extravagant dinner evening cocktail , refuse pay & quot ; amenity & quot ; .The main reason stay Hard Rock crazy atmosphere , terrific nightlife option , large pool grotto . however , many thing negligible find property . would recommend stay Strip instead . 
 40 th birhtday getaway 	 Loved ... music great upbeat .. find singing time . staff could friendly helpful . book pink jeep Grand Canyon consierge fantastic . leave imp . paper safe ... already checked not realize several hour later ... go back hotel safe ... secruity . safe front desk server maid wonderful . miss bottle opener .. call desk minute . location couple block strip really enjoy ... access easy price definetly well place stirp . love small accessible . like either club .. high expectation read good . people firont desk say going put new club ... also ... sad able swim ... say consider pool open year round 
 hotel terrible ! ! ! stay far away . 	 begin .... 1 ) room single glass anywhere find . drink hand . several dirty glass sit floor outside door arrive check next day.2 ) television signal . zero channels.3 ) huge moth sheet . discover crawl leg get bed.4 ) room coffee pot.5 ) construction begin 8 room directly mine ( hotel less half full judging registration desk , put room construction ? ) .6 ) staff impolite.7 ) hotel charge $ 8 item mini - bar , not touch . know item never begin . 8 ) music registration desk loud ( casino floor ) can not hear employee say behind counter . as frequent business traveler stay lot hotel ( ' ve fly 50,000 air mile around US last 6 month business travel ) Las Vegas Hard Rock , without question , worst ! ' ve stay Best Westerns middle nowhere preferable . I ' ve also stay Hard Rock Hotel Biloxi find vastly superior amazed Hard Rock ' brand ' would allow disgusting property operate Las Vegas . do favor . be travel Vegas , avoid Hard Rock cost . will not sorry like . 
 Jun 13 2008 	 Cool even close ! 	 stay Hard Rock first open many year ago , find everything peachy . although way young gamble time , still blast . fast forward year man , thing change ! check Sunday night explain clerk town seminar interested quiet room , away party activite could not care less view . get room side room least half dozen kid drink , smoke etc . balcony music boom . call desk ask clerk be try funny ... 'cause ' m laugh . kid try good time - good . hand belong someplace else . clerk offer another room course take . second room corner , fine . problem pillow , linnen , furniture ( lamp , charis etc . ) miss . , call desk complain . offer another room , move . third room furniture linnen , view , quiet . happy . go bathroom find sink fill appear puke ... matter , discusting ! , call desk ... ' m frustrated . tell clerk send someone clean , meantime need go back second room retreive jacket leave behind move . end spend another 45 min wait security esscort seond room , leave jacket . guess - jacket . super cool jacket ! go back room ( third room ) grab swimsuit head spa . want point chill luckily spa open till 10 pm . Las Vegas standard spa pathetic . local 24hour fitness offer amenity . can not life figure draw pool . look like pool Hooters . pool complex like Red Rock , Flamingo , Mandalay Bay , even Golden Nugget town , can not fathom pay cover charge amount really nothing special . get back room 9:30pm maintence guy still work away . decide head lobby something eat . pink Taco nothing overprice Taco Bell . seriously . back room go ... maintenece guy leave . 's nice appologetic . order ice cream room service call night . although take hour , be cold , solid sweet . next morning long conversation manager end compe entire stay even offer second complementary stay later date . check morning make clear would not stay Hard Rock , even pay . ( move thehotel thing run smoothly ) spend almost month every year Vegas hotel . hotel three star higher ranking fine , especailly twentysomethe . Hard Rock . bottom line - Hard Rock attract kid desperately try cooler could ever hope . nothing & quot ; edgy & quot ; place . even memorabilia date ... caes Axcel Rose Bare Naked Ladies anymore ? ! ? casino tiny . room okay , nothing special compare similar hotel . desk staff security rude well . place hype , substance . since construction , suggest favor stay someplace else . however , joint fact okay music venue . sadly , one good town relevant act . 
 Jun 12 2008 	 30 hill .... guess 	 outside construction bearing ( young ) partier Hard Rock comfortable stay . view pool hotel breathtake evening . service excellent . room clean . food excellent room service , hotel lack nice restaurant . hotel cater young crowd although expect Hard Rock . go party ... go Hard Rock . 
 Jun 12 2008 	 Hard Rock ( LV ) Dirty 	 stay Hard Rock 21st birthday b / day girl choose hotel . 2 mom two daughter ( age 21 & amp ; 24 ) hotel strictly gear toward young people . loud music , people scream hallway , people pass hallway name . also stay Hard Rock , San Diego find delightful . still gear toward young set sophisticated . my issue start try rent cabana pool - call number web - site name telphone number take tell someone would call back . finally call 1 day departure . want change cabana rental day arrive could get ahold rental person . concierge call we leave detailed message wanted never contact pool / rental . the day arrival tidying bedcover horror notice underside duvet cover crust dry semen . nice huh ! call housekeeping send supervisor . come room apologize assure sheet duvet would change . this do - duvet appear newly launder time 2 lovely cigarette burn . question housekeeping - bed linen change guest leave ? never get answer except do . Most hotel staff come contact pleasant accomodate . seem whatever ask answer , smile . want leave complaint Guest Service Manager form leave fill give business card email addy . send email regade duvet etc . , never get reply . really annoy manager courtesy respond . budget hotel one might expect uncleanliness . guess know will still get business young set could give hoot anyone complaint . it disappointing experience stay hotel . 
 May 31 2008 	 good time .. Hard Rock place 2 b .. ( NYC NY ) 	 three girlfriend stay hardrock Memorial Day weekend .. want party late 20's/30 's place .. sick time Rehab Sunday .. aware stand line 7 am admission pool .. not stay hardrock stand public line ( uncool ) .. overall scene great everybody good time .. complaint book room 2 queen bed get room king cot ( compe we night ) ? ! ? whatever .. 's memorial day weekend Vegas .. sleep anyway ? ? 
 May 17 2008 	 old Hard Rock 	 three friend travel Las Vegas see Duran Duran perform 2 night Hard Rock Hotel May 9 10th . disappointed hotel . reason : construction start 6 be loud . could not move another room . however hotel comp we 1st night . cheap night stay . nice gesture , hardly worth it . thankfully room mountain veiw pool side would horrible music play day long . one friend poolside room could not get comfortable room noise . music start 9 am Sunday morning progressively get louder louder . like music , comes point much . close balcony door even come close drowning noise . the hotel great newly 21 great anyone age 25 . kid can not hold liquor place step dodge crazy arm . want cheap gambling , place . $ 5 , $ 10 table place even penny megabuck slot . the ventilation hotel horrible smell like ashtray 5 miunte walk hotel . I bascially feel dirty place never stay . nothing hotel good . turn run facility cater kid little money . 
 May 11 2008 	 good time Hard Rock ! ! ! 	 stay Hard Rock 4 night back March 2008 . girlfriend blast ! ! ! pool probably good highlight hotel . great scene chill throwing cocktail back . place kid , kid go elsewhere . find room pretty neat . big comfy bed , ton pillow , flat screen plasma tv great high powered shower . we late night eat Mr. Lucky 's great food killer milkshake ! ! ! drawback renovation currently place . actually room point towards construction site , not hear much noise like reviewer . one day walk starbuck stair big chunk roof fall floor . minute later see one manager 's walkie talkie curse someone . new renovation could cause inconvenience . Played blackjack one night find dealer extremely rude . exception renovation blackjack dealer , really like Hard Rock . stay , wait renovation complete . 
 May 2 2008 	 cool place rough crowd 	 first : would not ever take child hotel / casino . price right , music , rock memorabilia Italain restaurant good small hotel easy navigate . pool half close litter everywhere around , construction noise really start early , like review state . big issue really rough - acting young crowd- atmoshpere pool actually intimidate number scream drunken young people stagger . literally staggering- nearly fall , unable operate elevator , curse restaurant staff kick out- crowd real downfall hotel / casino . stay one night instead three - move Flamingo last two nights- excellent stay ! 
 may 1 2008 	 stay away Las Vegas Hard Rock Hotel mid-2009 	 stay away Hard Rock Hotel Las Vegas mid-2009.a $ 750 m renovation begin 2007 immediately adjacent exist Hard Rock Hotel Casino Las Vegas double size property complete mid-2009 . four night stay April May 2008 accompany continuous 24 - hour - a - day construction vehicle backup alarm . one sleepless night ubiquitous beeping , call hotel security ask someone name John ' sort city ordinance construction noise abatement law would preclude construction noise normal business hour . John ' know ( care ? ) tell would supervisor call right away - never happen . call Las Vegas police department tell construction noise abatement law general contractor Hard Rock Hotel Casino renovation apply receive permit after - hour construction nothing police could do . bottom line - owner Hard Rock Hotel Casino Las Vegas willing allow 24 - hour - a - day construction immediately adjacent exist property , engage general contractor enough influence city Las Vegas circumvent construction noise abatement law , currently content guest greatly inconvenience process . unless credible post member Hard Rock Hotel Casino management complete contact name information appear forum state after - hour problem deal resolve , strongly recommend one stay overnight hotel renovation finish mid-2009 . 
 Apr 18 2008 	 Fun Hotel Nightlife ! ! 	 really fun Vegs hotel . great nightlife . good night club restaurant . hotel modern clean . bar center casino nice hang . would recommend hotel anyone . 
 Apr 16 2008 	 Great Casino Great Pool ok room 	 husband Las Vegas several time . always end spend lot time Hard Rock gambling music , center bar , Lucky 's 24/7 restaurant , Pink Taco restaurant awesome ! time , decide stay . wish could pair Hotel Mandalay Bay room Hard Rock pool casino would perfect hotel ! PROS : casino good Las Vegas . huge , bar great , dealer friendly . music awesome ! pool fantastic , Sundays party currently film reality show call Rehab . Swimup blackjack lazy river pool complex . nice big flatscreen tv room bed comfortable . room service timely serving generous . pool room view view pool complex strip . restaurant great , body English cool too . con : experience problem check - in , arrive husband would let room , b / c room reserve husband 's name ( even though credit card info ) . wait 6 hour husband 's flight arrive mgmt offer anything inconveniencelots construction , appear construction everywhere Vegas . bathroom nothing special , like would find Hampton Inn . bathroom ( RM 906 ) slow drain bathtub never fix despite inform housekeeper . request extra pillow feather pillow flatten quickly . near airport , ready hear airplane take landing . we probably stay , request room big bathroom . 
 Apr 15 2008 	 great crowd warn jack hammer start 8:00 a.m . 	 stay April 6 - 8 , 2008 . beautiful young crowd , great resteraunt , nice room would stay construction . choose hotel pool dissapointe notify pool construction partially open . bed comfortable jack hammer start 8:00 a.m. ridiculously loud . construction crew mess cable could watch beautiful flat screen tv room . spa would nice male technian change lock lady locker room . staff empathetic apologetic . would nice warn guy lady locker room take money . receive warning apology anything . advise stay check make sure construction . friendly staff great service important thing - go elsewhere . want mix young beautiful crowd & amp ; hear great music may spot . 
 Apr 9 2008 	 great stay ! ! 	 pro : price good ! food Pink taco great large portion . food 24/7 comparable good Nj diner price reasonable . hotel room nice bed comfortable ever ! pool AWESOME ! ! ! spot ! body English Sunday night good club Vegas ! con : $ 7 bottle water . buy hard rock water gift shop , can not bring pool make sense . go CVS nearby pick bottle . food pool outrageously price . eat inside . aboout $ 10 cab ride strip . renovation / construction leave nice mountainside view , nice complete . 
 Apr 3 2008 	 Remembered ... 	 stay Hard Rock week ago . get great rate ( $ 99 ) , make room semi - tolerable . pro : nice view pool ( ton construction go ) , Atmosphere bar / casino area cool , Body English nightclub awesome , good - sized flat screen tv roomcon : bed frame break one bed , cause tilt one side ; Mirror bathroom break . all , place need renovation . room definitely start show age . thing differentiate Hard Rock Motel 6 tv . aspect actual room far average . advice would stay elsewhere visit Hard Rock drink center bar . 
 Mar 23 2008 	 hooker ? 	 stay three nite really appalled number hooker . forward approach hotel guest . circle bar center casino almost hooker midnight . pool serious renovation half open . side hotel ton heavy construction go bothersome room . able get room change fortunately . room show age especially carpet . pool area open fun full mostly 20 something . day go pool crowd go fun drunk obnoxious . think next time try another hotel . see hooker really little depressing single guy ! 
