Kicking 	 stay Wynn 3 night ( midweek ) , part package include round trip travel Newark Continental , upgrade panoramic view room , $ 700 per person . check quick 5:30pm ; request view Strip , room 54th floor ( 5432 ) , outstanding . entire wall opposite bed glass , fabulous view day night . room huge impeccable , bed , bed pillow fabulous , bathroom ( especially deep soak tub ) die . husband , sophisticated traveler , uncharacteristically silent 10 minute , blurt : & quot ; can not stay whole week ? will kick scream 's time check out . & quot ; would agree many extra charge Wynn , example , gym ( $ 30 / day ) . alternative : get exercise walk everywhere ; first get leg shape trip , pack comfortable shoe . another extra hit wallet internet use ( $ 16 / day ) . alternative : two computer printer Fashion Show Mall 's food court ( 3rd floor , next Currency Exchange ) : online check - in print boarding pass $ 5 . continental breakfast : Starbucks , across Strip Fashion Show Mall , place . ( mall open 10AM , Starbucks outside ( ground level ) open air cafe open arrive , blearyeyed , 7AM , delicious coffee muffin two cost $ 8 , less half pay Wynn ) . Grand Luxe Cafe casino Palazzo ( next door ) excellent reasonably price menu , huge portion will need share . favorite show : Le Reve ( Wynn ) ; get day half price ticket Fashion Show Mall ( near Starbucks ) , start 10AM . go early . 
 Great restaurant 	 good : restaurant excellent price fair eye . room layout nice . nice lengthy pool allow good swimming . room 52nd floor great view . bad : room could use touch uop 4,5 year . door close airtight - lead noise due underpressure different AC system . addition , noise come AC weekend ... could hear night club 52nd floor ! please note everything cost extra : - internet 14 usd/ day- Gym 30 USD/ day- Shoe shine 6 usd/ pair- ... aware book . might get great room rate , hotel pretty expensive . 
 not stay ! 	 resort joke . pay everything daily . pool towel rent , gym outrageous go . never stay . great shop though , concierge terrible , none resteraunt good . 
 nothing special robotic help corporate attitude . pretty look end . 	 3rd 4th stay Thanksgiving holiday . return hotel . kid stay Wynn , wife Encore . visually stunning service , cleanliness food quality disappointment - well use . another big corporate hotel . employee complain hotel cut back $ 100 birthday gift well perk . could see disdain work face . monotone voice expressionless face morning Terrace cafe manager checkout person take almost 45 minute correct bill $ 63 overcharge - place opposite hospitality last stay family . 
 Jul 2 2009 	 Favorite Hotel 	 arrive 9:00 Tuesday June 23rd . line check breeze . ask golf course view high floor get . room wonderful . stay love . love bathroom TV . go Terrace Cafe starve . tell we would 15 minute wait . problem must lack server ton empty table . finally get seat wait another 15 minute anyone come table . ask neighboring table wait long say yes get leave . decide go Sugar Ice turn great decision . order realize could eat waterfall . food good service fine . decide go back Terrace Cafe visit . next day eat buffet around noon line short . food fine thought overprice . much prefer Spice Market Buffet Planet Hollywood . Wynn buffet seem presentation variety food . suppose like basic food . know people rave buffet . think Bellagio buffet well . go pool 8:00am people start come . love pool . 's super crowd lay back . bellagio pool nice crowd even 8 . stay Bellagio trip also even though like service well Bellagio , something Wynn love . feel special not crowd . seem like oasis chaos casino show . favorite Vegas hotel . hope price stay reasonable would like keep stay . 
 Jul 1 2009 	 Amazing Hotel stay else Las Vegas ! 	 stay 4 night part Honeymoon . hotel far good ever stay . upgrade room corner hotel floor ceiling window 2 side room look golf course . room huge ! comfortable bed ever sleep . bathroom huge tv sink . shower could fit small family . eat hotel every night standard food exceptional . yes thing pricy get pay get fabulous service , beautiful surrounding , first class food & amp ; drink . pool area wonderful , free water lovely big uncrowded pool , water mist jet spray around pool cool air . even gamble pool ! casino find tasteful Vegas , visit hotel find quite dated need facelift . nightclub Tryst amazing huge waterfall outdoor area . everything hotel first class , could pick single fault . 
 Jun 30 2009 	 Wynn perfect ! 	 one thing complain - well except stay long ! ! room rate great chance experience otherwise pricey hotel - service / staff could not courteous helpful - room beautiful . also stay & quot ; smoke optional & quot ; although request non - smoking - find not smokey smell ... offer move we next day not need . pool beautiful - trouble get seat except one day seem find waitress without problem . water & amp ; ice available treat ! all - in - all great experience - matter walk - everyone always & quot ; hello & quot ; smile greet . 
 Jun 30 2009 	 Best Property Las Vegas Blvd 	 wife spend 7 day Wynn . book trip Northwest Travel Vacations , decide book Tower Suite honeymoon . we land take taxi Wynn , tell taxi Wynn tower suite . soon pull , wonderful frill tower suite guest shine . Tower Suites private entrance well dedicated bellman doorman . soon pull , bag take escort Tower Suite Area , welcome area beautiful ! get Tower Suite walk right agent . tell honeymoon upgrade we Parlor Suite . Parlor Suite wonderful . 2 bathroom , Living Room , Tub Jets , glass shower , floor ceiling window . 3 Flatscreen Televisions . I little nervous possible sound read come club pool , honestly say not hear anything . possibly good hotel ever stay . 
 Jun 29 2009 	 Great Deal ! Wynn still disappointed bit 	 book Wynn weekend thru Expedia get great deal - $ 800 flight ( Minneapolis ) + 2 night Wynn + $ 100 resort credit . Thru Expedia book Non smoking King Room . read review time consume confuse check - in process . agree 100 % ! think take we 30 minute check - not even many people ahead us line . prepared frustration . not prepare check - in gal tell we us 2 double bed . um , . show print confirmation Expedia - told & quot ; sorry , Double Room & quot ; . ask would okay tell . say good could put we & quot ; smoke Optional King Room & quot ; . go end room 5059 ( not smell like smoke , thankfully ! ) . view strip amazing light ! give Sunday Champagne Brunch try . ' m glad , not think would go . neat see , not think totally worth price . parasol fun place hang . even Saturday night around 1 am easy find couch / table sit relax . pro : nice big room ; comfy bed ; remote control curtain ; taxi stand easy find & amp ; even long line go quicklycon : check - in process ; bathroom tv remote break button tv , could watch 1 channel volume turn quite bit ; husband go get ice ice machine vomit ( ' m kid ) - call housekeeping inform leave 40 minute later still ... Encore open 6 week prior we arrive . although like Wynn , think would try Encore next time . 
 Jun 27 2009 	 Comfortable Atmosphere 	 Wynn provide comfortable atmosphere set apart casino . can not put finger exactly be different quite enjoyable . the room well decorate , appoint , comfortable bed roomy bathroom . the pool area , especially back adult , peaceful . the spa fabulous . restaurant buffet great ( Bartolotta , Okada , Terrace Pointe , SW , Buffet ) .The casino roomy smokey poker room smoke free . sportsbook fun comfortable seating watch game play pony . complaint not win money ! 
 Jun 27 2009 	 Superb 	 one complaint hotel . good hotel Las Vegas Strip . 
 Jun 27 2009 	 be like ? make sure bring $ $ $ $ $ $ 	 fantastic three night / four day stay Wynn Las Vegas . let us get negative way - buffet overwhelming initially compare similar offering othe Las Vegas hotel not good . check absolute nightmare - easily 45 minute wait unacceptable apology forthcoming not good enough . on plus side - great location , close everything , super stylish hotel , great spacious room , fast elevator , friendly staff always willing help , pool area great , drink expensive casino easily nicest visit . all , highly recommend - please Wynn , get check process sort . 
 Jun 25 2009 	 Beautiful Hotel Pool Excellent Service 	 fiance stay Wynn four night ( Friday Tuesday ) getaway never - end rain Northeast . take cab Wynn check around 11:30pm . line front desk woman ( Sydney ) extremely professional welcoming . upgrade 50th floor room overlook golf course mountain . spacious room king bed , loveseat ottoman , desk , flat screen tv , amazing bathroom separate tub shower . even though & quot ; smoke optional & quot ; room , not smell , sensitive . spend every day pool , gorgeous well keep staff . cocktail waitress always come around also free ice water cooler could help throughout day . eat lunch pool bar two day , good ( chip salsa / guac sandwich ) . not eat fine dining restaurant Wynn Terrance Point Cafe breakfast good Coffee shop delicious berry , granola , yogurt parfait . go XS Sunday night ( ask concierge complementary pass ) really cool would definitely recommend . think lot crazy Saturday night though . overall , hotel beautiful staff attentive , polite , professional ( definitely rich uppity rich uppity look ... casually dress whole time ) . would definitely recommend Wynn anyone ! get great deal airfare Orbitz . 
 Jun 25 2009 	 ok 	 receive 3 night free stay Wynn . arrive , tell expect day , not room we . know reservation make , desk clerk confirm change date we , untruth . not know get info , try mess we . change date , certainly notify we . issue pool area . problem line pool reserve bed ( way guarantee seating anytime day ) . however blatantly ignore pool waitress ( whatever call ) . try place order , never bring we . sometimes would tell we will right back take order , never would come back . easy get stuff . final issue way everything overprice . food ridiculous . get tired pay much ! say love room , huge , comfortable . mattress amazing , rollaway bed ! 
 Jun 25 2009 	 wonderful Experience Wynn 	 First let emphasize ... take comfortable shoe ! yes want look sharp , nothing ruin trip fast blister . Vegas 3 time major blister three time . time sister resort go Macy 's purchase house shoe finish trip . ( cute black ballet style shoe actually not look bad . ) & lt ; P & gt ; receive card advertising two free night Wynn . already book four night trip MGM , cancel two night , right mind would pass free night Wynn . & lt ; P & gt ; say first two night trip MGM nice , nothing spectacular , good rate also staff room pleasant . slot machine tight ! sister arrive 10 hour go thru cash quite quickly . check - in smooth .... checkout around 10:30 really big hassle , move three different line , nice fellow finally notice not make progress move vip checkout . & lt ; P & gt ; take taxi WYNN , early check - in probably around noon , already room ready let we check early . staff sweet . lobby well room , casino etc . immaculate times . doorknob little sticky , send someone minute fix right away . view wall size window nice view golf course , sure one well view . ( price well satisfied . ) curve hallway keep give flashback & quot ; Shining & quot ; . & lt ; P & gt ; Red Card comp system seem really pay first day free buffet , free play etc . , next day rack 1000 point would not even get free breakfast , sure work exactly . machine nice also tight & lt ; p & gt ; see Loui Anderson wonderful , Jersey boy also great . across street front mall discount ticket booth show , pay get early find ticket show day half price . & lt ; p & gt ; eat breakfast buffet Wynn two morning ok , nothing great . lunch one restaurant shopping esplanaide also ok . worth taxi ride Breakfast Buffet Paris . much well less expensive . Wynn cater upscale traveler , great , miss deli fast food area nearby quick snack . & lt ; p & gt ; make sure visit Encore . spectacular also shop hall connect Wynn really quick walk . experience worth 5 minute walk casino Encore slot machine find pay all . & lt ; P & gt ; stay Harrah 's , MGM , Caesars Palace Wynn . money object luck like get free ... wynn good hand down . the 
 Jun 25 2009 	 find well customer service 3 star hotel 	 boyfriend excited stay Wynn first time . however , arrive little shocked 35 minute wait check make great conversation line people attend Dave Matthews Band concert go let one go . front desk opt $ 25 & quot ; upgrade room & quot ; locate high floor . find upgrade room : - one room key worked- white substance ( eww ) 2 bathroom walls- shower drain overflow onto tile- one side automatic curtain work ... never want much light room morning , trust ! get go concert right away since registration took hour long anticipate . decide go concert time report issue return . report issue manager phone first lecture lag time reporting issue . let we know promptly fix room issue upon check ( care room leave ! ) . let we know 5 star side resort 4 star side ( matter ? ) . offer we room low level spend $ 25 . boyfriend realize ask necessity . suggest least fix shower take shower . resistance manager send nice maintenance worker fix shower . check next day much happy another hotel . oh , like eat ... good luck . resort handful resturant outrageous line price . 
