far 	 first stay Rio , check four night . Rio seem intent get little money . friendly check - in receptionist try many trick trade get we agree upgrade : first ask we room upper floor view Strip would o.k . , later mention would cost ; engage we personal conversation present document signature state agree upgrade ( even though already say , & quot ; & quot ; ) . evening departure flight offer late checkout 4 pm $ 40 . decline offer noon checkout time additional fee . we happy & quot ; low floor & quot ; room . huge ! view Strip , view mountain light night sufficient . room clean . surprisingly quiet night even though Rio focus entertainment young adult look & quot ; good time & quot ; . ( think Brazil , Rio de Janeiro Mardi Gras . ) in - room coffee maker . call ask , told & quot ; low floor & quot ; coffee maker - & quot ; high floor & quot ; . arriive noon Thanksgiving Day find buffet open . option except pricey champagne buffet dinner since restaurant hotel close . even day restaurant open , option cheap fare . cafe open noon 1 pm , depend day week . starbuck seem least expensive dining option available . ( not accept Starbucks gift card ! ) Rio locate quite distance Strip . unless want good hike , car take Rio 's shuttle ( not start 10 ) sister hotel / casino Strip , be stuck . easy way go downtown without hire taxi . if look & quot ; adult - center & quot ; entertainment bar , Rio . many reasonable option gaming , meal , entertainment Strip . will stay next time . 
 hotel equivalent Wallmart . 	 like noise Casino , ' m talk usual casino hub - bub , love Rio . enjoy haul luggage escalator long distance crowd gaming area , Rio place . not mind wash hand cold water rest room ( man 's least ) , gripe . & quot ; huevos rancheros & quot ; breakfast café bore little resemblance eat anywhere . fairness , room large clean , staff friendly , bed reasonably comfortable . recognize always & quot ; different stroke different folk & quot ; , Rio major disappointment . 
 May 15 2009 	 great place 	 2 night compe pay 2 . rate low opt strip view room . arrive check - in make every possible attempt find us room request . much finger type couple phone call give room card go Masquerade Tower . our elevator , activate room card , whisk we room 39014 . open door pleased room view ( south ) cleanliness amenity provide . room renovate spacious comfortable . turn service night treat . we find staff CW ( attentive ) bartender cleaning staff restaurant staff pleasant friendly . pool area fun overly crowd visited day . this location easy access rental car get day . self park first day lot far casino ( PH hike ! ) .All enjoy stay plan return ... hopefully back room 39014 ! 
 May 15 2009 	 LOVED Rio . 	 Great Hotel . amazing price . call ahead ask room new tower . get front desk girl nice helpful . stay 6th floor Inpenina Tower . great view pool also bad view strip . new , large , clean room . pool great . casino server friendly do not sit long machine someone offer we drink . free show entertain . Seafood buffett .... amazing ! ! good part whole trip Voodoo Lounge top new tower . great great view . look free admission ticket find everywhere . soooo worth . really utilize shuttle , wish every 15 min instead 30 . also stop 1 am couple expensive ride back late ( $ 10 strip ) . negative HORRIBLE smell bathroom whole time room . sewage issue believe . casino area really cold also ( good thing ) . coffee pot free internet . thing minor compaire positive ! Rio great . would definatly stay , sure . do not listen bad review . 
 May 14 2009 	 trip ! 	 Husband arrive celebrate 16 wedding anniversary 41 birthday . first trip . go every year girl . room good view clean . also honestly much time spend room ? food pricey , eat Gold Coast alot . therefore gamble also . we fare share gambling rio LOVED WIZARD OZ ! slot tight rio . shuttle strip ALOT . eat Carnival Buffet last morning horrible expirience . nearly enough staff work . $ 33.00 3 worker suppose make omelet egg REFUSED . eat again . staff casino floor amazing . I back March 2010 . see ! 
 May 13 2009 	 Staff need training 	 stay 2 night ask Concierge make reservation next stop trip ( Harrah 's Reno parent company Rio 's ) . walk desk give person reward card could enter number get good rate . use double check work . charge $ 28.37 Reno . offer Rio $ 30.00 next time come Las Vegas . reward number know use 3 night comp next trip planning . go double check everything make pay mistake . need train use reward card train staff ? 
 May 11 2009 	 Rio Rocks ! 	 husband get compe room although choice place stay , always go back Rio . room always spacious , clean update . parking situation great , always opt take shuttle strip , never problem . Rio fun place kind like fact strip . People desk always wonderful helpful . get vote every time ! ! 
 May 9 2009 	 Rio Awesome 	 wife along friend stay week . tip girl check - in $ 20 get re - model room strip view like ask . do not know other complain . love hotel . staff member deal great friendly . wife work fast food realize can not walk someone , bite thier head , expect smile take . talk like human will well take care . show Sky awesome . also like American Bar & amp ; Grill Loved Rub . 
 May 8 2009 	 little disappointed 	 trip Las Vegas , never stay Rio year . first thing encounter lady check - in counter tell we $ 400 security deposit , credit card need ( time do , talk $ 100 appreciate since one tell we ahead time ) . room nice ventilation poor . air purification . AC vent parallel window , temp set 63 room still hot . 97 degree outside . buffet worth $ 23.99 . use really good , anymore ( Feast Buffet Palace Station well $ 9.99 ) . service casino poor . server finally come , come back drink , tend hesitate expect tip . seldom give tip service poor , snotty & amp ; conceited . not ever get wrong , beautiful hotel outside , inside need improvement staff . also , always enjoy seeing & quot ; show sky & quot ; find Thur - Sun . Sun - Wed . hear other express disappointment well . 
 May 7 2009 	 great stay 	 stay 3 night Ipanema tower . room 3rd floor much view , also never sun shine due tower block . positive side never spend much time elevator room nice . hate free internet though food drink price high . end eat often Gold Coast next door mean also end gambling . smart part lure people food drink deal . pool area good hotel area clean . 
 may 6 2009 	 Loved Rio return soon 	 stay Rio April 30th May 4th . fast check - in service . love view roomm strip . Stayed Ipanema tower 13th floor . get room , notice safe lock previous people call downstairs , person door within 10 minute open use . carnival buffet far good buffet do Vegas . free bus run every 20 minute strip great last year stay strip walk day strip . able see show strip also fun gambling . show sky hotel great watch love collect bead . planning return November stay Rio . 
 May 4 2009 	 Rio charm 	 compe 1 night Rio , arrive Thursday evening . check line , CS rep nice ask could get upgrade , say sure & quot ; hope like & quot ; , originally reserve masquerade tower . well 18th floor wow view strip pool . plenty room fridge hall way , closet . bed comfy , complain retire night , could not see tv far bed , that s . would defintely stay , voodoo lounge great . rather windy , good vibe view great . 
 May 4 2009 	 great Stay 	 sure people give place bad rap , great stay . room clean service great . every employee cross smile say hello . spend day pool also great time . drink price inflate , hello , Las Vegas . great time . keep good work Rio . 
 May 3 2009 	 hotel want stay ! 	 hotel nice . far away strip require shuttle ride anything outside hotel . take 45 minute check hotel , 40 people line one person check people . cocktail waitress dress g - string hotel smokey , loud unclean . hotel room nice extremely large . conference facility wonderful top line , not walk casino get . housekeeper excellent job ! could get room $ 50 night place OJ $ 4.99 8 oz . get come go place ! 
 May 2 2009 	 see well day 	 stay May 2008 , decor everywhere look like original stuff 80 ... tacky busy pattern , probably hide stain . spacious suite , grungy . internet half time room . plus side , big fitness center lot equipment . definitely well Vegas price . 
 Apr 29 2009 	 well ' ve see bad 	 warn : coffee maker hotel room , line 2 starbuck ridiculously long . nasty hotel coffee $ 9 half carafe ( 2 cup ) room service $ 3 per order one breakfast - serve hotel . room spider big moth , toilet take 6 10 attempt time make flush . hallway casino reek cigarette smoke , nonsmoke room odor - free quiet . be long , slow line check , staff surly . Voo Doo Lounge / restaurant top Rio under - maintain poor wine surly staff , great view outdoor patio . nowhere near nice new hotel Strip , ' ve certainly stay much bad place . be drive , bring coffeemaker ! also ? prepared window shower stall bedroom ... sure be . 
 Apr 28 2009 	 okay great 	 everyone say great rio . give shot . ' m say bad def not meet mty expectation . will Vegas day go lot . ' m stay Rio . room clean spacious . casino floor dark dirty feeling . tell 's day great place stay . sleep really not much . take shuttle everytime wan na go strip get old . look quiet spot strip that s busy spot . 
 Apr 25 2009 	 good time 	 Stayed Rio price , good . Suite appear mean ' large room bed couch & quot ; . not stay room much nice . complaint pillow bed . stay consider bring pillow ! gym cost 25 buck , get use spa facility , include steam room , sauna , hot tube . sit hot tub treadmill run , someone bring ice bucket water orange slice pretty nice start day ! seafood buffet .... 40 buck .... ouch .... well pay amazing restaurant strip ( go qaulity instead mass produce quantity ) pool area nice . can not bring food pool area sandwich sell poolside good . the shuttle good , never wait long . enjoy cold beer nice open bar suggest go Diablo 's Cantina happy hour 3 pm ( be outside Monte Carlo ) 3 pm spin wheel get cheap drink next half hour , spin another drink . for theatre ticket try Tickets4tonite ( next & amp ; store ) - half price ticket evening show , also get money resaturant ( go Phantom , dinner Encata Mario BATALI , locate Venetian ... food awesome ! ! ) little cheap fun go Mermaids ... little casino Freemont Street experience ... can not miss , girl dress Mardi Draw outfit stand outside handing bead ... get lots cheap drink ' ve always good time . be 99 cent hot dog good ( I ve never try 99 cent deep fried twinkie ) fun . 
 Apr 23 2009 	 outstanding wonderfull time 	 arrive Rio treat fast friendly checking , staff table , room , pool shop friendly professional room clean casino nice love 51st floor VooDoo lounge beautiful sight look Vagas must see , good Buffettpool nice . around eval would give top rating go back . thank staff Rio make vacation relax vacationT Tuck Missouri 
