move 	 husband shock standard room * first room bathroom window jammed open bathroom towel use block freeze night air * porter arrive assist we move second room - already unpacked * second room plug bath request one tell use towel plug bath plug available * double glaze room face onto Broadway could sleep ! * carpet passage filthy * one redeem feature receptionist allow we check hotel follow morning thus cancel 5night stay - thrilled move fantastic midtown hotel could relax superb room enjoy service facility high standard fraction price . 
 check today verdict still impressed though 	 check afternoon happy rate decor , first room show extremely small . , carpet need cleaning , shower , bath . think unusual superior room . see review warn standard room , book superior room , still small . small ask desk really superior room , say . also , tv mount wall apparently work , second tv place front desk , make desk unusable . call different room well treat give another room , slightly large , bath . however , window extremely drafty , horrible time get shower work , get hot water , eventually pipe make noise could wake dead take shower , realize hair dryer miss , luggage rack ( discover early bring ) tonight go wash hand , hot water ! call morning , water also look discolour ! say , decor fine , bed nice , clean , many thing look small . would recommend hotel ? probably -- -I usually recommend place impress one do that . also , business room small hot would impossible spend amount time computer $ 2 10 minute plus charge printing . let tell , eat dollar bill like one armed bandit . wireless room charge , need printer ! select hotel free parking package want leave car park . definite plus , need get something car hopefully cost we $ 55 . let us see tomorrow go . maybe thing get well ! 
 Apr 17 2006 	 overall quite good look tired 	 stay December , finding : pro : * quiet room : much noise street room * good bed * good , modern bathroom * good location , close subway station ( reach Time Square 5 minute ) . well locate sightseeing , next central park . * many dinner around , cheap breakfastscon : * room small , normal tv rather flat screen could save space * Hotel want luxury , detail show bit pretentious : carpet slighly damage , hole bed cover , door closet break , wall corridor stain etc . overall , feel tired look detail * rate pay December ( one week Xmas ) £ 180 night : overprice hotel . 
 Apr 1 2006 	 comfortable quiet 	 room small , still good deal Manahattan , particularly upper w.side good hotel . restaurant bar apparently open soon . be clean , comfortable well appoint , important - 's quiet .... hard believe NYC . like large balcony area ( 14th floor room ) , still cold enjoy fully . be pretty picky hotel frequent traveler , read several negative review one arrive . experience different one be post online negative perception . staff also pleasant accomodate . even CD clock radio would not play CD 's . change immediately . 
 Mar 29 2006 	 terrible reservation office 	 email reservation office 22nd March reserve room 3/4/5 April Columbia University discount . email back follow day say available prompltly answer back ask reserve . receive answer email second time answer 29th March say room available anymore . unprofessional ! luckily find alternative accommodation , not support NY still want go wish good luck . 
 Mar 17 2006 	 lovely little gem upper west side 	 Avenue wonderful boutique hotel wish stay upper west side . lobby rather blah first enter , begin wonder make bad decision . feel even bad bellman squish teeny elevator . , walk crummy look hallway , heart sink .... enter room . although large , decor hip feature well turn kingsize bed , plasma screen tv , lovely desk modern bathroom stock toiletry plush terrycloth robe . Frette linen divine beige brown color scheme quite stylish . view Hudson River also , lovely , although slightly obscure . the staff behind desk rather flip helpful . however , bellman doorman attentive incredibly pleasant . call hotel directly get good rate . located 77th Amsterdam Broadway . 3 block Zabars . 
 Mar 5 2006 	 Great Hotel - Good Value 	 stay Ave two night hotel nice . upgrade well large room accord special deal . $ 200 night , get large room nice view . also bring dog hotel accomadating . nice park block away walk . reviewer care staff , find quite pleasant . stay back NYC . 
 Feb 23 2006 	 good hotel shame staff 	 stay Ave , 4 night , nice room great diner across street , staff attitude maid service questionable . bed make mood suited room tidying , clean towel not leave every day . general attitude pretty rude , less money 40 inch plasma screen tv 's staff training ! 
 Feb 18 2006 	 great ... 	 base review go Ave check room stay another hotel . show standard deluxe room . choose deluxe ( 5 night ) large corner ( 77th B'way ) great city view . specify high possible could not guarantee would try . get great room check noise heater like live airplane hanger , stopper mechanism tub not operable . deluxe rate one expect . report reception ; say would send engineer . nothing change . second day ask see room ; none nearly nice one . ask noisy heater ; would send engineer . nothing happen . offer change similar room next day two remain night . next day come ; available one day . receptionist nice seem option except change hotel . offer send engineer ; time suspect one never send . come . take one listen say nothing could do could bring portable heater . suggest ! ? bring rubber plug tub . hero ! bed great . nicely appoint hotel think situation handle amateurish way . tv : button underneath bottom right . also call find turn . 
 Feb 11 2006 	 great bed 	 comfortable bed priority , Ave one comfortable bed ever encounter . thing miss highly tout Frette bathrobe , nowhere find . tv problem quickly attend Sunday morning . the all - access balcony top floor small nice way get fresh air view . we happy stay . 
 Jan 30 2006 	 nice base near Lincoln Center 	 live Upper West Side two year may bias location . short weekend trip see opera Lincoln Center hotel great . check Saturday afternoon get upgrade suite 14 floor balcony overlook Central Park whole UWS . room small sit area decent sized bedroom ( New York will adjust expectation ) . sink outside bathroom , design ' ve never fan . room furnishing opulent stay St. Regis want that . the staff courteous helpful , even run Amsterdam Ave grab cab us middle rain storm . it block subway cab usually plentiful . zabar nearby quick snack neighborhood restaurant abound . try Sarabeth 's EJ 's Luncheonette breakfast . next time be town opera will stay . 
 Jan 30 2006 	 Excellent - could not fault room service 	 arrive back UK 5 night stay Ave Hotel . book double double room Expedia , get upgrade Queen Queen arrival get marry . room 4th floor , big spacious two kingsize bed . modern furnishing style , comfortable . huge bathroom big walk shower kitte black marble , complete small plasma tv.staff welcoming , doorman always ready help often step ahe guest ( eg ready complementary umbrella raining ) . fact , arrive , toilet overflow maintenance man within 2 minute , fix problem clean water . happen efficiently not even register prblem memory bank . coffee perculator room welcome - nb creamer sugar supply ( contrary another reviewer say ) 's gold packet coffee sachet ! Chocs turn - down lovely ( plus next day 's weather forecast ) gripe would wardrobe ( closet ) way small - well much closet space , area within give hang space . enough 1 person , lot drawer space . yes , would nice bar hotel , need breakfast room Manhattan Diner 50 step away open 24hour ( breakfast huge , tasty reasonable - never $ 17 two people day smoke salmon ! ) area great - load restaurant shop Broadway Amsterdam . fab delis area ( Westend Market Zabars ) . great pub / bar road Amsterdam ( dead Poet George Keeleys recommend ) .Subway either 79th street ( less 5 min walk ) 72nd Street - 10 min away . neighbourhood feel safe , even walk around past midnight . load cab Broadway Amsterdam Ave.3 block museum central park , half hour stroll Columbus Circle . really , could ask NY ? ave great hotel great neighbourhood , access excellent amenity within easy reach hustle bustle downtown . I would stay , hesitation . 
 Jan 17 2006 	 Smart hotel great location 	 hotel great location even first time tourist one 2 visit make NYC recently . area generally quiet ( except Fire Station street - think quite interesting ! ) lot reasonably price restaurant nearby . lack breakfast room slightly inconvenient hurry try Columbus Bakery ( 10 min walk ) great breakfast local sip good coffee reading paper . visit Natural History Museum nearby Central Park Broadway easily accessible walk ( even winter ) .The room high floor pleasant view neighborhood compact ( ie quite small 2 adult 2 teenage girl ) fine couple night . might little cramp extended stay 4 room , would fine couple 1 child . the large plasma tv screen great bathroom ( compact ) totally adequate . decor smart , good quality towel bed linen . bed comfortable . service desk pleasant Concierge helpful suggestion dining . housekeep fine . overall reasonable price pay , combine quiet convenient location would recommend hotel look something little stylish ( ie chain brand hotel ) still good value . 
