great 	 check check fab time Ny Ny - location central hotel ' ve stay new book . great room ( newly refurbish ) relatively low floor view unimportant casino bar great fun . lovely little coffee shop use bagel coffee breakfast round past starbuck piano bar . place buzz 24hour know not sleep 4 day visit . 
 great casino great people - not stay hotel 	 arrive Thanksgiving day San Diego , need family getaway ( say get away family : - ) book priceline put $ 90 four star well hotel , not lot choice hotel , price come back NY NY . read previous review online , want come open mind , prepare bad hope well ! arrive hotel , front desk extremely nice . not long line relatively painless . read previous review room , opt upgrade nice room $ 10 per night say remodel . enter room , like , way 4star hotel thank goodness upgrade . however , room noisy , every thirty second think hear roller coaster . imagine hear coaster Space Mountain pull , exact sound . call front desk ask time roller coaster stop run tell 11 pm . fine not plan room day , want make sure would able sleep . however , phone , bag arrive bellman informed roller coaster hearing , elevator shaft . ask move . accomodate . room ( moment write ) . room quieter , still hear elevator shaft . speak people work hotel , tell would not stay one room either & quot ; think design hotel room & quot ; . aestetecs ( sp ? ) , attempt remodel well state , update room . four star hotel Las Vegas strip - miss boat . new hotel go , getting completely revamp , afraid NY NY room look feel old Statue Liberty . popcorn ceiling , parquet panel armoire ( really , would think ? ) hideous bedspread look worn . sorry long write - up room , want let know expect stay . live forementione , good shape . the staff friendly throughout hotel , casino restaurant . absolutely would recommend gambling hear want play crap blackjack . table limit morning $ 5 11 am move $ 10 , depend busy . compare many 4 star hotel , great want play low limit . hotel minimum experience $ 15 friendly . huge shout Calvin Craps table , never miss bet chat everyone up . the nightclub ok , line . think indication economy location . club Encore hot spot Vegas time . NY NY hotel end strip , Excalibur , ideal location I . and , can not forget , LOVE LOVE love duel Piano Bar . go three night always fun ! always meet fun people really enjoy variety music . btw- ' m huge roller coaster fan , get talk go . sooooo much fun . however , everyone line agree not worth $ 14 per person . travel family , add quickly . in summary , recommend come NyNy little gambling duel Piano bar . , many GREAT deal strip , stay another hotel want peaceful night sleep . 
 great place stay . 	 nice location strip , many nearby attraction . hotel clean , nicely decorate , many thing . 
 great location okay price in - room coffee maker 	 stay NYNY , Las Vegas Halloween 3 night follow . excited 25th floor view diappoint . room clean modern , however bed uncomfortable . the air condite heat quick adjust comfort level bad part room probabaly reason stay return Vegas room coffee maker . call request one tell available . ( course could purchase pot coffee room service $ 9 plus $ 3 service fee ) . pool hot tub area clean entire casino . lot amenity site italian restaurant hotel excellent ! ! 
 Jul 31 2009 	 fun hotel casino great food option . '' 	 wife stay NYNY really enjoy . would previously stay MGM Grand TI ( Treasure Island ) , NYNY equal well two ( nothing bad say either one ! ) .we come wedding 2 friend , many friend also stay NYNY , really shine . be many restaurant bar offer we ample meeting place . espnzone become de facto headquarters , enjoy great food drink Nine Fine Irishmen . 24 Pour offer good beer selection 24 hour day , Bar Times Square fun piano bar hang .. even pizza grab stand casino floor excellent enjoy great late - night meal & quot ; America & quot ; , 24 - hour restaurant . ( highly recommend Mac & amp ; cheese ) casino staff seem friendly , particularly sport book , take time explain we odd work bet spread . our room attractive unspectacular , comfortable clean . view roller coaster worry noise . issue we , though speculate may noisy patron floor . the casino nice fitness center attach spa . be $ 20 / day use , comparable cheap gym Vegas hotel ' ve . discount multi - day pass available , believe 's include purchase spa treatment . selection fitness / weightlift equipment good treadmill use nice . temperature fitness center bit high personal comfort level . NY NY 's real drawback , opinion , location near far south end Strip . plan spend time NY NY , Excalibur , MGM Grand , Luxor , Monte Carlo , Mandalay Bay , be perfect . prepared hike take cab monorail MGM prefer thing middle north end strip . overall , great experience hotel casino , would definately consider future Vegas trip , especially go part large group . 
 Jul 30 2009 	 nice price 	 stay 5 night . hard fault really - similar weakness resort Strip think . the room well furnish quality furniture nice comfy yet contemporary theme . bathroom decorate nicely . housekeep good job keep room clean . I order room service time . pricing little steep ( suprise ) guess complaint would portion large . would happy charge less get less result . the two thing really not like though : long queue reception either check ( although hear common resort Strip ) .no self - service laundry siteNo good coffee go ( starbuck good enough even double shot espresso ! ) staff counter porter professional - friendly other . regret give big tip bellhop help , know exception . sorry ! 
 Jul 29 2009 	 Loved ! 	 stay New York New York friend love . room big . modern exceptionally clean . towel , sheet amenity replace daily . plenty place eat hotel 's always good venture try hotel . location wise , toward south end strip within easy walk distance everything . monorail also go MGM across road . can not wait go back another trip soon .... 
 Jul 28 2009 	 great theme good room crowd public area hotel 	 decide stay New York New York due interesting architecture , ambiance casino , theme hotel . reasonable price room ( mid - pricing level strip ) . stay 7 night experience bit long . first good : whoever say walk parking deck long must 90 carry oxygen bottle . exactly 100 pace vestibule parking deck ( entrance enclosed walkway 3rd floor parking deck ) actual hotel another 30 pace escalator drop right next registration desk . registration quick ( Friday afternoon , approx . 3pm PST ) effortless . right information , include rate give we room 20th floor Century Tower ( close tower registration desk , might add ) . room 2077 bit far elevator , have ask we want choose far away noise elevator . QUIET ! room ( Park Avenue room ) well / big would get Courtyard , also not pay would Courtyard . room clean , smoke free ( request ) , appointment appropriate comfortable , maid service EXCELLENT ! despite get enough shampoo towards end stay , quick , polite , courteous . call 2nd blanket first day deliver within 10 minute . would say & quot ; hotel & quot ; part property fabulous ! two restaurant worth mention , Greenberg 's deli great lunch Scirraco 's pizza awesome ( even Chicagoan love deep dish ! ) .Dueling Pianos Times Square fun ! rollick good time ! would suggest pay extra $ $ get preferred seating plan long time . bad : restaurant overrate odd hour ( can not get donut Stadium Snacks 11am ? ? ! ? ! ? ) . hotdog stand open late get quick dog , nachos , pretzel . breakfast buffet Chin Chin 's disappointing ! small selection , omelet bar , pastry stale ; deal $ 16 per . Il Fornaio ( shop , restaurant ) okay something quick ( bagel , croissant ) great . ESPN Zone terrible . way describe ( want microwaved hamburger , would do ! ) . Chin Chin 's ( dinner ) glorify ( expensive ) Panda Express , waiter could care less whether . America adequate breakfast , pass meal ( soup COLD ! ) .The pool SMALL ! ! ! MEAN SMALL ! ! ! MENTION POOL SMALL ? ? ? hottub , amenity pool except volleyball net span middle , make difficult anyone lap . be also mostly shaded , much sun hit pool area . note post outside food / beverage allow , however bring ( 4 ) small bottle water we nobody give grief . the casino nice atmosphere ( open , high ceiling not feel claustrophobic ) unique design . Sports tv 's table nice touch . cocktail waitress come often play table ( much machine ) . dealer , however , quite rude , care whether . fun ( Excalibur Blackjack dealer - Jimmy .... fun ! ! ! ) . not tip often ( despite play Pai Gow 6 hour one night ) .shoppe stink unless want Harley gear cheap Vegas souvineirsone word sum NYNY , however : CROWDED ! & quot ; Streets & quot ; /aisles narrow get around without bump everyone ! day 5 , could not take anymore . ( would put post roller coaster right middle two popular food stand way main bathroom ? ! ! ? ? ) way many people crowd place . need figure crowd control / traffic control . overall : hotel good . casino : Overcrowded restaurant : poor 
 Jul 28 2009 	 Nice Hotel - thin wall 	 stay , figure would . first time , Park Ave room time get Broadway Deluxe room supposedly nice . one issue bedding . bed comfy one Park Ave room bed . expect guess pay low rate , get non - renovated room . second issue 5 minute walk elevator ... happen Vegas sometimes . big issue thin wall . people next we sort party - say possibly orgy . could not believe hear . get quiet go back sleep . 3:00 start back get quiet . third time - 5:00 - finally call desk send someone . 's hotel 's fault go seem wall not thin hear every word someone say another room . think get well room Park Ave . never sort experience Park Ave . room ever stay , ask B'Way Deluxe . would probably still recommend hotel certain area hotel . room casino great - love - Sirocco 's Pizza fabulous . sort little eatery downstairs will not break bank easy self - park Vegas hotel ' ve stay . plus end strip will not sit much traffic get . 
 Jul 26 2009 	 Hotel good location strip Great Rooms facility 	 whole group people stay April 09 . get room near different floor . soon organise central meeting place hang together . room fantastic ! ! large , everything need . every room seem different view . use deuce bus lot get strip . slow , find sometimes helpful get talk people give we tip like not . Recommend - Sunset helicopter flight Grand Canyon . Quicky Wedding Ceremony Las Vegas sign . ( quick painless ) 
 Jul 24 2009 	 Fabulous 	 Fab hotel - must go roller coaster.central hotel main stripvisit piano bar inside hotel . pay 1 dollar guy play anything want listen ( drink expensive great cocktail ) .The apple bar great bar visit inside hotel live band playing .. 
 Jul 24 2009 	 new york new york hotel las vegas 	 stay hotel 3 night initially disappoint quietness bottom end strip , however , hotel full fun love happy people good time ! four we travel Vegas stay one room , big enough four girlie get ready ! American Bar / Diner serve good food pretty cheap beer compare place happy hour . Irish Bar inside quiet , expensive even though table empty tell could not sit stand bar drink ! apparently table diner ! ! go Grand Canyon one night come back Vegas 3 night Bellagio , must say excellent position middle strip lack fun New York New York wished stay ! ! ! ! Vegas must trip 's hotel base get tedious walking . roller coaster ride New York New York expensive . 
 Jul 23 2009 	 Mixed Reviews . Casino Atmosphere A+ Rooms Subpar 	 stay Hotel twice . time offer upgrade Park Avenue room . reason always wound SMALLEST room floor . due shape facade outside hotel weird shape inside . also note room pink cover window distort view . make exterior look nice inside . change room twice issue . overcharged credit card could refund money . wait nearly week charge come . small room . on plus side casino nice . nice atmosphere usally play good . nice place eat Gonzalez Gonzalez Nine Fine Irishman . HARRASSED Consolidated Resorts try sell time share Tahiti Village . freebie bogus relentless . NYNY , Monte Carlo Tropicana . get suckere . make unfortunate error first visit Vegas . 
 Jul 22 2009 	 Good Hotel 	 first time hotel pleasant stay . choose Park Avenue room level regular room . room spacious , clean , personnel kind helpful . good value price $ 100 / night well deal well hotel available price level . 
 Jul 21 2009 	 bad hotel ever never stay 	 hi think everyone know never stay hotel . bad service ever experience . book 3 room total . first thing happen quote book hotel wrong take forever figure first hour trip spend front desk . finally get key room one we go basement ! window black feel like prison . go back trade room give we another room get dirty ! go back say would clean would take 2 hour . wait 2 hour go back still dirty ! upgrade room basically waste good amount time deal . second thing happen room . go bed late awaken 8 am drill hammering room . try sleep ridiculous call front desk ask stop sleep tell we would take care . stop start 5 minute . not even give we call let we know happen ! long story short get compensate one day move room . would ' ve good go pay room charge us room quote like $ 30 per day per room average room rate . also third room get lock properly also pass people hall whose room key work go front desk fix . if want comfortable relaxing vacation stay ! ! ! 
 Jul 17 2009 	 Great Hotel Great Location 	 stay New York New York 3 night impressed service room . give upgrade ( even though ' do not give complimentary upgrade ' ) one friend celebrate new singlehood room great . pleased , however , lack coffee maker room . never hear hotel room without coffee maker , guess hotel want we shell $ 3 cup coffee casino food court area . location perfect , club casino ( Rok ) put we list give we wrist band free drink 12:30 celebrate . hotel employee pretentious overall great time . however , drink service casion awful . wave waitress every time , come we 1 5 time . one round drinnk great , second time gin tonics pure tonic worth $ 4 tip give waitress . 
 Jul 13 2009 	 New York great we ! 	 daughter spend three night New York New York . Park Avenue room 31st floor Century Tower . room clean bathroom spotless . day room clean perfectly ... even arrange shoe leave floor nice row . could hear rollercoaster distance , stop midnight . never bother we . eat Il Fornaio breakfast two morning ... restaurant take . great experience . coffee strong delicious . service excellent . find location handy . deuce bus stop nearby , use quite bit . would certainly stay . 
 Jul 12 2009 	 stay 	 wife stay first ever trip Las Vegas . room $ 114.00 night small room small / unclean bathroom . towel like sand paper . pay $ 3.00 day phone charge phone use one time . , $ 114.00 night get room & quot ; accomodation & quot ; . accomodation , small pool , 4 foot deep , middle Volleyball game go time could get . swim 3 foot deep part pool . pool hot tub dirty . leave hot tub . pool open 9a.m . 7 p.m. June July , open 7 pm . accommodation , work room pay $ 25.00 day use go . casino , would call accommodation . Roller Coaster $ 14.00 person one 3 min ride . $ 14.00 day use high speed internet room go . accommodation New York New York . pay $ 114 night small dirty room small dirty pool . drink priest casino bar , bar stuff rude . people stuff rude . never stay . many nice hotel strip stay Vegas . 
