after 	 customer - orient hotelvery low service levelboor reception 
 hotel brilliant ideal theatre break 	 friend stay theatre break . hotel clean , staff helpful , room comfortable , breakfast superb . could not fault thing . great location tube cram fair amount sightseeing short time . london aquarium , natural history museum harrod name either short walk tube ride away . nice pattiserie couple minute away tesco 's express . tube less minute away .It good stay early 2010 couple night another theatre break . I would recommend hotel anyone . 
 expecto Holiday Inn 	 arrive 23,30 hour could recommend restaurant decide go Tesco , limited choice hingry carenext day rang bell 8,00 hour clean room , nice waken earlyevery day give we candy bar two bottlet water whic nice touch . all , normal chain hotel nice location ( close chelsea , 45 minute walk Picadilly ) , back find anthe close picadilly well price ... 
 Great Price Terrific Location 	 stay Kensington Forum October , visit London mother . room two double bed surprisingly roomy , consider small hotel room previous trip London . the room quiet , clean , bed pillow comfortable , service adequate . service issue speak , be overly - friendly hotel . ( expect Holiday Inn . ) location absolutely wonderful . number coffee shop small restaurant nearby , well grocery store mall next hotel . pick apple fruit , add coffee muffin / pastry cafe . subway within one block hotel , could not ask convenient . well , good weather , walk everywhere ( probably average 10 kms day ) . be nice neighbourhood safety concern . our main focus book look low price good location . absolutely find Kensington Forum would hesitate stay . . .or recommend friend . 
 Oct 12 2006 	 hotel make one feel second class . 	 stay four night hotel . professor emeriti live Europe , Africa , Australia , USA travel 50 country . good : hotel short block Gloucester Road tube station , waitrous grocery , Burger King , Kentucky Fried , Starbuck 's , great pub -- Stannhope . bad : standard room ( post price $ 425 -- 222 pound ) TINY . even standard stateroom aboard cruise ship size large ! UGLY : Reserved hotel Hotwire get price $ 90 / night . 's good price even though room tiny , however , come continental breakfast , hotel would permit we partake , tell we reserve Hotwire , ineligible breakfast . hotel 's approach make we feel like second - class citizen , remind we England ( Europe ) , class system alive apply almost everywhere . eat good English breakfast 100 meter hotel entrance two - table establishment name La Liaison $ 5.00 . addendum : although hotel well locate tube shopping , cost we $ 50 taxi take we theater district would likewise fare British Museum many attraction . take tube , cost almost $ 20 one - day pass . room size , lack continental breakfast reserve outside Holiday Inn web site , distance many attraction , stay hotel next trip London . 
 oct 9 2006 	 good not pay retail price 	 stay recently get great rate priceline.com . location fab - near Gloucester underground station waitrose grocery store . restaurant nearby , seem bit touristy . when check , give room 2 single bed tell tough luck ask could switch room double . also , one morning 8:30am , maid pound door 10 minute , try get room . deadbolte inside idea would not immediately realize & quot ; oh must sleep . & quot ; pound door long eventually get dress go see racket . finally open door , said & quot ; checking . & quot ; ( ! ! ! ) , stay uneventful room clean , bit small . another good thing room mini - fridge 's great store ready - to - eat food Waitrose . tip : mark food end day get great deal everything sandwhiche dessert fraction cost . overall , hotel okay be budget get good deal discount site , definitely worth pay retail price . 
 Oct 7 2006 	 strongly recommend anyone budget 	 girlfriend get hotel $ 85 / night Priceline experience bad . room extravagant , comfortable . location excellent . low floor , window pretty good job keep street noise . hotel exterior bit plain , room comfortable . water pressure shower tad weak , acceptable . toiletry product adequate , nothing special . restaurant area good . enjoy Khyber Pass Prince Regent pub . concierge staff give excellent recommendation . ( italian restaurant Vecciomondo , prominently locate across street avoid anyone not like wait 40 minute tepid soup school - cafeteria - quality pasta . ) hotel locate next supermarket room refrigerator . 
 Oct 6 2006 	 great stay 	 stay five night love . service great concierge helpful . loved location well . stay future trip London . 
 Sep 25 2006 	 excellent location shame service ! ! 	 stay hotel Friday 22nd - Monday 25th Sept . fantastic location local amenity i.e . natural history Museam , Bars , Restaurants , shop transport . fantastic view 23rd floor . but .... want watch pay per view movie , inform reception problem - later transpire give Aircrew room , mini - bar , pay per view movie turn reception , menu 's room service available . also later inform executive room service mini bar ! query staff ( contact twice whilst staying ) check , advise system error - would take responsibility problem incur ! check queue 10 - 15 minute inform take group desk , rejoin another queue 10 minute check ! sign advise desk use check ! 
 Sep 24 2006 	 good budget hotel 	 get hotel $ 88 / night Priceline . location great Tube station close . I small issue checkin attribute jet lag , arrive Lodon 10 hour flight . desk staff helpful friendly . checkout easy . the pub pretty good crowded . I ask get non - smoking room . small clean . public area around restaurant ground floor smoky , whole bad . the public area nice bright . breakfast ok nothing great . could well elsewhere . chinese restaurant corner near hotel pretty good . concierge helpful use twice . pro : good hotel price location . con : bit attitude breakfast staff . would absolutely stay next time . 
 Sep 23 2006 	 good location bit shabby 	 stay lot holiday inn 's business . this first time one . be apparently large HI world , something like 27 floor . room whilst reasonable size definitely due refurbishment . nothing dirty look fairly old bit shabby . apart , staff friendly location great . restaurant tube station within 5 minute walk . Kensington one good area London . hotel close heathrow ( noise disturbance ) busy tour group . 
 Sep 15 2006 	 Great Location Comfy Hotel 	 husband stay March 2006 . location incredibly convenient , lot restaurant easily walkable tube . view window great ; 19th floor fabulous view London . room clean comfortable bit small side . maid service excellent feel happy choice . overall , great choice budget traveler . choose hotel base people 's review , think would return favor post confirmation good place . ( be American New York City ) 
 Sep 14 2006 	 never stay hotel 	 visit London many time thirty year . usual preferred hotel available take Holiday Inn could get flyer point stay always like stay Kensington Knightsbridge . the room size closet could not upgrade see room size . hotel large tour group want cheap price . not even enough floor space lie suitcase , yet closet tiny 3 small drawer unpack . bathroom similar dimension . clean however . the food restaurant terrible . need internet access , open business hour , Mon - Fri . need . one concierge 's good , unfriendly . the single thing recommend hotel location , excellent . hotel around would well choice . 
 Sep 9 2006 	 great location 	 book hotel Hotwire get excellent deal . the location excellent , round corner subway . book double standard get upgrade double superior courtesy standard room available duble bed . room confortable , rather small ( imagine standard one ) .No breakfast include fee , coffee machine bedroom , opposite street 2 supermarket couple restaurant . 
 Sep 8 2006 	 Excellent ! ! 	 stay 9 night , say one good place ' ve ever . friendly helpful staff , clean comfortable room mention great location . pleasant stay ever go back London intend stay . highly recommend . 
 Sep 1 2006 	 Ideal London base hotel 	 hotel good location - tube , bus , restaurant , shopping museum within easy walk distance . good buffet breakfast . room large London hotel quiet . two restaurant worth try Giraffe Kensington High Street Lillo Franco Italian Restaurant , Kensington Square . offer good variety good food reasonable price suitable child . 
 Aug 30 2006 	 wonderful stay 	 first trip London , husband able snag 3 night Holiday Inn Kensingrton Forum $ 65 per night Priceline . although room small , comfortable clean -- especially pillow king size bed ! bathroom also small , water pressure shower great . nice 220 110 voltage electrical outlet bathroom room . previous report mention refrigerator problem , ie : charge item move around , mini refrig stock , could use outside- purchase item . nice trouser press room . way , important note order make light air conditioning work room , must insert room keycard slot walk room . one tell , help know . concierge adequate , go way we . eat hotel , plenty reasonably price restaurant pub area . 2 minute walk , find Burger King , Starbucks , Tesco ( simialr 7/11 ) , Pub , two patisserie . ( one name Illy 's excellent food -- -we eat breakfast dinner ) .Gloucester Underground Station ( Tube ) 2 minute walk -- directly across mention store , way travel London ! easy , clean , color code sign direct everywhere .. seat comfortable fabric cover . extremely clean safe ! take private car service airport hotel , cost 55 pound . one word hop , hop bus tour -- sure note include live narration audio , live narration much informative . Harrod 's 30 minute walk hotel , must see ! , mind give euopean atmosphere , Holiday Inn give comfortable stay convenient location . 
 Aug 23 2006 	 another great stay 	 finish 18 day stay HILKF . great . week April , similarly good stay then . I arrive early room ready , take big bus tour ( even though visit London many time , fun , good way weary spend awkward hour checkin ) . return midafernoon give must small room hotel ( 2031 ) . nothing wrong , small . mention desk person put stuff safe , suggest come back next morning see could do . , ask pack everything leave room , come back around 4 afternoon , . move stuff room 1524 , wonderful . one deluxe room , nice size quite comfortable . clean staff terrific throughout stay , rest hotel staff uniformly helpful . the HILKF large hotel , lot Americans people , particularly Middle East , mention many time , American Airlines put flight crew hotel . boutique hotel , gear business people tourist know take care business without much help . 's fine . look forward return . one unfortunate thing : previous visit enjoy breakfast Dino 's , street Gloucester Road . close , refit another use . plenty place get breakfast neighborhood . 
