trendy 	 like traveler , scour web guidebook great advice come hotel stay . expecially crucial booked room Priceline ( case ) . want correctly set expectation prior arrival . instance , really get small room mindset check Hudson . arrival : hotel not sign . sure look pic website know be going come via subway train . small line check - in front desk staff great job keep everyone move . one important woman ( trendy i - think - I'm-20 - but - i - am - really-45 ) feel compel jump front & quot ; ask question & quot ; course attempt jump line . go ! yay front desk . make joke take pity we get we high level room face atrium . : - ) score ! room : ok . know . be small . 's end world . unpack stuff . organize plenty room . not throw stuff room . will need sit toilet sideways take turn bathroom .... good part ? incredible water pressure roomy shower plus comfortable bed . not come New York hang hotel room ? well , shower bed top notch . do . husband sleep like log Queen size usually challenge . think really pillow . noise : try get room 6th floor . street noise . 's ny . buy freaking Tylenol PM 's big deal . big issue nightclub . be loud . loud popular . therefore Floor 6 , probably hear . join fun get something knock . location : say real estate .... superb location . subway close get need go quickly . walk Columbus Ave visit Natural History Museum really enjoy . great shop , bar restaurant al way . lots dog local give nice neighborhood feel . be great 24 hour diner pizza place right corner 58th 9th . open late . enjoyed stay much . appreciated think design work go place . staff friendly except one woman carry clipboard look like deer headlight ask question check .. overall good bet . even well one score Priceline . 
 great explore Manhatten great party 	 hotel 30 second walk Columbus circle south west corner Central Park - great location . room small , New York hotel room budget small . despite size room , comfortable , clean good ( compact ) en - suite facility . lobby area hotel two bar . popular . rather noisy night noise affect room upstairs . this hotel great base explore Manhatten , great party well . 
 Jun 23 2009 	 fine ... trendy lobby 	 fine . bit small room top . small fine . travel long trip two large suitcase , might different weekend ti fine . book bid priceline happy price . convenient subway eat option nearby . Central Park other convenient obvious . not think stay charm neighborhod though . pay internet not great tv great . Windows open nice . bathroom small care . Shower go , be come new York . 
 Jun 23 2009 	 never stay 	 ooo ... first - book tell many & quot ; good luck & quot ; . choose ignore ... huge mistake . room - ridic small even & quot ; upgrade & quot ; $ $ . drawer , real closet space , place anything - trip . cabin ship small - well appoint stay comfortable . do not expect lap luxury - do not stay hotel less comfortable bedroom ! key never work , movie do not work , room service bit overly price even new york , mini bar . oh - small 5 & quot ; 5 female - knee hit wall pee way shave shower leave shower curtain open get whole bathroom wet ! like say - see well head small boat ! WAY ever stay . ever.and re - consider stay Morgan hotel period ... want style comfort service believe mutually exclusive . 
 Jun 21 2009 	 Great Mother / Daughter Getaway ! 	 past spring break , teenage daughter stay Hudson two night . pull hotel moment leave magical time ! staff could friendly helpful , food Hudson Cafeteria awesome , atmosphere etherial , room cozy cool close subway store want shop ! amenity fantastic ! plan return year annual shopping relax time together . daughter say , & quot ; good time ever ! & quot ; 
 Jun 19 2009 	 stylish hip hotel beautifully design public space helpful friendly staff 	 stay Hudson hotel check early quite appalling ' on Ave ' hotel weekend visit New York partner . after enquire front desk , tell room available , could not match discount rate see website , though handily point internet cafe around corner hotel want book online . we intend book ' Loft Room ' non available book ' Double Double ' . room line dark wood paneling come modern furniture , desk , chair , flat screen tv , HiFi music system iPod dock . room seem freshly decorate incredibly clean , bed comfortable bed linen high quality . the public area hotel well design modern urban look . although open time , design date well maintain . day shopping sightseeing genuine pleasure return hotel , every single member staff contact genuinely friendly seem concerned ensure guest good stay . peak time quite long line front desk , cheerful member staff manage , speak wait ensure everyone keep well inform one cut . recommend hotel highly enough . poor time first hotel ( Ave ) Hudson hotel staff turn around weekend make one remember right reason wrong one like ' on Ave ' . 
 Jun 18 2009 	 Great Hotel 	 mom return spend 4 night Hudson . yes room small ( warn ) , curtain separate shower room , ( pull curtain plenty private ) , bathroom tiny , tiny , tiny , bed comfy , besides not go NYC stay room . staff helpful friendly , not make we feel place old ( staff gorgeous ) . two day trip mom fall fractured foot ( hotel ) mean leave early , front desk notify security office bring wheelchair room roll taxi . also bring refrig . room mom could keep medicine cold . go way make trip memorable . right road subway stop make easy get around city . would surely recommend hotel anyone . go Hudson not worry anything enjoy trip . 
 Jun 18 2009 	 Pretentious 	 Studio sufficient hang space drawer space . furniture tired shabby . Bed linen fine room clean week request . one day hand towel provide arrive phone request say light bulb ask replace Thursday Sunday - give . whole place dark light bulb would helpful . one electric socket work sound tv channel . handy subway without change . disappointing cost would enjoyed not stay good hotel ! 
 Jun 18 2009 	 horribly odd experience 	 arrive Hudson excite New York adventure begin . check without problem , staff relatively polite . get elevator seem abnormally small get hallway dark , dirty little scary . carpet seem old weird stench hallway . scene straight cheap horror film - wait someone jump start chase we ( feel never go away ) . get room open door find TINY . entry & quot ; hall & quot ; even width luggage move sideways get door . bed extremely low ground , close wall side , particularly comfortable . one small table room move closet able accomodate stuff . bed face bathroom , enable literally see ( thank glass wall ) person shower bathroom . bathroom small could almost turn water shower , use toilet , brush tooth simultaneously ( even exaggeration ) . husband could fit bathroom time . husband , 6 ' 2 , use toilet sit sideways knee would hit wall front - accomodate ' m 5 ' 2 . SUPER loud noisy night trouble get sleep night . guess 's big party place sooooo party happen retire night long day . air conditioner sound like swamp cool small room . positive conveniently locate easy access subway . staff accomodate flight delay hold room / reservation . ' m sure hip new atmosphere ' m familiar , would never stay . 
 Jun 18 2009 	 romantic Weekend ........... 	 celebrate milestone wedding anniversary weekend Hudson extraordinary experience . moment come awesome escalator reception/ lobby endless ceiling cover Ivy welcome staff make certain stay would special hotel . room cozy amenity one need comfortable stay . Hudson 's location plus , since step away Central Park , Columbus Circle , close Broadway theater district surround great shopping . although live ny , return Hudson special getaway . 
 Jun 18 2009 	 great atmosphere location service 	 Hudson one favorite place stay . terrific value right Columbus Circle , close Central Park . atmosphere fun hip , diverse mix european american vacationer , well business people . nightclub always go strong , outdoor terrace cozy , Library bar perfect place sit talk . can not go wrong close Central Park . W.S . Langley 
 Jun 17 2009 	 highly recommend 	 visit Hudson Hotel girlfriend begin June . room small , extremely comfortable . horror story ' ve hear dirty hotel room nyc- Hudson relief , room incredibly clean well maintain . the Hudson Bar amazing place hang evening , be really upscale night club great music , drink , atmosphere really unbeatable . ambiance entire hotel one kind come appreciate really fast . the hotel really trendy , even couple days- really make feel like celebrity someone special . the breakfast little pricey , well worth it- food place second none . 
 Jun 16 2009 	 color ful 	 waas colorful n bright hotel.we syaye standere double room , good room , city , courtyard , river view , double bed , wi - fi , flat tv , room spa serviece , bar good nice interior , cafereria , library really gud.there private park antique modern garden furniture . really like sky terrace located 15th floor , perfect combination sweeping city Hudson River view 
 Jun 14 2009 	 maybe get relatively lucky 	 stay Hudson last weekend 3 night . book hotel , read people 's experience Tripadvisor ( good bad ) , stay alone idea small room not concern , especially know not plan spend lot time room . also , get consider relatively good rate , figure would give try . the lobby impressive , girl process check - in efficient friendly . get room 12th floor , pleasantly surprised . ( way , yes , corridor dimly light be dark can not see be go - unless glaucoma , possibly . ) room , plenty floor - space around decent - sized bed , room desk chair . also enough space store suitcase . room clean , bed towel good quality . there dock i - pod , nice addition . air - conditioning work well - rather loud , find not need keep overnight , not affect ability get sleep . , yes , room small not feel claustrophobic . the bathroom much big 'd expect - bathtub / shower , twice size bathroom would stay Algonquin early year . also , bathe product lovely , although show cap would useful addition . the bar hotel busy loud , action go late . not fancy loud funky bar , although would liked drink Library Bar , busy not room night look in . the negative event report go drink open - air courtyard bar . 's good space , nice place sit enjoy drink weather 's good ( theory ... ) take 10 minute attract attention waiter . ask could Bombay Sapphire tonic - shrug shoulder say sound like , & quot ; not know & quot ; say something unintelligible . ( perhaps not waiter - someone pass table , dress waiter ... ) anyway , 15 minute , sign drink , although faux - waiter still wander around , look useless . , place order waitress , get drink have ask . little later , ask waitress check . go away ... not bother bring anything . 15 minute wait , grab pass waiter tell have ask check - say would sort . come back say , & quot ; waitress bring check moment . & quot ; 10 minute pass waiter eventually bring check . , frankly , wait 25 minute someone bring check rubbish - especially be charge $ 15 gin tonic . so , frustrating annoying , not really much staff , use hotel place sleep . everyone else deal , say , pleasant efficient . give people site outraged size bedroom bathroom Hudson , wonder get lucky , not problem room . maybe expectation low ... 
