hotel 	 hotel prime location right across Buckingham Palace heart London . short walk Green Park Victoria Station . service accomodate , though price little steep , be travel budget . probably ideal couple small group friend 
 impeccible service lavish setting perfect location . a+ 	 pleasure stay girlfriend weekend away London anniversary , recommend highly enough . arrive late ( 11 pm ) friday night due flight delay arrival greet manager ( Andrew ) warm welcome greet we name . hotel actually 5th floor reuben hotel mean order gain entry hour ( without room key ) one must go reception adjoining hotel . check - in fast , efficient friendly . book king - size room hindsight good idea even king size room small expect however finish touch amazing . hot water bottle bed ( sound silly cold london night November welcome surprise ! ) small cake & quot ; Happy Anniversary & quot ; ice waiting room . detail room brilliant everything little bit well would expect ( even 5 star hotel ) , toiliterie dainty bottle ornate screw top , toothbrush toothpaste set good quality design , shaving set excellent razor ( gold wooden finish ! ) ample towle , dress gown ( one cloth / cotton one one lounge one per guest ) . mini - bar well stock little pricey- 5 pound sterling portion cashew nut 5pounds bottle beck alcoholic beer . entertainment provide in - room fantastic movie literally cinema available on - demand . free wifi , tv - internet ethernet , guest service wake call etc course available . from moment arrival staff exemplary- absolute credit hotel . decide day arrival would like take show westend- & quot ; Wicked & quot ; performance- sell every online source could find rang hotel see could arrange ticket we . , find ticket sell show get we ticket four row front , centre - stage ! ( show fantastic anyone get opportunity try catch ) . similarly recommend italian restaurant near Apollo ( request ) organise reservation time show finish ( 10:45 ) even though restaurant usually not take reservation ten thirty ! summary , hotel lavishly decorate modern black white theme , staff amazingly professional accomodate location hotel perfect ( 2 minute walk Victoria tube station ) .The drawback ( call ) room small one would expect arrive late evening gain entry must go adjoining Reubens 4star hotel . 
 good hotel ' ve ever stay 	 Hotel 41 elegance charm without stuffy upper class attitude . greet name throughout hotel add nice personal touch . spend last night honeymoon upgrade suite complete fresh bowl fruit special dessert . room amazing - spacious , luxurious , comfortable . fireplace , two tv equip surround sound . shower incredible pressure , robe / slipper nice amenity . afford , ! ! 
 Oct 21 2008 	 top notch capital 	 stay Hotel 41 delight , time walk front entrance departure . staff polite , attentive seem take genuine pleasure meeting need indeed , exceed expectation special touch make stay memorable . room high standard attention detail ensure comfort delightful . go celebrate fortieth birthday remember hotel 41 right reason many year come . wil definately return future hesitation recommend other ! 
 Oct 2 2008 	 Ab fab ! ! 	 think stay hotel , stop think way disappoint ! would agree previous reviewer book hotel website likely give good deal . various tempting package offer . stay executive room complimentary wireless internet english breakfast include . staff attentive polite , without stuffy . bit dubious compact communal lounge area , hotel doesnot seem encourage access non - resident , area serve multiple function well . absolutely besotte hotel thoroughly recommend anyone want personalised hotel experience , make feel like another pay guest . 
 Oct 1 2008 	 wonderful Hotel Sneaky Charges - Watch Bill check 	 wonderful experience hotel first stay . registration process easy pleasant . lobby room expectation . however , check notice extra charge . example , register offer glass champagne offer refill fail explain would cost $ 30 . later lobby offer glass wine . find bill charge $ 25 glass wine . continental breakfast lobby explain part room price $ 50 . none charge sign receipt either . dispute charge leave act like make mistake one else seem complain . polite protest , decide take complaint Centurion Amex Travel book least note note well . issue resolve hotel even request call manager . not sneaky charge , would ' ve able say perfect 5.0 experience . 
 Sep 24 2008 	 nice staff 41 true 5 star quality service 	 travel lot 18 month old daugher always stay 5 star hotel . , use good treatment least something resemble true luxury . book 41 hotel London LuxuryLink get good deal stay , expect somewhat lukewarm approach upon arrival , fear completely ungrounded . everybody hotel incredibly welcome third day , look forward go & quot ; home & quot ; ( hotel ) evening tea fireplace . despite extra work little daughter present staff , nobody ever dismissive impatient we ; wonderful waiter & quot ; Uncle Andrew & quot ; ( resident manager hotel , Andrew Gortchacow , could perfect way - ever kind professional , even go store one night buy pacifi daughter ! ) , everbody absolute good make stay toddler enjoyable . food good , room lovely , like design late night snack provide ( olive fruit basket every evening ) ; , location excellent well , hotel practically opposite Buckingham Palace . hotel great job book we tour helping we suggestion sightseeing , staff even pack us free lunch basket leave trip ( full fruit snack , thing daughter prefer eat ) . , hotel well suited people want luxury also relax , romantic , super friendly atmosphere , along well train , accomodate staff . thank everyone 41 make birthday year truly special - hardly wait go back ! 
 Sep 15 2008 	 will never forget London ! ! ! ! 	 visit London first time March 2008 stay four day three night . ' m soooo thankful choose go friend 's reccomendation stay Hotel 41 . experience unforgettable large part fabulous staff attentive every need non - smothering way . cordial knowledgable city , eventhough 70 % bear raise country outside UK . ask question not know answer , tell we would get back we , always , right answer ! mention , staff comprise young people early mid - twenty yet refined cordial would easily suspect long time veteran hotel industry . room service great , location great ( right behind Buckingham Palace ) staff wonderful ! ! ! next trip London definitely include stay Hotel 41 . 
 Sep 15 2008 	 great Stay 	 wife stay Hotel 41 four day late August 2008 complete 2 week european cruise . hotel delightful gracious staff . particularly like exclusivity hotel . great end 3 week european vacation . would certainly stay next time I m London . 
 Sep 3 2008 	 Amazing 	 speak highly enough staff hotel . upon arrival give we glass Champagne sit lounge finshe touch do room . ask ' romantic turndown ' do arrival excellent ...... rise petal room , fire place , champagne candle . room great massive bed bathroom wonderful shower well bath . get feel real modern luxury black white theme . hotel 3 minute walk tube station right next door buckingham palace . we breakfast morning include package excellent . I would suggest book directly hotel website seem offer good rate . great experience excellent hotel couple . 
 Aug 27 2008 	 good slightly uneven 	 's hard one , definitely would echo sentiments reviewer state part experience awesome . however , slight uneveness come stay . slight issue room not detract experience since be fussy , bit surprise worth mention since not one thing . safe not work , luggage stand break , sink not drain well , tv remote anemic battery , minor annoyance . room otherwise lovely unique . service general outstanding , particular Andrew . however , unevenness . arrive flight US early morning , room yet vacate ready . problem , hotel 's fault check not 3 pm . little sightseeing come back noon . tell room vacate serviced moment . tell would ready 15 20 minute , sit beautiful lobby lounge wait . not re - approach lead room one hour later . not get wrong , ' m complain since check - in still , find strange tell 15 - 20 minute hour . lead wrong room opposite hotel room first lead correct room . get room , request bag bring porter twice finally deliver 35 minute first request , long feel small hotel . miss bag porter could find couple additional try go personally bag check room show bag be . the location hotel great , quiet area , yet adjacent Buckingham Palace . , not get wrong , would definitely stay would recommend other stay , ' m simply point unevenness thing . 
 Aug 21 2008 	 Faultless ! 	 spend 5 wonderful day London August 2008 , Hotel 41 help make visit world . hotel well situate close Buckingham Palace , easy walk Trafalgar Square Covent Garden West End . also couple minute walk Victoria Station . the Hotel almost invisible outside ( ask cab driver take we Rubens Hotel , Hotel 41 's sister hotel , right next door ) .You could make feel welcome . & quot ; whatever , whenever & quot ; button room phone reflect hotel staff 's willingness make stay perfect possible . room well equip iPod docking station series complimentary extra offer hotel website , include choice pillow type . the executive lounge wonderfully decorate larder stock delicious complimentary snack . do not get wrong , rate hotel mean cheap find London - look special get - away , will not go wrong Hotel 41 . 
 Aug 20 2008 	 little gem 	 stay 41 short certainly long enough boutique hotel make huge impact . staff attentive , welcoming , friendly time professional , nothing much trouble . arrival give warm welcome show around hotel , decor tasteful much attention detail . lounge area welcoming , stock complimentary snack well stock honesty bar . take room , beautifully decorate scrupulously clean huge bed dress crisp white sheet sumptious bedding . 41 whatever / whenever policy even ' whatever / whenever ' button phone bedroom . femail travel alone feel safe surrounding well look , return evening find bed turn candle place bathroom . attention detail 41 second none look forward next visit . 
 Aug 17 2008 	 luxurious retreat private club atmosphere 	 simply nothing bad say wonderful hotel fantastic location . go romantic turndown service ( highly recommend want impress someone special ) immaculatly execute champagne , rise petal , candle light roar real fire - truely ' wow ' . many exceptional complimentry service available simply can not list , service staff wonderful . second none . 
 Aug 11 2008 	 Wonderful Property 	 stay Hotel 41 friend mine extremely happy hotel , design staff . around friendly people , check staff greet we glass champagne allow we use hospitality suite waiting room , helpful ! room considerably large London rain shower fantastic . not time enjoy breakfast next morning , due early flight home , hotel send early morning coffee house . definitely recommend hotel trip London ! 100 % fantastic service ! ! 
 Aug 4 2008 	 Incredible Hotel 	 recently stay Hotel 41 mum ' special ' Birthday ( make weekend ) simply fantastic stay . staff welcome helpful can not recommend enough . Executive Lounge beautifully decorate snack drink hand , honesty bar ( lovely selection champagne fancy glass , two … ) serve good Earl Grey tea ' ve long time - hardly want leave tranquility place face hustle bustle London - Mum quite happy sitting chat friendly staff flick ' coffee table ' book . be also nice secure private entrance hotel - queue check in / out etc . our room decorate tasteful black white style lot unique piece , standard hotel stuff - actually put think ornament , lamp picture 's invite home - from - home feel ( home actually like ! ) . -oh spacious room rareity central London . well insulate wall & amp ; windows 's quiet day & amp ; night , air condition ( thankfully humid - bliss kick shoe relax - cool room comfy hotel slipper choice bathrobe ! ( fluffy towel waffle ) seem think everything could want ( probably not even know want ! ) - choice 12 pillow & quot ; pillow menu & quot ; lot little extra ask ( scented candle , face wipe , moisturiser ) - nothing seem trouble , even point telephone button call & quot ; whatever , whenever & quot ; ( need search literature find be suppose dial ) .The staff extremely customer focus really go extra mile ( ) make seem effortless . leave beautiful birthday cake room mum card - touch make extra special stay . press " whatever / whenever " leftover cake ' manage quickly wrap could take away eat later , well ' want leave something nice waste . once have check keep luggage day , lend we umbrella ( UK weather reliable ! ) , return ( hot , sticky , stressful tube journey ) invite cup tea lounge continue home - know relative would not even make we feel welcome ! wish ' stay long definitely return . happy give advice other think stay – advice : , ' regret , simply can not sing 's praise enough . 
