Great 	 staff great . breakfast excellent . room comfortable . internet spotty well sometimes non - existent . enough elevator , help now . the price keep go level service keep go down . the two night & quot ; social & quot ; amusing . will not .... 
 Care 	 's probably hokey , sell point consider book hotel manager check review respond person review . seem like something someone concern guest satisfaction hotel 's reputation would . hokey flawed logic , maybe , factor book . I ' ve stay New York several time measure well hotel ' ve stay business . like Marriott Marquis , slow elevator truly issue hotel much cheap . internet access free fitness room not world - class , deck plenty free , too . the room well - sized bathroom small . kitchen area well - equip modern appliance ( microwave , refrigerator , dishwasher ) . travel business arrive late , lack room service probably would issue . eat breakfast ( free ) full - feature warm buffet . overall , hotel heart thing , New York anyway , moderately price ( 2 night tax $ 480 , AAA discount ) . pay much , little thing impact satisfaction pretty sure would not surprise manager , , track site . pleased stay . 
 Jan 1 2008 	 nice location - poor service 	 hotel good location close Times Square ; however , elevator incredibly insufficient . quest would wait 2 , 3 , 4 , 5 elevator sometimes inadequate number guest hotel . staff helpful enough coffee bar 3rd floor often tea creamer evening usually total mess – trash running , spill , etc …… .. look like hour . housekeeping well servicing room poor performer come request like extra blanket etc … .. overall good good …… .. great . 
 Dec 27 2007 	 Liked location 	 hotel state Times Square not find room price little high ( $ 599 Monday night ) . room somewhat small suite bathroom large enough one person . kitchen nice asset make sure request burner cook . staff front desk , bar buffet average . valet staff need improvement take advantage service . would stay . 
 Dec 26 2007 	 excellent choice child ! ! 	 absolutely love stay hotel definitely try stay . got $ 200 rate Saturday Christmas ... bad . got room 32nd floor quiet great view empire state building . not need kitchen use pull sofa bed 6 year old . Loved , love , love comfortable sheet bed . heavenly ! ! ! buffet breakfast perfect . scramble egg , sausage , bagel , fixing ( peanut butter , cream cheese , jelly , etc . ) , potato , pancake , fruit bar , oatmeal , coffee juice station , yogurt , different bread , etc . mean could want include breakfast . keep full day . yes , elevator slow stop floor , would not deter ask high floor b / c quiet . think spotless - entire room bathroom nice nice tile , light clean shining . think steal ! walk one ave l 's window shopping could not ask well location . central times square , 5th ave , quiet hectic 6th ave . can not wait stay . daughter husband love . valet car $ 45 . take 30 min pick . staff friendly quicket check check ever . live NJ , travel quite bit , hotel really really great . 
 Dec 26 2007 	 great hotel right near action ! 	 husband surprised anniversary weekend trip New York . book suite Residence Inn Times Square . front desk staff friendly hospitable , great since not get hotel almost midnight . suite great -- hardwood floor entry , perfectly appoint kitchen , flat screen tv , spacious sleeping / lounge / change area , comfortable bed . good , incredible view Empire State Building . additionally , location could not get much well be play tourist . able walk Broadway , ESB , great shopping area . eat late lunch hotel bar , delicious . , bartender friendly . late outbound flight Sunday hotel hold baggage we day could go sightsee without hassle . nice worry . one note -- believe entire hotel non - smoking . plus book , thought would mention case preference smoking . , would highly recommend hotel stay ny ! 
 Dec 19 2007 	 Great Location - friendly staff 	 recently return NYC hotel good value consider location breakfast offer . floor 5 not view Empire State honest we not matter . room large ( stay many NYC hotel could get proverbial cat swing ) , room immaculate small bathroom good kitchen facilite sofa . king size bed extremely comfortable - nice welcome hard day shop Christmas . close shopping tourist district - within walking distance . subway 42nd Bryant Park minute walk away useful . staff enter lobby always helpful cheerful praise deal sort situation good grace . 
 Dec 17 2007 	 love place ! ! 	 stay overnight 9th December mom son . think great- one clean room ' ve ever stay . bed pillow super comfortable , always risky . room spotless , staff could not nicer . deal least 4 different staff member two day , one nicer last . I also think breakfast fantastic- hot cold . would definitely reccomend hotel anyone want sight see- 's centrally locate . think ' ve make point- love ! ! 
 Dec 17 2007 	 great room great location 	 fantastic location block times square , penn plaza , etc . nice studio room modern furniture , full kitchen , comfy bed . comp . breakfast buffet delicious- standard fare , well do . would def stay ! 
 Dec 16 2007 	 good hotel New York 	 stay 12 December 3 night . hotel 2 block Times square 10 minute walk Grand Central Station . the hotel clean staff helpfull arrive 5 hour early still find we room .There good buffet breakfast bar open evening till 12pm . there hundred restaurant within walk distance . have hotel new york say well yet . 
 Dec 13 2007 	 great view 	 use Marriott Reward point stay hotel mean not cost penny ! choose hotel Marriotts NYC base TripAdvisor review guarantee accurate . prior stay requested view Empire State Building possible , order homemade cookie milk . get great view 33rd floor room ( 3306 ) , cookie portion excellent delicious . studio room excellent kitchen facility although use fridge . everything else good . elevator generally fine , busy around 9 am weekend . breakfast slightly disappointing - range food good waffle cold chewy . breakfast eat day . hotel staff friendly concierge useful information dinner reservation . location spot - block Times Square , next Bryant Park subway handy - although not need use much . would recommend hotel quality , comfort ( bed wonderful ) course , location . 
 Dec 12 2007 	 excellent experience ! 	 book day - great rate $ 199 Kingsize bed suite queen sofabe , full kitchen bath . free in - room wi - fi , Free HOT ( bacon , egg etc ) buffet breakfast ( superb quality ) , terrific location 1 block form Bryant Park - room nice view skate rink - request get early ( 12 noon ) check - in , staff wonderful super - professional housekeeper concierge ( book we car La Guardia fully inclusive tip etc . less ever pay perfectly on - time , body - odor driver etc . ) room lovely - granite / stainless steel kitchen , superbly appoint bathroom , comfortable sofa - bed ( rare ! ) , fine bed linen , good selection free cable tv etc . etc . - plenty space - really fantastic experience all - round - complaint ! 
 Dec 4 2007 	 Excellent service location room 	 hotel 's location beat . withe walk distance Times Square , Bryant Park , Rockefeller Center , 5th Avenue much . service simply excellent , prompt valet service , great concierge , helpful staff , excellent breakfast . the room large ever NY , well appoint super clean . to top price unbeatable $ 199.i could ask well , be 5 star . 
 Dec 1 2007 	 Second stay also Success 	 wife stay hotel Thanksgiving weekend . last year time year . time enjoy stay . Breakfast include plentiful delicious . happy hour hold 5:30pm 7 pm ( alcohol ) wonderful well . situate close Times Square Broadway . subway close . Bryant Park 1 block away many temporary shop ice skating . staff pleasant enough , several request go unanswered . ask new change linen night contrary hotel policy Tuesday Friday . 3x request never honor . tv faulty connection cable outlet play TV repairman . corner light stand operate . bathroom extremely small -- room one person get door close pay attention else . stay 3104 give we nice view Empire State Building . however last year stay 2206 much much big . room end 06 08 much big face Empire State building one want request . city state tax pay $ 352 / night hotel , value receive borderline opinion . much money want fresh change linen towel . conservative waste , one week year like indulge fresh linen . thing consider enjoy stay repeat visitor . next year though price shopping year . 
 Nov 29 2007 	 Great Hotel NYC 	 stay overnight NYC hotel really nice . clean pretty spacious city . ' ve stay hotel NYC , stay hotel . 
 Nov 27 2007 	 Thanksgiving Stay 	 stay 5 night Thanksgiving . big plus location . despite another poster 's comment , actually subway station exactly 1 block hotel ( F train , 40th St. & amp ; Bryant Park station , corner 40th & amp ; Avenue Americas ) . elevator great , bad either , except prime breakfast time . even , think 3 4 minute max wait . breakfast not worth wait anyway . eat cereal bagel , coffee juice , one morning want hot food , food & quot ; & quot ; . ' m sure come , plan well , line get long . three door hotel Croissant Shop fabulous house - bake croissant , mostly eat . service / staff excellent friendly one exception ( still friendly , excellent ) . ask additional comforter ( sofabe , spring would not feel ) additional thin sofa - bed blanket . guy front desk could get head want comforter blanket , blanket flat sheet . , nothing show . next day , ask get exactly ask for . the room , sofabe close , nice - sized . end use kitchen , except soda . regular bed comfortable . they recently add WiFi . work well one part room , another . bathroom tiny , one person time . big problem room not size bathroom , fact shower truly pathetic . first , pressure lukewarm water . tell call we could not fix , would return change room . call we tell we fix . ha ! ( ) . call . time engineer come right away fix heat issue tighten value , not help & quot ; pressure & quot ; issue . stream water rainshower head light summer mist , hand - shower narrow could circle thumb forefinger around water . awful . idea room well , consider & quot ; normal & quot ; , get letter complaint . not pay $ 400 night bad hotel shower ' ve ever . lastly , last night , clock radio alarm not go wakeup call ask never come . realize small issue ( well , except shower ) , , next time want hotel category , will stay Courtyard Midtown East next time ( stayed like well ) . 
