awful 	 bed hotel worst ever sleep hotel . feel like super cheap mattress pillow bad , . open air window bathroom bedroom , shutter , ok not want privacy . service good , nothing important comfort , especially bed . exhausted lack sleep make trip less enjoyable . pay $ 48 PER DAY park . would stay mid city , know . way much money low quality . 
 Fabulous Hotel 	 reading review , little skeptical visit . say , could not wrong . customer service great top notch . room Great . big enough three people . great city view . stay 32nd floor . bathroom make little weird slide wood door wooden shudder , still maintain privacy . definitely stay . downside hotel parking . cheap parking ANYWHERE around hotel . business center cost $ 6.95 per minute .50 additional minute . needless say , do not laptop , able get online . 
 Sep 14 2006 	 Perfect Stay 	 book stay W Lakeshore husband 's 30th birthday . live Orlando 's huge Cubs fan , plan trip around go game Wrigley Field . expect lot W , really blow husband away . everyone , valet concierge front desk restaurant / bar staff Bliss Spa staff top notch . everyone always smile kind word willing & quot ; Whatever / Whenever & quot ; . email GM prior arrival let know husband birthday kind enough fresh fruit , full size Bliss Spa product Cubs hat room check . hotel & quot ; hip & quot ; . lobby / bar area great decor , great lighting smooth House music play . evening be usually pretty good size gather hang socializing . restaurant , Wave , great food unique feel . husband say feel like movie . be also small , nice bar 33rd floor call Whisky Sky spend couple evening watch firework go Navy Pier . room little small dark , still nice whole modern feel . bed awesome big LCD tv watch decide stay . bathroom nice shower half glass door thing cause floor get little wet , nothing bad . if time , 's Bliss Spa 8th floor . awesome experience facial massage , course , great service . , highly recommend property , especially look something modern , stylish young feeling . service atmosphere great . W play huge part make trip special . really look forward go back . 
 Sep 12 2006 	 Hotel Rocks ! 	 lobby like tastefully do club lounge , complete DJ 's spinning weekend night . add touch party - time trip . room well do , nice toiletry , firm bed , 42 & quot ; plasma TV . rainshower head nice , score lake view , 's good overall hotel room feel city . ready spend cash - valet pricey ( $ 44.00 / not ) , bottled water $ 8.00/ location block Michigan require take cab , get pay hotel . be definitely stay next trip - 's worth . 
 Sep 5 2006 	 try hard 	 ideal candidate W hotel . late 20 ' , design enthusiast , avid traveler etc … that say recognize quality design material use " W " ; look first class expect hotel . my complaint look hotel hallway dark give night club atmosphere . O.K . night return Gym 11:00AM ' nice see light . reason would return hotel people ( guest ) . really seem everyone try hard impress wear seven jean energie shirt . gives feel fake " look attitude " long weekend seem half people ' afford scrounge money together see " W " . many people enjoy hotel : great location , resourceful concierge , nice room plasma TV ' bliss care product etc … . also think people relate comment stay away . night club 2 ½ straight day kind insane . 
 Sep 4 2006 	 30 	 disappointed visit , return W hotel . value ! TURNDOWN SERVICENO SHOWER CAPS ROOMNO information CITY ROOMTINY BATHROOMcaraffes coffee lobby morning , turn cup ( paper cup ) $ 3.50 ! bar drink -- unless not mind wait 20 minute ( be empty ) not mind LOUD LOUD MUSIC -- WORDS , FORGET CONVERSATION ! place scene , line w / bouncer enter hotel night -- fight line could enter show room card . expect fight get elevator too . I guess want & quot ; scene & quot ; place . 
 Aug 30 2006 	 love place ! 	 absolutely love place . walk lobby , feel though ' ve walk something straight Sex City . decor trendy eclectic . bed room comfortable could ' ve spend entire time lie . love oversized brown suede chaise lounge room . room flat screen television beautiful furniture . love outdoor seating area could sit take lake breeze happen right across street . hotel walk distance Navy Pier . the lobby turn & quot ; night club & quot ; hour peace tranquility objective will not achieve . plus able party right lobby stumble room right . hotel people full life energy ... stuffy pretentious type . the staff accomodate seem genuinely friendly . although not get opportunity visit spa , pool many hotel amenity , experience love . 
 Aug 26 2006 	 bad bone - ok skin .... 	 partner love modern , chic hotel . big fan W brand . however , also like new , W Lakeshore . first glance property look amazing look close could tell old hotel lot issue cover dim lighting modern fixture . the Bliss spa awesome . one good spa facility ' ve reasonably price . on weeknd night lobby turn hip hop lounge hundred people . wait line simply get front door hotel . seem rough crowd . concierge say plan get different DJ try distract current crowd come W.Overall , great location . helpful staff definitely get good rate . however , hope something new modern , place miss new . 
 Aug 20 2006 	 well expected kid 	 book hotel Hotwire , result idea stay finalize reservation . travel two boy , age 9 14 , little nervous stay read several review . namely hotel high attitude good place kid . overall , pleased visit . encounter attitude staff walk kid tow ; could accomodate . everyone staff , without exception , friendly helpful ever encounter hotel . enjoy hotel 's proximity Navy Pier Magnificent Mile ( 5 - 10 minute walk ) .The decor lobby modern appealing , always hop lot people hang enjoy cocktail . would enjoy lobby & quot ; scene & quot ; without kid . find room however dark showing wear , appeal lobby . pool nice , relieved find kid play , kid . shush dirty look patron , one might expect hotel & quot ; attitude & quot ; .probably would first choice family vacation , truly gear towards adult . happen get great rate , , not shy away will kid . will not alone . 
 Aug 20 2006 	 interesting not look hard quality . 	 stay W Hotels Sydney ( call Blue ) , Los Angeles New York , look forward 3 night Chicago version . base previous stay , one simply fail meet standard . staff eager please , place let - down . room decor trendy 10 year ago , time noisy air - con unit last serviced think . room small , poorly maintain ( eg wet stain carpet arrival ) generally & quot ; tired & quot ; .So , hotel chic ? hardly . chic decor , guest well . sharing lift drunken guy cut - off jean maybe consider chic Chicago , idea , idea . 
 Aug 10 2006 	 stay @ W ! 	 hotel totally rock possibly one BEST hotel every stay ! mind , target demographic mid-20 early 30 . parent , would probably annoy . what Liked:1 ) Hilarious Nightclub Feel ! yes club beat pump lobby , elevator , swimming pool gym . completely necessary ? . would get hotel ? probably . fun roll laugh . u2 's Vertigo blare lobby also cool touch.2 ) ultra - new Gym - yes , tv screen build elliptical treadmill overlook lake 7th floor . chill towel , apple large flat screen tv also great ! 3 ) Rooms - Bliss Spa Products worth $ 25 alone stocked bathroom everyday . clear glass enclose show large LG flat widescreen tv room . comfy bed chaise ! 4 ) Free Cookies & amp ; Juice lobby ! Disliked:1 ) loud , Old Air - Conditioning Unit - would literally wake sometimes overpower volume tv.2 ) $ 41 / day Valet Parking - Skip part park hotel next door ( enter Erie St. ) Standard Parking Lot $ 28 / day . leave car walk 3 block Mag Mile . Enjoy Trip ! 
 Aug 9 2006 	 Nice soulless 	 first time stay w , adequate , remarkable . decor fashionable modern , also bland unimaginative . service great part , except Saturday night , doorman demand see IDs hotel key let we enter . seem like consequence W 's burdensome contrive hipness . practical side , wall thin air conditioning unit noisy . bed comfortable , room service food delicious , Bliss bath product nice surprise . location wonderful . it be hard stay W , try Hotel Burnham next trip Chicago . 's price range , seem character without desperately cool . 
 Aug 8 2006 	 bad Hotel ever 	 Terrible Hotel , Loud , Dirty , rude employees.waited hour luggage send finally call find come another half hour later . no phone book room really stink need find local number . call one send ( never come ) go borrow one take 5 people front desk come one . could wait get place , awful . unorganized mess . wall paper thin , chair bar plastic . extrememly loud music play 24/7 . definitely 40 something crowd . maybe 20 something not care stay , want pay $ 10.00 drink sit plastic chair . rhyme reason place , mess . we awful stay . dissapointe . 
