Fancy 	 spend christmas vacation always await everybody . come make trip destination come major task select hotel , suit budget also great leisure time , thus make trip memorable worth spend money .so decide make trip New York wife always plan go . game big job hotel , search many site , come good portal make online booking . hotels2stay.net . choose opt NewYork HILTON GARDEN INN TIMES SQUARE , , First would say really remarkable stay hotel .The hotel serve service full .e Hilton Garden Inn Times Square 's seat area include fireplace feature red , brown yellow decor . black white portrait New York City display throughout hotel . Pigalles restaurant serve french cuisine . complimentary coffee serve morning restaurant . hotel 's fitness center feature cardiovascular equipment open 24 hour . hotel include two workstation complimentary wireless internet access complimentary printing . bathroom include Neutrogena toiletry curve shower rod . in - room safe laptop compatible . complimentary newspaper deliver guestroom . accommodation include coffeemaker , room service available . the Hilton Garden Inn Times Square locate New York , N.Y. , one block Broadway . hotel Theater District Midtown Manhattan . Blue Line service 50th Street subway station two block hotel Times Square two block away opposite direction . Radio City Music Hall shop Fifth Avenue three block hotel . wife make romantic stay Hotels , definitely thankful Portal make stay wonderful make booking cheap rate compare site .Good Job do hotels2stay.net ! ! love make booking . thank service put Hilton garden . 
 Perfect Location 	 original booking another nearby hotel fall last minute , lucky get hotel low price week leave home less week Thanksgiving . 5 - night stay , Hilton Garden Inn turn well choice : free internet , 15 story ( elevator reasonably fast ) , large room refrigerator microwave ( Evolution King ) , desk , chair still room move around . bed pillow comfortable ( mattress adjustable firmness ) . easy walk distance Times Square , theater , great restaurant , subway stop . rate competitive , choice future . yes , hear street noise even 11th floor back building - fire station quite close - New York - city never sleep ! ( helpful hint : laundry 1/2 block east 49th Street laundry pound : $ 7.00 7 lbs ! price laundromat waste time ! ) . 
 convenient location attentive service 	 stay hotel room two queen sized bed . ( be rarity New York , handy family . ) room nice comfortable . granite counter top bathroom bar area . also microwave oven mini refrigerator room , great . grocery store across street drug store nearby . ice soda machine floor . also provide free wireless internet . four day switch room . first room 2nd floor overlook air conditioning unit quiet . second room 8th floor exactly , loud street noise . get really good rate , 's good place stay . Pigalle restaurant , attach hotel , average food . 
 Good Hotel Smokers 	 would give hotel three four star , fact even prepay reservation , give smoking room request non - smoking room . effort make staff compensate ( put air purifier room give we free breakfast voucher ) appreciate , one - night stay still result clothe reek smoke one us allergic reaction poor air quality room . hotel fine arrive much later 3:00 ( non - smoking room request honor ) care room permeate smell stale cigarette . ( also end need use debit card charge incidental never purchase . still wait refund five day later promise would charge . ) realize experience might typical -- make stay poor one we . 
 Good - Complaints 	 come NYC wife two kid need hotel room two queen bed wife hate sleep double together - small comfortable . HGI one hotel could find two queen bed room . moreover , get add cache Hilton Honors point . find hotel clean fairly large room NYC standard . staff 100 % , although not use much . be one thing : Times Square frenetic ' m much throng tourist deal price reasonable , , bed good . hotel 8th Avenue , one long block main action Times Square , think 's plus . recommend hotel without reservation . 
 Perfect place 	 husband love time spend hotel , near Broadway could walk everywhere want . book evolution room , great , big comfy , really nice great view . love stay . 
 Mar 29 2009 	 wonderful staff service great location 	 spend six night hotel hotel staff service excellent . intend stay five day snow storm extend stay , staff make easy add additional day . also , arrive home , staff already call call medication forgot refrigerator invitation send I . the hotel conveniently locate near theater Time Square . room adequte size , clean well - keep . rate also bargain track book well advance . Garrden Inn become hotel choice visit NYC . 
 Mar 28 2009 	 everything Fantastic 	 upon arrival Hilton advise smoking room available first night stay would move non smoking room follow morning be not much problem helpful reception staff give we voucher free breakfast hotel anice touch breakfast thoroughly enjoy although $ 15pp buy plus tip , decide try Olympic diner across road go rest stay around $ 7pp delicious . hotel room spacious fully equip coffee maker , fridge microwave , room large LCD tv comfy bed - need hectic day sightseeing . hotel location second none , couple minute walk Times Square , stop tour bus highly recommend . subway station couple block away suprisingly easy use . everything hotel fantastici bad word say . doorman , reception staff , waiter , concierge helpful . hotel also business centre free guest open 24 hour bonus . I would recommend anyone would definately go back . 
 Mar 27 2009 	 Book ! 	 Fiance stay five night February . spend alot time research different hotel go , come across HGI everything look , good rate , seem clean , comfortable good location . in opinion well location NYC . hotel locate times square mean convenience heart action , yet , walk outside street not pack full people scurry around . we book King evolution room hotels web site far good rate internet . 11th floor disturb traffic outside . thing notice fire engine station right across road , however annoy we . customer service hotel EXCELLENT ! extremely helpful courteous time . there business centre hotel lobby find extremely convenient booked ticket attraction online get well rate . also free wifi thorughout hotel . the room extremely comfortable clean . would definitely recommend hotel anyone , rest assure treat like value customer . one Tip though , girl shop EXTREMELY RUDE , go handed girl $ 20 ofr something cost $ 7 give we tell we 20 big huff time give we change . needless say do not bother pick ever need deli across road . to summarise , rate good book . great location , clean comfortable safe ! Enjoy ( & quot ; , ) 
 Mar 26 2009 	 Fantastic Location Staff 	 really enjoy stay HGI Times Square . get good rate NYC attract good review . hotel block Times Square . easy 5 minute walk theater . noise 8th ave certainly present , surprised bad . ' ve stay high floor less busy street Chicago much bad problem noise ! room clean quiet comfortable staff friendly . issue anything pertain accomodation . fairly simple cheap plain . nice black & amp ; white photography city pevelant throught room hall . first morning smell distinct scent cigarette smoke bathroom . someone adjacant room obviously smoke ( smoke - free hotel ) . short call desk let know . quite concerned outlined specific action plan promise follow . later afternoon bring snack bag nice hand - write note apologize problem . also get call head engineer follow . feel fantastic courteous - even though upset begin . example fantastic customer service hotel . many hotel choose NYC . Hilton Garden Inn Time Square safe bet ! 
 Mar 24 2009 	 New York place ! Hilton Garden Inn Good Place Start 	 return NYC annual conference follow detour philly last year ( ugh ) , want try another hotel . great find- tuck away 8th Hell 's Kitchen , hotel little gem . staff fabulous friendly . engineering calling make sure ok nice touch . room clean window open ! love noise city ... NYC . yet , closed , sound mute enough rest . lovely linen comfy work station . Room clean promptly every day . may stay next year unless wonderlust lead another surprise . , overall , great location . one ambitious night hoof Central Park back Empire State build back hotel ... tired happy . pick phone great Thai food deliver 20 buck ! NEW YORK LOVE ! 
 Mar 16 2009 	 Great Location Friendly Staff 	 base several review ' read site , book vacation stay hotel due location . honestly , reviews justice . hotel location fantastic say least , particularly ' go see show Broadway want take sightseeing midtown Manhattan . in addition location , staff extremely friendly helpful entire stay room clean well - appoint . first trip New York , plan go often . least know ' stay . 5 star ! ( least book ) 
 Mar 13 2009 	 pretty nice hotel - negative 	 Overall , would say pretty nice hotel pretty nice staff member . make reservation room high floor ( since warn noise ) additional cost $ 10 per night . arrive , assign room 4th floor . point request high level - pay fee - desk clerk apologetic call supervisor attend problem . supervisor less accommodate said & quot ; suppose move 6th floor & quot ; walk away . end room 6th floor directly across soda ice machine rattle constantly night . cause noise fire department next door . thermostat room not seem work correctly , minor problem . now positive : location really convenient . many nearby restaurant , close theater , shopping Port Authority bus terminal . room pretty much standard issue hotel room , bed comfortable microwave refrigerator come handy . visit hotel restaurant - breakfast - good pretty reasonable . check , discover bill reduce $ 10 per night , assume original error room assignment . doormen / bellman friendly willing help . concierge make reservation we give we good tip get table restaurant . bad place stay , might want bring ear - plug light sleeper . , 's New York ! 
 Mar 6 2009 	 friendly comfortable hotel close Times Sq . 	 one small issue room ( smell smoke come another room floor - entire floor mean non - smoking ) deal quickly understand helpful staff . 
 Mar 5 2009 	 lovely stay ny 	 first time New York Hilton say homesly impressed . first night arrive late give we smoking room niether new Husband like tell we room , straight away tell move morning wish . next day move smoking 5th floor look patio non smoking 8th floor look street . no problem , massive tv , microwave , great comfy bed , bathroom small that s sleep . size fire station next door . get call alot spose high , less hear . also room request write Expedia read , do not receive type consideration . say be not guarantee would nice read , .so go aead book , well worth ! 
 Mar 3 2009 	 Nice Hotel .. Perfect Noisy Location ! 	 stay trip New York City February 26th March 2nd . first , let say location PERFECT . 50th St. Station one block away access C & amp ; e train . Times Square 10 minute walk . plenty restaurant , bar , local shop around . say , warn noisy location . fire department right across street ( seem stay pretty busy ) . make sure light sleeper , ask high floor room . stay 3rd floor , pretty much impossible sleep past 6:30am . far room go , nice , modern clean . ' ve hear story NYC hotel room incredibly small , room quite spacious . size stay Florida . hotel staff friendly , doormen excellent get cab give direction . pleased stay . would definately stay , maybe high floor . 
 Mar 2 2009 	 good value ever 	 hotel idealy place Times Square Broadway easy get anywhere subway walk Central Park . room spacious front ever interesting view 8th Avenue city never sleep . eighth floor , fourteen , well thirteen actually , subway hardly noticeable huge bed soon get sleep . Pigalle restaurant attach convenient easy use . service , especially Doormen always helpful friendly , room good . Conciege Desk book arrange transport venue want . got good deal book early satisfied value money . give ' 10 ' . 
 Feb 27 2009 	 great location - Fantastic Stay 	 book Hilton Garden Inn read review various site disappoint . hotel literally Times Square ideally situate get major site centre Manhattan . I catch Airlink shuttle JFK take right hotel door $ 18 thought pretty reasonable . check quick staff friendly . room great . two double bed , microwave , tv , fridge plenty room . I would recommend hotel without hesitation . also , Food Emporium next hotel great food - think upper end supermarket . food little pricey everything buy delicious not begrudge pay little extra . the hotel also small business center use internet throughout hotel free ! ! business center also printer great printing online boarding pass ! checkout day staff obliging allow check late extra charge late flight - hotel accomodate . all great stay . 
 Feb 26 2009 	 Excellent round .... would definetly recommend ! 	 stay 7 night 14/2/09 - 21/2/09 kind 2nd honeymoon . check 3 pm , arrive 1 pm room ready ! bag take staff ! ! brilliant start ! ! room spacious ( I ve hear NY often tiny ) 14th floor excellent view , room noisy window open New York can not complain noise ! ! fire station right next door noise ! ! room nice tv , fridge , microwave free safe , coffee machine . lovely picture , nicely decorate bathroom lovely ! ! nice shower ! ! room service available , pay per view movie also date film . pay $ 12 watch Slumdog Millionaire release UK .On first night find big water bug ( look like cockroach ) bathroom .. do not complain happen ! ! Guest Services manager call next day see happy room , tell find , immediately send drink , popcorn , chocolate & amp ; 2 voucher breakfast next morning ... excellent customer service ! hotel excellent location wise . 8th av W50th .... perfect walk everywhere ! tube station round corner line go way Grenwich village ground zero , battery park etc . everything within walking distance hotel , Times Square 2 minute walk away ! reception staff fab , desk organise trip , theatre ticket etc . also room free internet use ( 4 pc 's ) , do not breakfast include give 2 free breakfast arrival ! cafe next door use breakfast also open public well , fantastic ! breakfast beautiful , egg , bacon , pancake , waffle , fruit , whatever need .... highly recommend ! ! fly home 10 pm check midday , keep suitcase we organise taxi 's we . pay room long want do not bother ! excellent hotel , could complain anything ! ! definetly return next visit NY ! ! xx 
