pleasantly 	 pleasantly surprised hotel . Found Tripadvisor not dissappointe . find good rate hotel 's website travel site account AAA discount . room big expect ( NY standard ) appear renovate recently . staff friendly helpful . luxury hotel mean extremely nice price . subway 1 block away Central Park 3 block . would definitely stay . 
 skip look luxury 	 stay Lucerne Thanksgiving . will make simple : use luxury hotel hope find inexpensive gem UWS sadly disappoint . use mid low range chain , might pleasantly surprised . luxury hotel definition . like choice neighborhood - ave - also permanent home least several long - term resident grandfathere NY rent control law , not surprised smell cooking see small family live one room . opinion , slice New York life add character , rather give hotel air flop house , highlight drab , institutional hallway , cheap blanket , grimy shower curtain , unhelpful cheerless staff , general sense disease ... sum : recommend anyone accustom 4 5 star hotel . 3 star good , less take account permanent resident situation . 
 lovely hotel comfortable great location 	 Beautifully restore tastefully decorate hotel . standard double room queen size bed spacious , comfortable welcoming . staff friendly helpful . great location upper west side - stone 's throw Central Park ( pleasant walk park ' museum mile ' ) . subway downtown 2 minute walk . Breakfast not include room retrospect glad give we chance sample breakfast new cafe diner 4 day stay - none 400 yard doorstep ! 
 Aug 11 2007 	 Lucerne okay 	 get back week stay Lucerne . everyone doorman front desk nice . book double queen suite ask quiet room arrival . give room 3rd floor back- view quiet- Monday find several room next renovated- gutted . electric saw hammer smell paint . front desk offer move we since mean repacke everything ( unpack everything since quiet Sun . ) decide stay put . . usually room day work stop 5 pm . wish informed hand construction . bed comfortable , sleep great . air conditioner work well . problem w internet service . sit room quite small 2 chair . bathroom small tiny . Maid service spotty , floor vacuum entire week , toiletry soap always replace . location can not beat- close subway , lot restaurant feel safe . would stay would make sure room near renovation 
 Aug 10 2007 	 great place reasonable price close subway 	 daughter get back overnight shopping trip NYC find reasonable hotel recommend TripAdvisor reviewer . seem like favorite hotel $ 450 night want shell much . tax , room Lucerne $ 298 fine . like much . room clean comfortable convenient subway . ninth floor double queen room quiet ( ! ) bed comfortable . adjoining restaurant nice . 's great alternative fluffy robe minibar type hotel . 
 Aug 7 2007 	 Great Hotel Great Price 	 love stay Lucerne . arrive early ( 11 am ) room available we check - in , great . room beautifully decorate . huge , adequate teeenage son , hey New York . bedsheet change everyday , require do , fresh toiletry towel put . small charge apply use business internet room handy check flight etc . lady reception helpful book theatre ticket provide advice eat etc . also confirm Shuttle Bus return jfk.could not fault hotel would definitely recommend friend . the location Upper West side find great . away hustle bustle Mid Town - short convenient underground journey away . also short walk Central Park . the area around Lucerne fairly residential , lot restaurant bar . shortage choice . also turn right hotel , walk Hudson River , fantastic bar / restaurant , great atmosphere , river - well worth walk , watch sun go down . we fantastic stay New York would recommend ferry Liberty Island Ellis Island ( hire headphone , well worth ) . also take free ferry Staten Island view Statue Liberty Manhatten . 
 Aug 4 2007 	 Perfect Choice 	 Lucerne turn perfect choice four day stay Manhattan . staff extremely pleasant helpful . , truly enjoy accommodation . light restless sleeper , fret every hotel stay . yet sleep soundly every night disturbance kind . room big enough solo traveler ( two people would also comfortable ) . bed bathroom great quality , AC keep room chilly desire . view Hudson ( take photo big red sun set river window ) .conveniently locate Upper West side , walk everywhere day : one block Museum Natural History , two block Central Park , seven block Strawberry Fields Imagine mosaic ; easy stroll across park Met , Frick , Guggenheim . even walk park midtown site well ( Radio City , Rockfeller Center , MoMA ) . Broadway also block away . cab ride Penn Station effortless inexpensive . enjoy delicious relax dinner every evening restaurant block two hotel ( nice breakfast hotel restaurant , Nice Matin ) .some site give Lucerne 2 star , other 3 . would gladly award 3 star ; stay many US city hotel claim 3 star mostly disappointed . New York , price good deal ( book end July - early Aug ) . plan make Lucerne regular hotel future visit . commend management staff . 
 Aug 3 2007 	 great location ! 	 pleasantly surprised wonderful gem hotel . New York stay hotel near kaos Time Square . lucerne definitey well choice . lucerne clean , comfortable close great restaurant , subway , Central Park , Museums , Riverside Park . pleasure come home evening hectic day sightseeing . staff friendly helpful . Lucerne would certainly choice hotel next time visit New York . 
 Aug 2 2007 	 Sublime Relaxation Retreat town NY Bar Exam 	 town take New York Bar Exam , want quiet retreat could get quality sleep , relax , close transportation , far away honk horn , frantic tourist enjoy local flavor . get thing stay Lucerne , great bargain price ! impeccable customer service -- hotel porter , elevator operator , front desk , clean service -- polite helpful , also easily avoidable feel anti - social particularly independent ( e.g. , not need someone hail cab ) . get small cheap room , wow size room bathroom ( huge Manhattan ! ) . clean , luxurious . flat screen tv , plush pillow . Courtesy umbrella closet come handy . combination safe room . daze confused state take 2 - day bar exam , end major crisis already check left town . call hotel speak manager ( Dexter ) , extremely courteous helpful , resolve dilemma utmost care . food - Nice Matin , restaurant next door , ok , bit pricey , even hotel discount , well food along Broadway Amsterdam within walking distance . take 10 step Nice Matin world option fingertip . Zabar 's right block Broadway . Tasty local eat less 2 - minute walk away Amsterdam abound ( chinese , indian , diner , South american , fusion , etc ) . Necessities - Duane Reede right across streettransportation - 1 train close ( major factor , hate walk 1 long block 1.5 short block subway ) ; taxis Broadway Amsterdam readily hailablealso , bunch store Broadway , time kill - Filene 's Basement , Sephora , Staples , etc . con - wireless internet free ( $ 5.95 entire duration stay ) . Business Center rip - off ( something like 30cent / min get online ) . restaurant list hotel guide provide room poor representation really available right outside hotel ! toiletry exceptionally odiferous bit masculine scent . 
 Jul 31 2007 	 great hotel 	 friendly , clean , quiet , lovely , convenient . great NY Hotel . convenient subway . . would definetly stay . complaint pillow uncomfortable lumpy could get extra set sheet although ask three day row . 
 Jul 23 2007 	 great hotel location ! 	 Hotel excellent . great staff , lovely lobby room small , nice -- comfy bed ( 2 double ) hotel great location , next door Filenes Basement , 1 block subway take direcly theatre district . nice italian restaurant ( Coppolas ) right across street , along 24 hour Duane Reed pharmacy . try Zabars ( around corner Broadway ) breakfast . would highly recommend hotel 
 Jul 20 2007 	 Beautiful Establishment 	 stay Lucerne go well establishment beautiful even though expensive expensive city .. issue room toilet room 324 pain flush .. suction great .. couple time go back flush .. also lack trash can trash locate bathroom .. start use extra plastic bag contain garbage one like thing hang around yuck .. also find cork screw cabinet still contain cork still .. presume could get cork one notice make sure place eyesight way could either cork remove cork screw replace , otherwise front desk , bellman housekeep nice friendly .. definitely would consider stay .. 
 Jul 1 2007 	 dump ! 	 choose hotel location ( family upper west side ) , somewhat hopeful give review read . lobby nice staff , room horrible . think ' ve read hotel undergone renovation , maybe not progress suite yet furnishing room definitely shabby . , give hotel reasonably price not really care . family 5 ( three young child ) need use sofabe . pull find upper third bed tilt toward floor unusuable . since late night child already asleep , fit we king bed . comfortable . also night , husband go turn light , lightswitch shatter leave shard floor . next morning take shower notice black hair tub ( be blond ) tub back . addition , mini refrigerator would shut kick hard back slot . needless say less pleased . pack stuff get room Mandarin Oriental ( absolutely amazing ) .In addition , speak desk manager , not get much reaction ( even & quot ; sorry & quot ; ) , ask want another room . , staff nice , would not rate excellent . I know many people give hotel great review , not happen we . 
 Jun 26 2007 	 Excellent stay ! 	 thoroughly enjoy stay Lucerne Hotel . pleasure return evening three busy day explore NYC . room ( double queen 2 adult , 2 child ) comfortable , reasonably sized , super clean , quiet . staff friendly doorman even manage elicit smile extra shy 8 year - old . good dinner hotel 's Nice Matin dessert Grom gelato Broadway . also great lunch Funky Diner . perfect every way ! 
 Jun 25 2007 	 Great Place ! 	 problem . room large expect everyone always talk NYC small room . Conceierge ( Liz ) helpful . sell discount ticket anywhere . be 1 block subway 's easy get around . also , receive credit card statement post unexpected charge card . would certainly recommend hotel anyone . 
 Jun 22 2007 	 would stay ... 	 stay attend conference city . 2 room four co - worker . hotel lovely . room recently renovate beautiful . it clean , bed comfy service good . change room due air conditioning break one night though . it good location close subway station lot restaurant shopping . 
 Jun 2 2007 	 great experience 	 hotel select conference attend . find pleasant . single room queen bed . room back face building , yet nice window pleasant . room small motel room otherwise small . well decorate bathroom lovely . amenity ( bed , pillow , towel , tv , etc . ) slightly average . location excellent , two block walk Central Park , block Zabar 's , many good eatery area . staff noticeably pleasant attentive . overall hotel charming , high - class feel would return anytime price right . 
