first 	 stay Bryant Park Hotel quick overnighter friend . room gorgeous , bathroom beyond amazing , amenity offer first class . after run around city look fun place go , end Cellar Bar mad not come early ! music great , crowd fun , staff nice funny . only downfall & quot ; late night & quot ; menu -- food obviously microwave , else expect 3 a.m. ? 
 May 21 2008 	 Outstanding Hotel 	 hotel absolutely outstanding . be block half Times Square / Broadway across street Bryant Park . hotel stylish trendy . room big ( NYC ) comfortable , bathroom outstanding super clean . definately want stay . room service crazy expensive nice , affordable place eat 100 yard front door . 
 may 14 2008 	 modern stylish hotel 	 stay Bryant September last year . check tell room available even though late afternoon . staff member dealing see really bother , continued sentence & quot ; I m sorry do not room available want & quot ; without offer alternative . initially request room quite high first one offer 3rd floor . eventually partner complain room available high acceptable . room comfortable , bathroom absolutely beautiful . staff friendly , apart encounter initially , good service concierge confirm reservation we , highly recommend go dinner River Cafe Rainbow Rooms . 
 May 11 2008 	 looooovely ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 	 write review spend last two month check review hotel . so guess people same . this good hotel ' ve ever ( & amp ; ' m picky ! ) .everyone friendly , room BIG , shower huge bath something else . the room service food bit pricey god ... delicious ! eveythe clean perfect . if first time NY not go time square fifth avenue like 4 day ( EXHAUSTED ! ) head downtown Soho , amazing shop restaurant , find seafood bar call & quot ; Ed & quot ; , food great . also Nobu never dissapoint . 
 May 5 2008 	 excellent customer service ! 	 husband stay Bryant Park weekend New York City friend 's pre - wedding party . reservation via hotel 's website easy user - friendly , concierge email confirm reservation , day check - in reminder case anything specific might need help ( theater ticket , dinner reservation , etc . ) . arrive check - in smooth flawless , everyone doorman / bellhop front desk receptionist incredibly friendly , helpful , gracious . upgrade large room - clean , large , king size bed , large bathroom . room view , 's hotel 's fault - request one , try change room result . great gym modern equipment , water fruit available . location seem excellent - close shopping , subway , Times Square . starbuck casual sandwich shop nearby . really cozy restaurant brunch lunch see immediate area , , close subway 's really non - issue . not try Koi Cellar Bar , 4:30pm , Friday Saturday , lobby crowded people come hotel specifically two spot - impressive people - watching ! also say wonderful come back relax hotel long day window - shopping walk city - room definitely large enough comfortable enough feel little indulgent feel relaxed . , wonderful stay definitely feel like 4 - star hotel , large part fantastic customer service . would definitely stay . 
 may 3 2008 	 good 	 moment car pull hotel take care . check check smooth fast , although could due time arrive leave ( late early ) . 5 day stay . Suite perfect shape ( non smoking room ) view great . room service perfect ! beautiful food serve fast , price mind . Turndown service bit much , like jungle noise fresh ice . friendly staff . we entertainment manager book we different restaurant , prove nice . never feel snobbyness review comment on . the bit impressed house bar . service rubbish unfriendly , drink way pricey DJ could laptop ... , book hotel bar , worry really . this hotel child ! please keep way ! really can not fault Bryant Park Hotel anyway surely stay future trip big apple . 
 Apr 27 2008 	 Great Place stay 	 girlfriend ( Fiancée ) book hotel 30th birthday could not choose well place stay ! location amazing suite amazing view look park . eat Koi first night food superb . not order pricey room service menu lovely deli 's outside front door ! staff friendly helpful , even remember birthday have 4 day . everything ask not problem champagne deliver room nice touch ! room big , molton brown smellie nice tub brilliant ! would defo stay would recommend anyone . 
 Apr 21 2008 	 good great 	 stay recently daughter who s 1 , definitely baby child friendly hotel probably fault booking . book suite 6mths previous request crib . crib way room get call member staff tell crib would provide stay inform would not provide future stay . think could tell we check make we feel unwelcome tolerate baby once . also get married hotel friend Ireland rang event manager dictate detail note add floral arrangement deliver room . never get note assume hotel provide flower every guest ! ! ! ! embarasse never thank friend mention week later wonder not say anything . also book suite stay full week get marry think hotel acknowledge way . overall pleasant stay room big , light spacious amazing view . 
 Apr 15 2008 	 style less substance 	 issue . yes , hotel beautiful look , clean ever stay . bathroom stunning , Molton Brown smellie heavenly . however , could do hotel - like touch . More seat lobby would good , especially wait room ready . kettle room fashionable day ? need lift soooooo dark , open door white room , temporarily blind . an average hotel experience money . 
 Apr 2 2008 	 Essence New York 	 first visit New York looking stay somewhere central , top expensive still capture look feel expect New York . experience Bryant Park Hotel fulfil . swift , efficient friendly check - in fully featured room await modern convenience . bathroom great good Molton Brown product big fluffy towel . turn - down service night add luxury . would highly recommend hotel get chance go New York hotel first choice place stay . 
 Apr 1 2008 	 Great Spot 	 great hotel great staff would stay 
 Mar 26 2008 	 go anywhere else ? 	 good hotel ever stay , ' ve stay many count . although pool , great everything else ! staff polite everything could make sure feel home , get we sell ticket ( together ) Broadway show Wicked ( terrific way ) . room huge , not even get suite ! modern chic , quite artsy ! tv HD flat screen great listeing music watchee cheap pay per view movie ! bed comfy great Molten Brown product take home . good place NYC be go next year ! 
 Mar 25 2008 	 Excellence Bryant Park Hotel 	 wife recently spend four delightful night Bryant Park . 57 67 respectively . find hotel quiet , intimate upscale . staff professional , efficient , responsive , courteous friendly . suite bright , immaculate , spacious quite comfortable . room service always prompt . hotel conviently locate 40th Street across beautiful Bryant Park . ' Grill ' resturant locate site serve we wonderful meal . Bryant Park higest recommendation . ArthurChicago 
