COLORBLIND 	 Prior trip whether business pleasure go Trip Advisor view late review hotel stay trip . enjoy read review see other feel certain hotel frequently find recommendation restaurant locate near hotel . recently look review Darlington Hyde Park ( DHP ) London recent trip shock read negative review partner person color advise people color stay dhp.i person color discover DHP Trip Advisor web site stay DHP four five occasion past two year direct response find site even though travel agent make suggestion time familiar dhp.during visit always treat utmost respect courtesy . time feel slight inkling distain perceive negative treatment towar race . fact entire staff reception , dining , housekeep fantastic least . besides convenient location five minute walk Paddington Station two tube station , cleanliness entire hotel , bright attractively decorate room , quality breakfast outstanding attribute hotel staff care considerate manner . I fortunate consult business allow opportunity travel around world stay hotel every class . travel London either stopover point specifically holiday visit DHP hotel choice . in past recommend DHP colleague friend . visit last week highly recommend Darlington Hyde Park anyone . 
 great location great staff bit noisy room 	 stay 6 night Darlington Hotel . location perfect , easily hop bus tube travel London . travel mostly bus : 15 minute Notting Hill Oxford Street . perfect ! first stay room 10 . room quiet fresh , not much daylight . ask room street side hotel . staff helpful put we room 203 . room lot big , two nice seat relax day walk , bathroom much practical . disadvantage room bad ventilation ( night could hot room , even window curtain open 10 degree c outside ) noise outside ( window open fresh air ) wooden floor ( hear upper neighbor walk toilet ) .However , really enjoy stay : nice breakfast , spacy room , cleanliness really friendly staff . definately worth visit another time ! 
 May 31 2006 	 Dee - light 	 stay 3 night last week . right bat , know customer service step . graciously accomadate 2yr old upgrading we suite room give we cot FREE ! get great rate 95 GBP night ... sound expensive , comparatively speak , really good . really can not beat location . 3min walk Paddington Station direct access Heathrow major tube station Central London . close hotel , variety restaurant , pub shop . internet cafe close well . one major hop on / hop bus tour pick point near Pad Stn well . breakfast great ... full English bkfst keep we go tlll mid afternoon bargain considering include . security hotel great multiple key - access door throughout hotel . staff pleasant willing offer advice . suite spacious , clean amenity hairdryer , fridge , safe , large closet , big fluffy towel , plenty hot water decent bed . tall , like ( 5 ' 9 & quot ; ) , may want request non - basement room difficulite shower . perhaps keep suite downstairs . area safe attractive neighborhood . disappoint choice . sure , room could use paint touch - up decor upgrade , hey , price , can not complain . cleanliness amazing . would stay heartbeat ! 
 May 23 2006 	 fantastic hotel ! 	 stay Darlington one night May right leave return US . would ' ve know hotel soon , would ' ve stay begin trip well . fantastic place stay London . within couple block Paddington station , perfect rail access Heathrow rest rail system . far tube access also close Lancaster Gate station choice Paddington . neighborhood beautiful full great place eat . hotel staff courteous , attentive , helpful . room absolutely huge London standard big , comfortable bed . bathroom shower clean plenty hot water big fluffy bath towel . Breakfast serve large , bright room cook order ( complaint mushroom can ! ) . truly absolutely nothing praise incredible jem hotel London . stay ! 
 May 22 2006 	 find ! ! ! 	 book hotel read review website be not dissapointe ! ! Darlington really quaint hotel SPOTLESS ! ! room ( 102 ) good size many amenity . staff helpful , even let we use internet computer look attraction ticket ! breakfast fab , cook order full english continental buffet . one definatley & quot ; go back & quot ; list . 
 May 21 2006 	 professionally run hotel 	 locate amongst victorian Houses convert hotel guest house , Darlington set back road hedge front . guest mixture overseas local tourist out - of - town . stay 5 day night . room spacious , clean standard facility bathroom , wardrobe , desk , tv , safe , etc . small hotel , gym . breakfast room bright cheery choice continental full english breakfast ( breakfast include room price ) . service time polite professional . convenience transport option include bus , Lancaster Gate tube station near Bayswater Road allow one use Central Line avoid delay may occur Circle District line available Paddington tube stop Praed Street , west bind train nearby Paddington train station . nearby attraction include , Alexander Fleming Laboratory Museum penicillin discover Tyburn Convent . departure London use Paddington - Heathrow Express train get airport . 
 May 20 2006 	 trust rating great ! 	 read review TripAdvisor decide stay Darlington Hyde Park London vacation ' m glad ! stay room 403 ( room 2 twin bed ) comfortable clean . staff nice breakfast every morning wonderful . minute walk Paddington easy hail taxi need . 24 hour store nearby well , perfect location - convenient great bargain . would reccomend anyone plan stay next trip London . : ) 
 May 17 2006 	 even well expect 	 arrive Darlington 25 hour direct flight New Zealand . early , able get straight second floor twin room . absolutely spotlessly clean , roomy delightful . two floor ceiling window overlook Sussex Gardens - wide tree line street 2 minute walk Paddington Station . the bathroom huge - full sized bath power shower . another large window overlook street give plenty light breeze . there tea coffee make facility room well hairdryer , fan , safe , trouser press tv . bed comfortable exactly need long trip . spend three night head Italy 2 week . come back Darlington another two night begin May . another twin room third floor . slightly small last , still high standard housekeeping . the cook full english breakfast enough keep go throughout day , return evening plenty sightseeing , load restaurant locally - reception list recommend one nearby . the staff reception extremely helpful . actually book double room , husband unwell , manage change twin without problem whatsoever . able store excess luggage hotel away Italy 2 week , whatever query , answer promptly always smile . all , recommend hotel highly - absolutely wonderful ... real home away home would without doubt stay next time London recommend everyone know travel London stay . certain beat price service . 
 May 9 2006 	 DHP real gem ! 	 stay Darlington Hyde Park St. Patrick 's Day weekend ; hotel decision base review . disappointed ! hotel good bargain London , tidy comfortable . say room also quite large compare european hotel . breakfast super yummy , must order cook - to - order English Breakfast least ! staff friendly helpful . flight arrive early morning , well check - in , simply drop bag hotel sit room return check . location Darlington also ideal - right 2 Tube stop , Paddington ( major station ) Lancaster Gate . Use Tube travel London ; convenient easy . also plenty good restaurant vicinity hotel . fish & amp ; chip pint ale Dickins Pub . find window seat ideal place people watch ! , trip London wonderful , definitely return Darlington Hyde Park visit ! 
 may 6 2006 	 great place 	 London place bargain . 's convenient location , lot restaurant nearby , well tube station . Paddington station also walk distance , convenient come Heathrow Express recommend . drawback tiny , tiny single room . 's clean comfortable enough sleep etc , would recommend double room minimum want space . still would likely stay , probably large room . 
 May 3 2006 	 absolutely perfect every way ! ! 	 return 3 night stay hotel Sat 29th April Tues 2nd May . stay room 17 ground floor superb . street noise room rear . window overlook nice courtyard pretty plant small tree , nicely keep . peaceful private . room huge London hotel standard smartly furnish : extremely comfortable bed high quality mattress , good linen clean bedspread - unlike place , plenty wardrobe space , sofa , two armchair , coffee table , desk chair , tv dvd player . nice hospitality tray tea , coffee , biscuit , decent kettle etc . bathroom : well , wonderful surprise ! ! also spacious fullsize bath , power shower , load hot water time , thick fluffy towel , nice basket Gilchrist Soames toiletry , spotlessly clean fabulous . speak highly enough high standard cleanliness throughout stay attention detail . even box tissue bedside cabinet , great little fridge , safe valuable tastefully choose picture wall , attractive drape window . perfect every way ! ! book directly hotel bargain . breakfast include rate serve charming basement room conservatory style roof let light . serve staff genuinely nice . pleasure eat morning cook breakfast hot tasty . self serve breakfast buffet elegantly present good choice b B hotel . receptionist friendly efficient not expect help bus timetable , map local info . get instead Paddington rail tube station 5 minute walk away . feel hotel represent excellent value money would use without hesitation . book ! ! 
 May 1 2006 	 homely twee 	 hi girlfriend stay hotel 29th April 2006 1 night visit friend . choose hotel central location recommendation site . hotel Sussex Gardens , area full hotel appear much outside . area lovely clean , tree line quintessentially English yet 5 minute Paddington station . hotel staff friendly , hotel clean well present make 4 victorian house convert hotel . room nothing special yet nothing bad either - well hotel room decorate normally practically entirely clean comfortable . breakfast room modern airy breakfast quite minimal clean tasty . if criticism hotel would room not well insulated , hear every noise corridor 's part hotel charm - like someone 's house . would guest , bit snobby , look nose girlfriend earth posh fancy hardly blame hotel that . all happily recommend place planning trip abroad remember - nice guest , good old England - cock us smile will not hurt . 
 May 1 2006 	 would stay 	 great location ; friendly staff ; clean . complaint - could hear noise room . all - in - all would stay . 
