good 	 enjoy stay excelsior , undergo renovation . offer upgrade renovate Jr Suite back hotel instead reservation regular King room face Museum . however , smell new furniture carpet problem spouse , ask move old room . people would happy renovated room , new tv , new furniture . unrenovated room nevertheless nice , spacious clean . although want view , end ' m happy not get . room back quiet , hardly street noise , sleep well comfortable bed . staff pleasant , nice breakfast buffet 2nd floor offer $ 12 per person , beautifully furnish room . the adjoining restaurant ( separate ownership ) nice bar lobby . the location excellent . lot taxi pass 81st west side 79th St roadway across Central Park . also subway downtown corner . a pleasant walk across Park Met Guggenheim , across street Natural History Museum Planetarium . many good neighborhood ( non touristy ) restaurant nearby . great shopping west Broadway ( , gear New Yorkers , tourist , plus ) .Prices excelsior seem reasonable comparison hotel close midtown . we would certainly go back . 
 shame well - locate hotel run - down dimly light grumpy staff boot . 	 stay four night Excelsior could ideal . endless wait crowd elevator ( one broken entire stay ) , whole $ 450 room single overhead light , door handle fall interior door , un - vacuumed hallway new carpet lay , unwelcome staff ( housekeeping except ) . place ripe full makeover ! 
 good marathon hotel - skip be town something else 	 like title say , run ING New York City Marathon pick hotel 2 reason : price 's proximity finish line . Disliking Times Square want stay . sure be close start line bus ( be assign one ) morning that s . move hotel : lobby small beautiful woodwork furniture outdate enough room sit . 2 couch 2 chair . room small clean well keep nice view . really like bathroom 's country charm . bed super comfy - important be run marathon- blanket cuddly . dislike : small light hallway peered door night : like sleep nightlight ! since door right next bed , hear other door open closing . overall , price , find well hotel NYC . ' m say 's terrible , ' m say be well . be run marathon , hotel ten block finish line appreciate get room relatively quickly chaos finish line . hotel price really climb marathon weekend appreciate 300 $ price tag . happy running ! see finish line ! ! 
 Mar 28 2008 	 great value great location 	 stay excelsior six day completely satisfied . be across street Museum Natural History , half block subway , step away dozen restaurant Zabar 's -- self - cater breakfast . breakfast buffet nice adequate cost $ 16 ea . bar beautiful quiet . local relative say restaurant good not get chance try . room beautifully decorate ; good combination paint , walpaper , carpet bedspread ever see hotel . area clean . minibar ! , great value . book again . PS pictures hotel 's web site good preview get . 
 Mar 25 2008 	 never 	 excelsior Hotel excel way . wife want romantic weekend NY choose excelsior due picture web site . wish judge book cover . staff rude arogant , ask question answer usually plain wrong . check clerk receive telephone call stand argue caller retrieve laundry steal . continental breakfast would pass roadside motel let alone upper west side hotel . save grace location , easy access entire city foot subway . 
 Mar 8 2008 	 Clean Safe Small 	 stay excelsior three night . hotel locate Upper West Side Manhattan , one block west Central Park . check uneventful pleasant . room , 502 , face park though quite small , certainly clean well - maintain . switch room , though , continuous waft cigarette smoke keep creep room . although non - smoking hotel , hallway also smell smoke . front desk say unless know room come , could not anything , move room . my second room , 603 , identical first , smoke . queen size bed , armoire , desk small bathroom . Noise , give locaion near busy street , bad . there small fitness room restaurant onsite . eat restaurant , comment , te fitness room fine . overall , excelsior offer reasonably - price , safe place stay visit Upper West Side . would stay , provide plan sleep . 
 Mar 7 2008 	 still Great Find 	 stay 3 night Excelsior . ' m always lookout quality hotel bargain NYC can not find anything beat Excelsior . stay regular hotel double room $ 219 / night ( without enormous NY taxis add ) . be convenient subway , relatively quiet neighborhood convenient Lincoln Center daughter audition . starbuck across street , lot 's restaurant nearby , jog Central Park . perfect . 
 Mar 1 2008 	 Delightful Hotel 	 husband stay excelsior two night find lovely . room absolutely immaculate bathroom large . ( Room 806 ) enjoy view park Museum Natural History . love floral tile work little alcove window bathtub . bed extremely comfortable . utilize room safe working arrive . front desk send someone fix matter minute . find staff courteous helpful . doorman actually run street umbrella husband flag taxi . concierge always smile whenever exit elevator . utilize restaurant 2nd floor . however , find wonderful little diner within walk distance quite bargain NYC . leave hotel , turn right walk Broadway ( 2 block ) . Turn leave Broadway pass Filenes 79th . diner side street Filenes past Broadway 78th . breakfast includes freshly squeeze orange juice coffee . 8 full selection , well ala carte choice . full breakfast choose challah french toast generous serve bacon . entire bill 6.50 tax ! lunch try Artie 's Deli . wonderful ! turn right leave hotel , walk Broadway . time , go right Broadway walk 83rd . huge sandwich , great matzo ball soup fair price . dinner Freds one night Pergola des Artistes . later offer wonderful fix price french dinner . take taxi believe 46th Street west side near Times Square . worth trip ! hotel store luggage 3rd day evening flight home . find everything hotel lovely definitely stay visit New York 
 Feb 25 2008 	 Nice Hotel 	 hotel certainly rate high instance Milford Plaza Downtown stay last visit ( basic small room ) room nicely decorate clean good size two adult two teenager ( 17 & amp ; 13 ) beware though two queen size bed mean brother sister share . it February & amp ; cold outside , room air conditioning unit hard keep room cosy . one thing miss kettle first thing morning cuppa , buy cheap kettle $ 10 sorted ! like district Excelsior locate peaceful downtown ensure good night sleep . subway end block easy walk destination . a good supply eatery area stroll away - try ejs diner great breakfast traditional diner surrounding . the downside hotel staff desk friendly porter concierge always get hand tip . interaction people limit day day basis ' let put , maid pleasant service room really well every day . 
 Jan 24 2008 	 good 	 great location , great staff , good value New York . close everything . family friendly . boutique feel . recent renovation interfere stay hope improve future adventure . check Zabars EJ 's . starbuck across street complimentary coffee would appreciate . hope stay next trip . 
 Jan 23 2008 	 everything need 	 stay week include New Year 's Eve . last 2 night December price high night ; still much less NYC hotel close action . hotel relatively quiet area right across street Natural History museum , take we 2 day see . 2 teenager stay separate adjacent room . enough space meet need . coffee room , breakfast available price . breakfast good ; rather cold go look food morning eat every day . concierge helpful finding restaurant even order pizza room one night ! one computer available lobby guest use . , pleasant experience .... stay upscale place excelsior everything need without break bank . would definitely stay . 
 Jan 10 2008 	 enjoy stay 	 stay Excelsior 1st week December . went NYC enjoy Christmas decoration rockette . prefer hustle Times Square , hotel meet need . take time enjoy wonderful neighborhood . many neat shop restaurant within walking distance . something not experience Times Square area . zabar definetely worth look . also walk Alice 's Tea Cup delightful breakfast brunch . one problem toliet overflowing . 1 phone call get quick result . water pressure shower amazing ! inquire breakfast think pricey . starbuck 1/2 block away fine . like pay use computer . chcek flight think free computer guest use . arrive early morning able check right . also late flight happy store luggage . suggest let call car need check not wait taxi . whole lot reassure know would time . subway close get Times Square never problem . beware though , try take subway back late one evening line need already close . taxi want take Times Square back Central Park West . take we hour get taxi . overall , nice place stay . find staff nice we . kindness respect go long way . 
 Jan 2 2008 	 not even think 	 stay excelsior several year , despite limitation ( e.g. , room service ) usually find pleasant , good place spend three four day . come excelsior week Christmas New Year year -- disaster . example : room infernally hot could make tolerable run AC full blast ( late December ) , make hard sleep ancient AC unit 's noise . hotel run hot water 9 ( middle shower ) wait half hour get lukewarm enough use . three key room stop work one day schedule checkout time surly front desk attendant , instead apologize programming error , accuse we keep key next magnetic device . 
 Jan 2 2008 	 Super tourist hotel 	 hotel New York expensive compare available hotel price bracket , one appear far well website also review past traveller ' review . we impress hotel , everything expect mid price 3 * hotel . hotel half way central park west side 8th Columbus , mean every morning enjoy walk central park town . be fan walk subway right corner 8th . I really like area touristy mid town near Times Square , still pretty central . near Uptown bus tour stop Natural History museum well place see tourist site . our price include breakfast British want eat breakfast diner , lunch cafe dinner local restaurant - achieve . recommend EJs French Roast breakfast Nice Matin dinner . hotel recommendation one try . have NYC several time already perfect different quieter pleasant part town without far away . hotel room large base prior experience NYC hotel , nice fresh new - look bed , bathroom adequate room nice view rooftop city . spend bit time hotel room end day watch big tv , would want spend much time , NYC . happy hotel , would definitely recommend similar price would definitely choose ( cost £ 140 night wk £ 170 weekend roughly ) . can not give 5 * do not try brekkie do not facility big 4/5 * , main asset location pleasant comfort room . 
