Nice 	 hotel Great Location , especially watch Macys Day Parade . pay extra room parade view view great not really think worth price charge price matter 5th floor 30th floor . room small New York expect . hotel small lounge , many night full seat leave . staff friendly , however other . hotel right Times Square , close shopping , show , central park . planning trip New York suggest stay someone Time Square , many hotel along Broadway 7th Ave want . overall hotel Nice hotel Great , go back try another hotel Times square . on side note ! LOVED NYC ! like Sex City make sure book Sex City tour City Tours ! great ! 
 Satisfactory - Excellent Location Broadway show 	 's good hotel good value great location see broadway show . 's 8 block walk ( actually short time - wise ny ) . expect crowd busy new york theater sidewalk part experience . parking $ 42 per night hotel . front desk little slow accomodate . Beds Bathroom clean comfy . room 2 double bed great friend . got great rate priceline , usually book www.spg.com get pretty close $ 200 . 
 major fault spectacular 	 hotel provide good service ; room thoroughly clean concierge give good advice explore New York city . room serve purpose ; comfortable bed , tv variety channel , twin standard room spacious enough two people , bathroom everything else also great . big wooden desk thing next window pretty useless though ! not use gym restaurant , busy explore city - look fine . location legendary , especially night walk Times square matter 30 second ( run ! ) also subway station major line close proximity hotel ; manage explore 5 borough bit effort - . good thing hotel , view phenomenal . look room ( 38th floor something ) honestly make feel empty . club room , see New York holistic perspective , square outline central park visible . find annoying hotel definetly offer breakfast weekend , mean , ! eat local cafe flood tourist , available table . my final observation hotel like city within city ; 24 - 7 literally thousand people hang around lounge , walk main entrance . many people , kind feel like another number ! 
 need stay area - try another hotel 	 last two business trip city year , stay Hilton New York . decide try hotel . will not first ( second third choice ) go forward . the check average . room , though , smell strongly cinnamon air freshner . reason - previous guest smoke bathroom housekeeping try mask smell . receptionist helpful changed room right away . room small Hilton ( price ) . not enough room put dresser right front bed 's corner near closet . therefore , tv corner well . desk width room near window . dislike wireless internet short cable use . not able sit bed work . room hot night temperature not work . bathroom decor bit shabby size small . bed comfortable though . I like cafe lobby free interet access . pay handle fee collect package business center . also pay use gym , annoying . in , nother really wrong hotel - average . right price , maybe woudl stay 's price Hilton - would choose Hilton . 
 Jul 8 2009 	 Sheraton Towers ~ trust ... would not stay 	 husband decide take whirlwind trip NY excited . book trip chance help . bless heart . always come tripadvisor check review ... late ! read review quite concerned bad outweigh good people . SoI call ahead tell would like & quot ; renovate room . & quot ; said & quot ; ' m renovate . & quot ; relaxed decide . get see lobby beautiful ~ like Vegas hotel , happy . front desk people extremely polite ... fact everyone right bell hop great ! even give we early check grateful since tired . get room not bad ... small , furniture old side , something could deal , go bathroom smell like old dishrag smell . musty cover odor spray horrific . , call downstairs send bellhop take we another room . low floor . walk ... somewhat clean , go bathroom smell smell ! ( wish do not good nose time ) . bellhop nice grinned said & quot ; much well & quot ; stay . get shower later day smell wall 's ! rag use wipe wall floor old musty dishrag smell . Soo ... body spray ! every day 4 day spray wall Vanilla Spray seem cover smell . maid service leave room neat go beyond call duty , could not get past smell . the air conditioning unit unit floor air shoot right onto bed . first night froze . can not change vent direction blow one way , take phonebook prop whole metal cover cover , stand air vent straight up . , , , , , work ... problem solve . new room , carpet smell musty , musty . trust , would never steer anyone wrong .... money pay worth . last time go NY stay Mariott Marquis Times Square , stay . sure , even , MUCH CLEANER , update . also call downstairs concierge ask restaurant hubby put call speaker phone . 45 minute hold , go downstairs . said & quot ; someone allow answer phone . & quot ; good thing Sheraton , location wonderful . right middle theatre district 2 block observatory film today Show . also walk straight street 5 block not bad night , Times Square . everyone Sheraton nice , good thing say .... would much well housekeeping would get act together . need use clean cloth wash shower clean mop . would rate 2 1/2 star hotel ... 4 . disappoint Mariott ! however , Fl stay Embassy Suites love ... not Mariott ... NY would stay Mariott Hilton . handle room small whatever cleanliness must . take Red Bus tour . well worth want see city . buy 2 day ticket since want sightsee get leasure . ( 2 day start time post pass buy , good start time right use ) go Statue Liberty , must trip . exciting . two day get back open crown public . however , think 2 wks notice go . say high people could not make way get breath .... must good shape attempt . get boat , walk World Trade Center take picture . eat little sandwich shop delish . last day til noon shop , take taxi $ 15.00 one way chinatown district . quite away , worth , fun buy neat jewelry shop . remember * * * head airport shuttle complimentary shuttle hotel airport .... need leave 4 hrs ahead time . leave 3 hrs barely make . take shuttle driver hour half .... stop everywhere sun take back road would not pay toll rush hour . figure leave 3 hrs ahead time plenty time . 15 min spare . also travel Travelocity , want change hotel ticket say $ 600 change something ridiculous . much well take taxi airport . think 's $ 40 well worth . love NY go back , learn lesson . book flight hotel separately . refuse let room ruin trip ... thank God body spray ! haenjoy trip hope stay stay well someone hotel read review . 
 Jul 7 2009 	 great hotel great location 	 stay one night arrive check early . room ready tell would available noon . check bag ( charge ) go sight seeing . return late afternoon give room 42nd floor . find air conditioner tear apart lay floor - workman return mintue later . call front desk apologize immediatly upgrade we club level . someone bring we new room key within 5 mintue . room mid - sized , clean bed wonderful . bathroom clean shower great . total quiet sleep great ! would definitetly stay . 
 Jul 6 2009 	 bad Sheraton experience ever ! 	 back NYC transit . the hotel perfectly locate . check staff professional . however , never see Sheraton like this . it like room bathroom small . room age dirty . so far away Sheraton standard . so disapointe . everything inside room seem break nearly . at end , wake housekeeping enter room 7 ! ! ! many option exist smooth comfortable stay new York city . thus pass way . 
 Jul 5 2009 	 pleasantly surprised ! 	 Sheraton New York Hotel Towers exceed expectation . big , busy hotel , staff professional , fact several group hotel , include , conspicuously , dance competition adolescent girl , affect stay . room small well - appoint ( course be small : prime real estate ! ) , bathroom small clean functional . housekeep excellent . good location : block Broadway , heart theater district . would defintely go back . 
 Jul 4 2009 	 great hotel great location ! 	 , , expect much reading review site . however , check , get room 43rd floor , blow away corner room get . clean , linen nice , room big enough 2 woman pre - teen , view good ! even Bliss product bath : ) within walk distance theatre , restaurant , shopping . truly fabulous stay really great hotel ! will back ! ! ! 
 Jul 4 2009 	 great Stay ! ! 	 stay Sheraton Towers June 24th July 2nd 2009 . red eye flight come JFK arrive hotel 6 am . tell we room would not ready around 10 am ( not big suprise ) leave bag doorman leave breakfast . come back around 10ish delighted tell would let we check early since room ready ( believe check around 3 pm ) . room clean comfortable . yes , room bit small work great three we . bed pillow soft . room 41st floor could hear street noise . bathroom little bit mold shower one air vent shower dust clogging , real issue room . , everything great . staff encounter friendly helpful . lobby always bustle people hour day . major plus computer could use lobby ( good luck find computer , be always use . ) location good . be right Times Square Central Park 4 5 block away . subway station within walk distance . I nervous stay read bad review TripAdvisor great stay recommend anyone stay NYC . be nervous staying , relax 's great hotel ! ! 
 Jul 3 2009 	 Hotel need serious updating 	 visit New York 6/26/09 stay 5 night Sheraton New York Hotel & amp ; tower 7th avenue . New York previous occasion stay hotel experience 1st class service accommodation . visit look forward similar experience rewarding holiday sadly let however standard bedroom accommodation clean . without doubt past hotel fantastic top class hotel today require serious update especially bedroom . room 43rd floor size general layout satisfactory general condition worthy international hotel chain . dark brown coloured carpet old , fray unclean look change year . bed linen also leave lot desire not ever change period stay . bathroom although small adequate black moulding stain around bath wall area suggest total neglect . daily attendance staff simply change bathroom towel rearrange bedclothe hover , dust polishing take place stay . never make complaint reception ignore comment review warn reader problem hotel . hotel fantastic part New York 5 minute stroll central park Times Square reader aware seriously consider hotel holiday option bedroom hygiene serious address immediately improve . . 
 Jul 2 2009 	 kill cockroach recently ? hotel 	 Hotel list 4 star not live . starwood usually nice property bad one stay awhile . understand NYC room small , not dirty . hair tub , moldy soap dish shower cockroach floor kill . window dirty , shade cake dust . disappointing . believe starwood hotel ? ? could not . 4 star ! area town great - can not beat , hotel well want . concierge rude well - ask tour one double decker bus say & quot ; tell one company support . & quot ; really ? one deal ? 's money - service management . bring raid stay next . 
 Jul 2 2009 	 Sheraton great ! 	 Stayed Sheraton friend celebrate milestone birthday ! read review , little nervous . well nothing worry . checkin quick easy . get room 48th floor view Central Park . also give we club room advantgage mean Mon thru Fri get free breakfast happy hour evening . check breeze . instead check bag $ 3.25 heave bell captain hold give tip pick bag . staff friendly even though busy . room clean , bed AMAZING ..... do not hesitate stay , great hotel ! 
 Jul 1 2009 	 fabulous time ! ! ! ! 	 overnight stay friend celebrate important occasion live . accomodation exceptional moment arrive check moment check . staff lobby helpful friendly housekeeping staff could accomodate ! ! ! everything ask deliver friendly courteous manner . TRULY live expectaion beyond ! ! ! 
 Jun 30 2009 	 great location great service 	 wonderful stay sheraton , easy get centrlal park go stroll , staff welcome professional , room comfortable , lobby nice like bar.thank Tim Keating uniform service Sean Verney Hotel Manager great stay mini vacation NYC . 
 Jun 30 2009 	 right center 	 negative hotel room hot oven . employee great . 
 Jun 28 2009 	 be like bed ... 	 l - o - v - e bed ( especially ) pillow Sheraton Hotels ! heart Manhatten really nice , come time rest tired bone , need comfort Sheraton bed ! thank make important thing special , Sheraton ! 
 Jun 27 2009 	 perfect place stay Manhattan . 	 husband spend 2 night 3 day NYC anniversary . travel another couple stay Sheraton New York . location perfect get around restaurant , Central Park shopping . excellent service room clean comfortable . would stay anytime go city recommend anyone . 
 Jun 27 2009 	 fab location 	 stay one week trip new york . queue check , two seperate reservation extend stay reception arrange we stay room whole trip , arrange late check , problem take 5 min . lobby modern classy look always busy . room street face 10th floor , noisy , small everything need , bathroom basic clean . room clean daily , day ten housekeeping chase we leave always find room clean return . go breakfast buffet one day without check price - seventy dollar two us ordinary breakfast buffet - BEWARE . load deli 's street get good quality well price food service always fast . also Rays Pizza close open late night snack . also use facility sheraton across road . location amazing , minute times square , rockefeller centre , central park , subway entrance . beat location . load chain restaurant times square serve cheap familiar food open late . top rock view gallery amazing - def night , travel Brooklyn night amazing view . load package deal sight , check thing want online package miss . 
 Jun 25 2009 	 Top Class Manager 	 pleasant stay hotel misinformation give lady reception lead make phonecall Ireland cost $ 121 . read name manager Tripadvisor write explain situation . return receive full return apologetic letter . many problem assuage sincere apology small token kindness . Mr Sean Verney take bow , many other could learn lesson . response ensure recommend hotel . tired decor may common excellent customer relation rarity ! 
 Jun 25 2009 	 definately worth far review give- great experience 	 book trip $ 120 / night Priceline , read dozen unfavourable review hotel . quite skepitcal , figured , least , location would great . take 2 minute check give room queen size bed 43rd floor . room large average New York hotel , view neighbouring building , friend ' room nice view Central Park . sheet pillow amazingly comfortable , bathroom extremely clean . location could beat . outside entrance hotel subway entrance , within minute walk Times Square , Radio City Music Hall Rockfeller Plaza . staff friendly , concierge send we amazing inexpensive Mom pop place . people might bad experience , overall , hotel fantastic ! 
