good 	 girlfriend spend one week New York celebrate 30th birthday spend four night Carlton remain three Surrey much well choice every way ( see separate review ) . give competition New York hotel price range , would recommend stay Carlton again . Pro 's : - Location , close pretty much everything include two subway line make transport e.g . Grand Central point south ( Union Square , Financial District ) easy- Quality breakfast in - house restaurant Country- well - price ( ny standard ) Con 's : - small room ( deluxe room ) - quantity breakfast ( breakfast include package ) - charge we $ 50 three minute US long distance phone call- Lack customer service . front desk bell boy service expect hotel standard ( give price tag ) . check , ask help luggage point elevator . friendly staff maid porter would always say greet kind manner little chat . 
 Mar 26 2006 	 Location location location 	 get back 2 night stay . Hotel PERFECT location car find free street parking start 7 pm Friday night thru Sunday . well appoint small room , small bathroom . nit pick , coffee maker , q - tip , cotton ball , doodle leave scratch pad , turn service , paper door , wrong bill deliver room , housekeeping walk 9 am wife naked ( try KNOCKING -- ) lot little stuff keep 5 star . area chock full restaurant , coffee shop , wine store etc . house restaurant 5 star . Fix issue 5 star , place highly recommend still ( travel agent spend 4 year life hotel / resort / ship ) 
 Mar 22 2006 	 Loved Carlton ! 	 boyfriend stay Carlton January 4 night . first ever trip New York take age pick hotel . read review book good deal Carlton totally love . able walk everywhere hotel , staff extremely helpful . concierge book New York Knicks ticket we , airport transfer make dinner reservation we . recommend fab place visit , great since new city . room lovely gorgeous bathroom . bed one comfortable ever sleep , great long day 's sight - see shopping ! hotel look exactly like website - unusual ! already recommend hotel friend book . hard pick hotel New York since many . overall Carlton provide we everything want - location , good price , modern decor etc helpful staff . next trip NYC definitely stay Carlton . 
 Mar 20 2006 	 nice hotel 	 bed wonderful room decorate well . great midtown location , 6 subway train block away take need go either uptown Grand Central Station downtown China Town Soho . W r train two block away Broadway take straight Time Square John 's Pizza use Bleeker Street New York landmark far great pizza go . the food drink Carlton high think norm day nice Hotels New York . doubt seriously could find nice hotel New York drink price less 10 buck . wife good onion soup life Restaurant Bar area . the Empire State building short walk away go late around 11:00 pm avoid long line . go right top waiting line we . I would definitely stay . 
 Mar 17 2006 	 Fantastic ! ! 	 much would like keep hotel secret , really good share . stay hotel NY place good , fantastic value moment ( finger cross not get expensive ! ) room great staff brilliant . last weekend something special celebrate Saturday night . concierge able get we 9 pm dinner reservation two Sea trouble ... qualm hotel restaurant ( downstair , casual , one ) . food good service friendly , feel like rush dinner- however atmosphere good cocktail . busy Monday night recommend book advance . 
 Mar 15 2006 	 Carlton Fantastic 	 stay Carlton 4 fabulous night Manhattan . everything stay perfect helpful friendly staff well - appoint room nicest smell soap toiletry . bed absolutely luxurious fluffy comforter plush sheet pillow - good night 's sleep ever . not get chance try restaurant every night pack look like fun atmosphere . great location - right near Union Square good shopping dining option . overall , wonderful hotel . 
 Mar 13 2006 	 Carlton Hotel perfect ! 	 go Carlton March 10 2 night 40th birthday , never NY . wow ! lovely hotel , like appear website , beautiful lobby , friendly helpful staff , ( Stephen doorman - great guy ! miss already ! ! ) stay room 719 , view , fairly quiet . comfy bed , lovely bedding , lovely bathroom , good sized room , spotlessly clean , huge tv set , big wardrobe , good hairdryer , room safe , everything need comfortable stay . literally room sleep . doorstep several nice deli / diner - try cafe 28 breakfast , nice - round corner . empire State Building 5 minute walk , go saturday morning 8.30am go straight top , queue - fantastic - weather sunny REALLY warm great ! Central Park lovely , carriage ride really enjoy , $ 40 well worth . lot sunbather bikinis , that s warm ! Felt safe even night quieter street , subway day fine , take cab rest time want look around soak atmosphere . Canal Street good laugh fake designer stuff . New York Public Library beautiful inside - go film buff want see featured Day tomorrow . , ball ! people friendly , helpful , warm - good birthday ever ! would thoroughly recommend Carlton anyone . enjoy .... 
 Mar 8 2006 	 fabulous fabulous ! ! 	 stay Carlton 7 night end Feb without previous knowledge district New York , certainly gorgeous much quieter place stay hotel people suggest . would certainly describe place ' boutique ' hotel , small number room without sacrifice granduer many small hotel forget . definetly get 5 - star treatment ; fabulous lobby unbelievable in - room dining menu ... ( expensive we mouth watering reading ) ... hotel look like something pluck straight SoHo . the price still fairly reasonable get - room not size shoe box bed die ! complaint sound proof window . room face Madison Ave thin glass , could hear every last cab person laugh walk past 3 am . maybe fact 2nd floor sensitive sleeper , something consider . otherwise simply fabulous - staff gorgeous little gem hotel ! 
 Feb 28 2006 	 LOVED PLACE ! 	 Fantastic Hotel Excellent Staff , stay 4 night end Feb 2006 , Customer Service first class throughout entire stay . on 2nd day , girlfriend go flu bent backwards look we , can not sing praise highly enough . Location Excellent Location decent walking distance Empire State , Macy 's , Times Square . room immculate , food delightful , overall fantastic hotel . 
 Feb 3 2006 	 Comfy Classy 	 Carlton wonderful oasis middle hustle bustle NYC . enter hotel , will enter soothe relaxing lobby accessible flight stair . classy decor comfortable sit watch people go . & quot ; Country & quot ; restaurant new addition . although not eat , tour lounge area evening quite busy trendy crowd enjoy atmosphere . the staff extremely accommodating . slight problem drain sink close properly take care almost instantly . bedroom ( ask king bed receive upgrade check ) comfortable fairly spacious . lot room hang clothe armoire , good enough long weekend stay . bathroom ample size nice toiletry . although decor room lovely , not seem convenient place ice bucket mix drink , use counter bathroom . another nice plus ... open window get fresh air room little warm arrive . bed wonderful ... comfortable mattress duvet cover soft pillow . would recommend hotel not want Times Square area , would like explore area south Empire State Building . subway either block away ( 4 - 5 - 6 line ) three block N - W - Q ( think 's right ) . Subway Metro pass $ 24 week 's stay . find way go use subway lot cost $ 2.00 shot . use week 's worth space weekend . course , plan cab , 's fine location , too . also , go & quot ; Today Show & quot ; read somewhere need get 5:30 7:00 show get good place . arrive 7:05 problem get behind barricade see wave tv ( course , end January ; imagine warm month call get pretty early ) . also get shake Al 's hand see Katie Matt upclose . NBC photographer take picture , go online order $ 15 8x10 . 2nd year ' ve go NYC winter blast . usually good deal special restaurant menu , great availability show ticket , great rate hotel room . year temperature mid upper 50 ! 
 Jan 31 2006 	 amazing ! great deal wonderful service beautiful hotel ! 	 find great deal post TripAdvisor forum , boyfriend stay 3 night amazing hotel . location ideal we - be fit couple early / mid 20 , walk everywhere hotel . service outstanding , recommend great place eat SoHo , upgrade room without hesitation , really pleasant chat . great cafe - type resturant 28th street wonderful breakfast ( scramble egg crossant , grill cheese w/ tomato fav 's . ) not order room service ( expensive ) , happy show we exactly close starbuck ( 2 within 5 minute ! ) also , subway literally across street , main terminal connect train couple stop away . I great thing say beautiful jem ! cheer , Jane 
