wonderful 	 need stay somewhere Jubilee Line watch Tennis O2 . hotel round corner London Bridge Mainline Tube , across road Borough Market .... quiet ! reasonably sized room ... massive , well appoint everything need . staff great . stay , train Gatwick London Bridge . 
 simply good 	 Location hotel , décor quality food highly commend , however truly make stay special service give we Hotel ' wonderful staff . staff unobtrusive yet time manage always available cater every need friendly helpful way . staff London Bridge Hotel credit management owner Hotel family grateful time effort give look we stay . special service play large part make stay London memorable . many thank . 
 friendly helpful staff hotel 	 Excellent location 4 stop tube O2 . smallish well furnish room good storage flat screen tv . friendly helpful staff every dept . reception provide warm welcome . breakfast buffet good plenty choice . good London experience long time . 
 clean comfortable affordable 	 book three room four night August London Bridge hotel . two twinbedde room one double room clean comfortable . get excellent deal six people four night hotelsclick.com . the hotel situate Southbank close Southwark Cathedral lot nice restaurant bar . sure visit Borough market one morning . 's lot fresh gorgeous produce . Restaurant Vinopolis definitely worth visit real treat go Oxo Tower restaurant . view city amazing . underground around corner hotel , nice day 's pleasant walk along Thames side river . founder arm pub along river nice place stop drink . all , want see different side London ( instead W1 ) London Bridge hotel absolutely worth stay ! 
 Jan 12 2009 	 Surprising Charm 	 walk entrance surprising mix Georgian splendour modern twist . bedroom comfortable size , mod con ( apart frustratingly slow hairdryer ! ) . pay £ 90 B & amp ; B ( book 3rd party website ) & amp ; god value . fairly central tourist attraction ( London dungeon , HMS Belfast , Tate Modern ) opposite London Bridge bus station noise obvious 's London . breakfast restaurant pleasant also & amp ; breakfast fresh & amp ; good value . in evening eat malaysian restaurant next door affiliate hotel & amp ; food delicious - probably average price London @ £ 20 per head start & amp ; main course , try Singapore sling , house cocktail - delish ! would definitely go back . 
 Jan 12 2009 	 convenient location good value 	 stay London Bridge Hotel January getaway London wife 's birthday . I book back generally good review , account provide seem excellent value . in hindsight , good choice . since travel around London focus area around Waterloo , place easy get , easy use base get West end . the room , small , well appoint , hotel clean tidy area . the one blot copybook wait seat breakfast . first time ' ve ever ! breakfast nice , although staff clearly struggle cope volume diners morning ! would frustrating happen weekday morning stay business trip , we , not much issue . certainly enough detract pleasant stay . 
 Jan 11 2009 	 Fabulous hotel 	 stay London Bridge Hotel second time Friday 9th January go Cirque du Soleil Royal Albert Hall . hotel good remember last year . really central close tube / Waterloo / bus station . good bar right next door excellent malaysian restaurant side hotel . 10 % discount staying hotel . breakfast , normally £ 15 p.p . include accommodation really good . perfect location visit Borough Market . bed pillow comfortable not want get morning . definitely stay . 
 Jan 11 2009 	 wonderful Birthday stay . 	 stay London Bridge hotel 3 night . book husband 's 30th birthday surprise . wow , think nice picture , photo not justice . great location siteseee get station . hotel staff well thought , ask banner balloon room upon arrival . small charge , Thank . Husband love , room , food , location . back without doubt . 
 Jan 10 2009 	 Happy New Year 	 consider busy time year , nothing much trouble . faulty double glazed unit bedroom repair within hour report - workman come back next day check still ok ! ! ! concierge happy print information computer , breakfast staff , although rush foot polite helpful . high quality furnishing room , keep high standard . hotel represent excellent value money - especially London . 
 Jan 7 2009 	 Perfect location 	 stay one night celebrate new year London , watch firework embankment Big Ben strike . hotel perfect location underground . arrive hotel early anticipate , room quite ready . receptionist apologetic helpful provide coffee wait . room spotless quiet despite close proximity station . breakfast good - plenty choice good coffee attentive polite staff . overall , pleasant experience check end stay different . smile staff make we feel like matter . hotel centre London new year eve , think price reasonable . good place stay hopefully return ! thoroughly recommend . GP . Solihull 
 Jan 7 2009 	 good hotel location 	 stay fiance couple friend New Years Eve 2008 . hotel conveniently locate near London Bridge Station , close tube , rail bus service . arrived check without problem . double room compact furnish modern standard plasma screen TV . clean high standard . hope well quality toiletry bathroom though . lot bar pub nearby not want pay hotel price food drink . hotel suited purpose would recommend stay . 
 Jan 5 2009 	 pleasant stay 	 return christmas stay london bridge Hotel . arrive , give room turn broken heating system , manager apologetic could remedy situation include loan electric heater . next morning heating still fix move we room function perfectly beautifully decorate . hotel clean well appoint . book deluxe room family three find room spacious , though bathroom small anybody one time . breakfast buffet include room price terrific , though one morning extremely long line wait seat . hotel acceptable location subway work , unfortunately case ! London Bridge station across street hotel would perfectly convenient service Jubilee line ! certainly hotel 's fault . if really interested theater Hyde park probably convenient solution stay London . if interested Borough market Tate modern museum great location . look hotel London price question London bridge hotel offer wonderful value price . 
 Jan 5 2009 	 Excellent 	 return home four night stay london Bridge hotel completely satisfy . room renovate high standard buffet breakfast second none . great location especially Gatwick airport simply take train London Bridge station two minute walk main entrance . Book Alpha room GTA hotel great rate enjoy wonderful stay excellent hotel . 
 Jan 4 2009 	 Ummm need staff training 	 arrive journey Scotland , complete two large suitcase hand luggage . tired . reception want charge we slightly New Year 's Eve accommodation , get sort . direction room dreadful . bag , no - one help we negotiate two lift , two swing door six step . need route map . porter available . breakfast shamble . last time stand line breakfast boarding school . buffet fair include price twice five day stay . the location hotel great South East London activity ( London Eye , Tower London , London Dungeon , Tate Modern ) plenty good restaurant around . 
 Jan 2 2009 	 one thing let ... 	 would love give hotel five everything go swimmingly well breakfast . book strength tripadvisor review not disappointed room , location , reception staff , concierge . Book fast efficient , conceirge recommend great italian restaurant , consider new year 's eve , lucky get great meal . room deluxe double , really comfortable king - sized bed adequate sized sofa - bed ready make teenage son . room spotlessly clean , warm , decent size . give proximity underground right city new year 's eve night relatively peaceful night 's sleep fourth floor . the disappointment lie follow morning 's breakfast . firstly , appear many guest enough table wait half hour corridor ( along many guest ) table become free . waitress lay clean cutlery , cup , saucer , etc , top dirty tablecloth cover crumb stain previous occupant . also give leave pot jams honey ! buffet queue grow pretty big item run replenish completely guest leave eat . selection cereal , fruit , yogurt , pastry extremely poor . cook item rather disappoint good quality hotel . appreciate new year 's day , arrive breakfast well within request time breakfast look forward mightily disappointing quality service really let hotel down . despite , would recommend hotel heartily breakfast well 's public holiday hotel busy , ' m sure will not fail dissapoint anybody . 
 Dec 31 2008 	 friendly staff great value great location ! 	 get fantastic deal hotel via Yeego . stay 5 night Christmas . the hotel conveniently locate : next London Bridge railway underground station , mean west end 10 minute via tube Gatwick airport 30 min ( direct train Gatwick south terminal 10 pound oppose Gatwick express London Victoria come 16 GBP ) . bus also available . Southwark cathedral across street walk along riverbank Globe Theatre Tate Modern lovely . our room standard twin : maybe slightly small ( standard London hotel ) clean , equip tv , iron & amp ; iron board , trouser press , safe , minibar , tea - make facility ( hide away drawer save space replenish daily clean ) . also complimentary wireless access internet room . prefer cable connection , borrow cable front desk , small refundable deposit . breakfast excellent . breakfast area ( low ground floor ) pleasant , clean , well manned . cereal , fruit , yogurt , juice , full english breakfast available buffet ( great scrambled egg ! ) , together bread small pastry . coffee tea ( real thing , stuff dispenser ! ) bring table , together toast choice jam , marmelade honey . like read morning , & quot ; Times & quot ; also available free ( must get early enough though ! ) . one morning queue time manage make breakfast slight & quot ; glitch & quot ; occur large group people rush time happen anyway . thing confuse we couple day room service fold use towel neatly look like fresh one , although leave floor change put rack instead , intend use . fact & quot ; negative & quot ; thing say experience hotel speak . 
