recommend 	 Hotel really suck ... outside look nice close Times Square , however , hotel deserve 4 star . its old Hotel Hotel Lobby nice , room really bad small .... mother split queen size bed , say do not double bed even King bed receive complimentary upgrade Queen Size Bed anyways .... usually give full size ... even 2 people ... find Kingsize Beds give we ... anyways , room really small dark ... room do not window etc ... get nice room , might ok ... standard Hotel 4 star ! ! 
 Jan 2 2008 	 great location noisy 	 stay NYC theater . convenient , 2 - 3 block Broadway theater . one pre - theater dinner Round Table room - nice . eat breakfast day din / cofee shop next door - good food , reasonable price . the room small , much big comfortable bed . ( good thing TV LCD mount wall . ) bathroom tiny shower , tub . the negative , big one , construction begin daily 7 continue non - stop 5 . like sleep vacation , forget it . we choose hotel rate ( cheap , well hotel area ) history . 
 Dec 19 2007 	 Big Disappointment 	 stay five night dissapointe overall experience . rate charge position Hotel top class hotel thing justify rate staff mostly well helpful attend need . everything else par would expect manhatten level . room ( take Deluxe ! ) small poorly furinishe , bathroom tiny basic bad terrible noise form street . window old isolate noise cold mean get noise street heating system blow night lot noise . we move , request forth seventh floor improve anything . add long wait elevator , breakfast good expensive definitely come back ! 
 Dec 19 2007 	 so - so 	 live NYC decide spend Saturday night Algonquin since go Christmas party block away . ' ve Algonquin many time drink lobby cabaret show . make reservation ask room front high possible . check room not ready tell front 4th floor . come back tell not front room available . little prodding find one 6th floor -- -- -- -why always difficult ? ! room clean renovate plain . color , even wallpaper , might help . the bed excellent . a big disappointment come Sunday morning go breakfast 11 a.m. find breakfast not serve 11 ! inexcusable major hotel , since 11 , accomodate maitre ' might seat we . eat next door Iroquois Hotel . a suggestion -- -- -- not seem service elevator ride room service cart . elevator tiny cart fill dirty tray expose , make easy get food someone 's luggage clothing . invest closed cart like airline use ? 
 Dec 17 2007 	 ideally locate 	 return 2 night hotel . love location . 2 block Broadway . staff extremely friendly helpful . receive good suggestion restaurant fast response taxi . room adequate old hotel . clean extremely quiet floor . ( 9th ) negative find single elevator busy Sunday morning - minor imposition . 
 Dec 12 2007 	 Fun Shopping Weekend NYC 	 great place stay New York City busy shopping weekend year ! front desk staff really helpful friendly . hotel clean , bed super - comfortable , despite old hotel bathroom immaculate . room fit 2 , . need fit people , get suite , be much $ $ . location fabulous , close touristy location , subway , cab wait outside take somewhere . & amp ; fellow traveler 30 , average age guest seem 55 Algonquin . however , 30 year old not typically hang around hotel night anyway ! would definitely stay . stress enough great place . 
 Nov 26 2007 	 get well 	 year back bad thing happen Algonquin . price go service go . free bottled water withdraw room chaotic friendly desk staff replace chaotic unfriendly desk staff . couple bad stay , try elsewhere ( ten trip NYC , three different hotel ) Fall thought would try lobby bar great hotel next Red Flame Diner , one good city ( have travel uptown Meatpacking 44th use diner anyway ! ) Desk friendly , excessively . hotel clean year back . old familiar friendly face door . price still steep 's offer ( even NYC ) get great location use lobby . say , would nice warn build work wake we every morning crack dawn . 
 Nov 13 2007 	 Cute NY hotel 	 rate receive reasonable NY cheap mean . room lovely albeit little small side ny . flat screen tv nice tough bahroom amenity nice . Front Desk personnel friendly double concierge good suggestion . also like bar , cosy . one downside elevator slow 3rd floor stair work well . 
 Nov 7 2007 	 will back ! 	 stay Algonquin whilst visit run marathon . arrive last Thursday ( 1st Nov 07 ) leave Monday 5th Nov. day travel see negative comment guest cause we concern . we need not worried . bad thing hotel stay construction happen nearby land noisy work weekend . however staff advise we soon arrive promise find noise much would happy move we soon room become availble . fine . read negative feedback dark foyet etc wonder whether people book actually look picture hotel first obviously bright modern hotel ! ! ! great hotel , great staff ( not like one girl reception miserable unhelpful ) rest great . Kevin , sean lovely english chap ( can not remember name ) really helpful door help luggage etc . Matilda cat super , leave 3 cat home miss around comfort . would definitely return hotel . this hotel central great access Times Square 5th avenue could not fault . be also worth mention good gym pretty much open time . 
 Nov 3 2007 	 well run hotel 	 smart clean place , friendly informative staff . good location . 
 Oct 31 2007 	 Perfect location much noise ! 	 use Priceline book room NYC first see hotel get way , quite pleased choice . read actual review unfortunately give Algonquin rather mediocre review . ambience great room nice . dark atmosphere lobby taste , also work . room 3rd floor could take stairs great advantage wate elevator sometimes seem endless task . lot point totally agree review StevieH . addition warn everybody hotel , issue noice night . a / c certainly one problem , room towards back , live experience hard rock Manhattan island drill new construction . ask get different room get room face street , find exactly trash pick truck activity ongoing construction next door happen .... start 3 am , us night . stay 3 night , point fight switch room . main problem old single glass window , absorb noise window a / c , lot noise also pass . usually take lot wake middle nigth ( 3 small child , use sleep lot background noise ) , 3 night Algonquin certainly worth money . construction behind hotel do , attractive , sure also book well available low budget . 
 Oct 25 2007 	 Great Location Comfortable Stay : 	 comfortable stay Algonquin , , we , ideally situate near Broadway theatre area . room spacious clean bed superb . reception staff helpful friendly , although information give we incorrect – guide book reliable . we book Expedia deal , include flight , we good value . pay full publish room rate , might less forgiving . example : - 4 month travel request room bath , confirm . arrive give room shower.- complementary water room arrival , every day ask replenish , one day supply run out.- room air - con unbearably noisy , manage make ceiling fan . week early , hot , thing would different.- Algonquin website say laptop guest use . ask , tell laptop withdraw technical problem ' offer even single terminal guest internet access . New York public library nearby , use free internet access . wireless internet connection room ( assume actually work ) , would need computer wireless interface.- 2 lift ( elevator ) , lobby display floor . otherwise , stand wait ever know come go ! regularly give wait use stair ( hardship ! ) .- entrance lobby Oak Room merge , make entrance permanently dingy . ' problem , morning , would nice see ' ! ' try Algonquin breakfast , $ 20 per person . instead go next door Red Flame Diner – exactly Ritz , job well $ 20 4 we . any hotel publicise home $ 10,000 Martini claim fame , must short worthwhile claim , believe true Algonquin . in , comfortable satisfactory stay , ' happy pay full publish room rate . 
