bad 	 Stayed Trop October . Room call & quot ; garden room & quot ; . Checked take elevator ! room ground floor . slide glass door lead parking lot . question safety staying room . old hotel room ever stay ( stay seedy place ) . bed disgusting , sleep clothe . bed old sink middle . stain mattresse . mold bathroom . be upgrade next day tell would check ( stay 2 night Vegas ) .Magic show Trop circa 1984 . Buffet good . would stay . 
 Nov 28 2007 	 Great Value 	 wife visit Las Vegas year stay Tropicana everytime . reason come back great value location . visit , little worried due negative blog ' ve read Trip Advisor site . let set record straight ... still GREAT VALUE always enjoy well ! ! ! room reserve Island Tower . 12th floor great view courtyard strip . room clean , carpet ( although perfect ) nearly bad everyone say ... peek room see hype find evidence neglect . find ... friendly employee , clean area , everything work . talk ? ? ? not come Tropicana be look new hotel , be look great value , great location , clean accommodation , friendly staff ... place ! ! ! 
 Nov 28 2007 	 Great Old School Vegas Hotel 	 hotel room nice sit area fantastic view strip . clean department excellent job daily . overall , staff outstanding check maintenance worker . everyone staff always smile greet we throughout hotel . blackjack dealer business , rarity . buffet good overprice cafe . deli good food affordable price service quick efficient . the hotel build 50 still old Vegas charm , update room overall resort par . 5 star hotel , excellent value money . become member slot club get half price ticket show . daytime magic show folie good . also , Comedy Club good . see Jimmie Walker outstanding . 
 Nov 28 2007 	 low cost way experience Vegas 	 3 couple go Vegas quick weekend celebrate one girl b - day . book would affordable couple some - what last minute decision go . choose Tropicana low rate $ 129 / night Fri . Sat Island Tower room . also choose excellent location strip . hotel old - new hotel finish 2010 - 2012 . ' m glad ' ve take chance stay start demo . we request room close manage get 3 next one another . security hallway good . one couple keep door ajar could walk security guard came ask keep door lock time case . nice look we . also , first night check , one room floor smell marijuana come . not think anything find kind amusing . obviously hotel , security call police keep knock door next day notice smell go likely evict people . room large clean . could adjust heat , nice . super quiet ! ! ! could hear outside hallway noise . housekeep good . Carpet clean good condition room . comfortable bed little sit area nice guy hang together we girl get ready night . glad save money room stay Tropicana . able spend money good restaurant , show club . Garden Cafe good place get breakfast / dealer casino friendly place / body exhibit interesting enjoyable . I recommend hotel budget want place crash night clean . comfortable , quiet . 
 Nov 24 2007 	 get less pay 	 spend Nov. 16th Nov. 23rd 2007 Tropicana wife . originally five year ago friend get marry . one thing Trop go location . personally love area Strip . easy get good hotel action area . bad thing trop go age . stay begin arrive 1:00am tell room Towers take would spend one night Garden room . thes bad hour life . person book trip personally embarrassed wife . my wife sleep fully dress thought would catch something room . dirty , bathroom look horrible . not even shower morning want touch anything . felt stay random motel side highway middle nowhere . move tower room much well . put 11th floor great view strip . area still little worn . halls wall paper fall rug room horribly stain . really great view still obstruct layer dirt water stain outside window . move room also miss drawer dresser . hotel one visit Vegas stay . nothing . food horrible overprice , service great . hotel $ 200 cheap MGM Excalibur whole lot well stay year ago . avoid place like plague unless really find anything else price range . say make sure arrive early may able change room need stay Tower room . also prepare pay $ 7.00 extra per night call & quot ; Resort Fee & quot ; . 
 Nov 23 2007 	 local review ! 	 Girlfriend comp stay loved .. last trip . book Island room large tub . get room smell like dead skunk mold everywhere . move front tower room ok , staff rude , comp ststem suck food terrible ( eps Legends steakhouse thier steak tough price high ) drop lot gamble $ $ two we thier wish stay elsewhere . friend gold card holder thier even entice go back EVER.I Las Vegas local say place DIVE , eat , play stay . 
 Nov 21 2007 	 's dump . spend money not stay . 	 sure , get cheap rate like everyone else ( not think Tropicana expensive rate ) read review say Tropicana terrible stay . decide try anyway . never . Tropicana sleazy dump . old old decrepit , people stay hotel sleazy , casino awful . favor stay somewhere else even cost money . honestly feel safe stay hotel people around poor lighting hallway . room large . however , awful smoky non - smoking room . internet unreliable ( even $ 12 day ) . bed simply bad hotel bed ever sleep decade old . elevator take forever arrive floor . overall , place dump . stay away . be simply worth . 
 Nov 12 2007 	 Disgusted Tropicana 	 stay Tropicana Vegas Wednesday Thursday night , awful . room dark & amp ; dingy corner hotel would not feel safe walk ice machine night . room disgusting - bathroom filthy , floor cover mold mildew , ceiling shower cover black mold . see several bug room stay . speak front desk several time regard quality room request different room . agree move we , go pick new room key , ' new room ' want move we next door exist room ( literally ) . would never stay hotel , would warn anyone know plan trip Vegas steer clear Tropicana . friend mine live Las Vegas shock hotel would let anyone stay room filthy disgusting . 
 Nov 9 2007 	 surprise 	 see negativ comment ' m shocked . think hotel decent . nice sized room , suite , safe , keep extremely clean importanty trip cheap . location ideal end strip apart complaint . use room sleep rest time 
 Nov 1 2007 	 stay ! ! 	 stay one night everything could use room . third floor old section building ( 5000 section ) . run , dirty , nothing work room totally depressing . light bulb actually hang upside socket bedside table lamp . , previous reviewer note , sleep clothe towel pillow . husband try use shower would not drain . sleep 2 hour jump hurry airport 4 hour early get hotel . see Spamalot Wynn . great show . would never , never stay Tropicana . 
 Nov 1 2007 	 rip 	 check give dirty room ( soap shampoo shower , garbage room ) phone front desk say would alert housekeeping . one come room offer different room . next day speak manager duty offer free buffet maid service , maid show . eventually find clean sheet towel maid make bed leave disturb sign entire stay . food buffet less appetizing , could break window bun . also charge & quot ; resort fee & quot ; use pool exercise equipment , pool close , except cold hot tub . hotel old date . hall way room dirty clean entire 5 day . 
 Oct 29 2007 	 Topicana Resort Casino - never ! 	 Las Vegas celebrate son 's 21st birthday . husband purchase two room , one night . one we one son friend party . completely embarrassed son upset spend hard earn money dump like . room awful . stay old hotel never feel like could sleep bed . turn bed make sure clean look like make . look comforter throw sheet maybe clean pillow case put . sheet crumple , basic mattress cover mattress sheet flat sheet fit , not stay tuck sleep . husband sleep clothe towel pillow . thank God happen Vegas stay Vegas ! ! ! ! bathroom gross . tile bathtub soap scum grime , bottom tub look dirty toilet still urine stain whoever stay we . needless say , not use shower / tub . since stay one night showered come home . pay one night , not know would ' ve do . safe room not work . slide glass door patio flimsy someone could easily break room steal belonging . slide glass door lock screw strip door would stay locked . 2nd floor easy get outside feel safe leaving belonging . anything worth money carry we entire trip . room vacuum . floor still paper wrapping even find butterfly shoe ornament , fit croc shoe , lay floor . burn mark furniture son room smell smoke something terrible . request non - smoking room make reservation check - in . could see take whatever left check - in late check - in 2:30 not late . actually early . this may seem like trivial thing might overlook rest room okay tacky . a / c unit switch word write marker know , , Low , Medium high notch . someone also writen pen word , SUCKS . sure meant room switch seem like someone else bad opinion room . think son good birthday . spend time away hotel . hotel stay really dishearten complain offer compensation option . think price pay accomodation would decent guess concept not apply Vegas . know website book room , would spend dime Tropicana never go back . 
