expensive 	 extremely expensive consider state . public area beautiful , however room terrible . stay two night previously Harrington Hall ( 4 * ) far well half price . room need total renovation . tea coffee make facility . bathroom poor shower gel shower attachement tap therefore could stand . corridor extremely noisy well . great location . 
 lovely building great location beware ` ` extra '' 	 first qualifi : stay Starwood point . lovely hotel great location - walker runner , Green Park , Hyde Park , Kensington Gardens doorstep . also easy walk Underground West end theater . beautiful area serve tea day drink night . grand space . pay privilege . one gripe layout hotel nowhere lounge sit lobby . health club nice - nothing special certainly adequate . this old building , room type size vary . room clean spacious - London - nicely appoint . bathroom especially nice . service good , great - find level concierge service unpredictable . one thing one qualifier & quot ; extras & quot ; really overprice . ok , certainly great breakfast restaurant 23 pound ( be $ 40 today 's exchange rate ) . Starbucks street Marks & amp ; Spencer wonderful pastry buy less pound . also , Internet Access 18 pound per night - huge ripoff . nearly $ 500 / night hotel , breakfast internet access cost $ 75 . 
 excellent service 	 stay three night great period hotel service give staff excellent ! ! ! stay many london hotel past twenty year would problem recomende , breakfast one good london ! ! , bed heavenly want take home staff helpful I ve happy time 
 Apr 18 2008 	 Reliable Good well - locate . 	 treval frequently London stay Park Lane time . way reference , ' ve already three stay year head back two week time . many review suffer inflated expectation due inaccurate rating . obviously not five star hotel , classify . fact people show expect five star experience immediately put party bad place . what Park Lane well locate hotel , good , reliable service -- state bluntly -- mediocre room . part Preferred Guest program obviously stay capitalize reward , however , ' ve also come appreciate old - world british appeal place well . many room could use rehab , quality get visit visit basis often frustratingly inconsistent . however , be willing overlook bit tatter miscolor carpet , crack bathroom tile , will find get outweigh generally helpful efficient staff , nice bar bartender proxmity park , picadilly , tube etc etc . many occasion , staff bend backwards help -- instance give tiny room wait room ready , etc . ' ve never anyone anything friendly , matter fact . ' m always greet courteously professionally . be one reason ' m willing overlook deficiency . Hope help clarify bit negative ' ve read . clearly result hotel nischaraterize . 's five star , be defnitely bad place , either . happy answer question . send along note . 
 Apr 15 2008 	 not waste money ! 	 take partner hotel anniversary last weekend honestly say disappointed . advertise 5 * Hotels.com therefore expect something pretty special . yes be great location instead park view could see grey wall window ! room small bathroom date , shower attachment oppose power shower . arrival , behind large group try check let us say man check friendly chap ' ve ever meet . fairly rude honest . soon walk room , gut instinct go back reception ask alternative room guy 's attitude leave sneak suspicion would not possible ! not complete disaster . staff bar / restaurant nice £ 200 night , ' m sure much well place stay London 
 Apr 3 2008 	 disappoint Sheraton Park Lane 	 disappointed hotel stay - many room look back apartment building rather Green Park advertise guest front desk battle change - Green Park entrance doorman stick drag luggage restaurant stairs - fitness center poorly equip water tv work - soil towel sheet room change - bottle water room restock - cable tv room little explanation - concierge staff generally pleasant - two three star experience rather five star experience . 
 Mar 26 2008 	 dreadful awful miserable – ' waste money . 	 book hotel , offer alternative Octopus Travel take book another hotel , later report book . make quick decision swap little availability take advice assistant . arrival leave 10 minute desk receptionist sort something , without word . book triple room seem one double room leave . extra bed would arrange . open room door disappoint . small , dingy bathroom see well day . go back desk explain satisfied fact embarrassed 85 year old mother special visit London . nothing could offer stay . book pay Continental breakfast part stay . another huge disappointment . breakfast room situate worn corner hotel buffet stuff another unsuitable space . even white bread available array eatable put . ' let location address call hotel draw think something offer ' . even provide tea make facility room . order 2 tea cost £ 11.00 room service . unprofessionally run hotel money make engine – nothing service industry part . overall hotel big mistake . may add fair person set find fault experience deserve truth . hope visitor holiday ruin due lack true professionalism large organisation Sheraton . 
 Mar 25 2008 	 terrible room Condition Good Location Honoring Upgrades 	 condition room horrible hallway hallway lead dead end make think actually get corner room maybe slightly big usual . wrong , room small old hardly see sunlight . tv small kind hotel class , roughly 19 & quot ; . furniture 80 's narrow walkway around bed 's pretty much space leave room . the truth half room face park contrary hotel name . many room actually face could almost reach window shake hand people stay across . 's bad part , book use Virgin Atlantic 's Premium Economy class referral guarantee double upgrade time booking . hotel not honor . price pay ( 200 pound day ) , could stay much well hotel . internet access charge 19 pound day . be almost US $ 40 day . 
 Mar 19 2008 	 great location so - so accommodation 	 main entrance hotel extremely impressive room not match grandeur . room second floor good size compare room people travel . bathroom clean spacious , pedestal sink not provide enough counterspace girly toiletry . someone else mention , shower shower curtain would stay put keep blow sticking , pretty repulsive . order room service one night fellow take order sound like kind drug . food absolutely worth price , call room service cart take away nobody ever show p. not really complaint place . price pretty high hotel 's condition , location make . ' ve get cash would probably recommend Dorchester block away . 
 Mar 19 2008 	 Hotel Joke 	 hotel ashamed . location good thing hotel . good room stain dirty carpet furniture drape . wall ceiling peel . control panel main elevator loose hang elevator wall . bar / lounge area lobby smell like gas leak notice light flash exterior building . several hour later room several story lounge smell gas also . maintenance come tech say mystery gas smell throughout hotel spot . allow flash light connect problem , advise we open window . complain room night manager extremely rude . hotel seem STANDARDS joke . not waste money starpoint dump ! 
 Mar 14 2008 	 love 	 write review base write other . read review go thought would sadly disappoint however least . arrive explain check person would stay 6 night want comfortable . offer we look one room could see people could upset go back tell not care one tell we large room go open hour . go lunch ( hold luggage ) come back wonderful room . huge . bathroom wonderful . bathtub take bath walk shower rain head . breakfast include package however would eaten one little cafe near . location good . not one complaint establishment . think ask check well instead taking give . 
 Mar 2 2008 	 Good Location - Good value - beware phone charge 	 Park Lane Sheraton locate close many tourist attraction ( e.g . Buckingham Palace ) . 5 minute walk Green Park underground Tube station Piccadilly line make easy get Heathrow Airport since not change . let preface review say hotel manage hit three pet peeve . not care issue , hotel ok , albeit bargain basement price . will not find go back property.1 ) Sheraton Platinum member , executive lounge , complementary breakfast platinum member . 2 ) one expensive phone charge dial local U.K. toll free number -- 0800 xxxxx . make two & quot ; toll free & quot ; 0800 call spend ? 16 $ 32 US dollar . could much bad ! 3 ) complain , staff really not care , mention would never stay property , say , & quot ; sorry hear & quot ; . sense really not matter . hotel fairly typical old property . 8 story high , room fairly large . shower bath probably update ago -- functional . addition , window main bedroom open outside ( plus cool fresh air ) double window reduce outside noise ( another plus ) . heating / cool control work , thus value window open . location wise , high tourist area next Hard Rock Cafe . many tourist attraction nearby location tube 5 minute away . right next Sheraton another local hotel around corner Hilton Four Seasons . travel quite bit , use local 0800 number . use pay ? 1 ? 2 access charge . find & quot ; normal & quot ; typical . property charge per minute access 0800 toll free number , & quot ; cap & quot ; per call ? 10 . go use phone five six call , literally spend ? 50 $ 100 dollar . turn , spend ? 16 $ 32 , find .... well outside realm reasonable . big issue complain , desk really care . say platinum , would not stay property due , not care . end day , charge huge phone bill top ? 200 room , care customer unhappy make recommend property other -- care issue . perfectly acceptable hotel around corner . 
 Feb 28 2008 	 depend luck .. 	 quality room Sheraton property vary considerably , experience depend room assign . times stay number room , well other . visit use starwood point pay husband 's employer ; property would spend money . London well option price range . recent stay room ordinary , view - old motel style room atmosphere . ( point stay ) . however , comfortable Sheraton bed . safe work , complain give we complimentary breakfast , nice . well room , however , even overlook Green Park , even use starwood point . also bad room . one notable occasion original suite hot stuffy due unaccustomed London heatwave , airconditione working , move late night room way high hotel ( maybe maid use live ) less mediocre indeed , available night . even room eventually end time hot , although A / c work ; hot bring fan well . probably hotel stay summer , uncomfortable . we ' ve breakfast time , expensive do well elsewhere . likewise drink coffee Palm Court lounge . ( cheap breakfast option get carryout coffee croissant number place nearby . ) however , Palm Court lounge beautiful art deco Silver Ballroom definitely worth look ; several movie tv show . location excellent , Green Park tube close , interesting Shepherds Market area lot restaurant . like El Pirata tapas restaurant , round corner , Sofra middle eastern food , bit away . reviewer note , lobby back hotel alley , cabby know drop . interesting stay , former Park Lane Mansion , really worth put quirk hotel experience . long use Starwood point , company pay , get good deal . 
