Rude 	 location hotel offer little . stay . front desk staff consistently rude unhelpful exception far . concierge , maintenance cleaner friendly helpful . good way describe room patch . let photo website deceive . walkway room smell old carpet . room next vend machine make noise switch complain . towel bathroom old two tear use . hot water problem 07:00 08:30 morning . end shower time . also often flush toilet once . but override memory hotel rude front desk staff . time threaten completely ruin stay . 
 Fantastic Hotel ! ! even well staff management ! ! ! 	 stay 6 night recently honeymoon hotel perfect ! ! ! ! upgrade amazing suite 21st floor . could see Times Square bedroom window ! ! hotel perfect location access New York offer .. staff always extremely helpful concierge help we question day trip etc .. small problem heat within two minute maintenance guy fix ... lobby really welcome food gorgeous ... hotel perfect brilliant value anyone travel New York staff really make feel welcome .. would highly recommend hotel friend family ! do not rip overpriced hotel keep money holiday ! stay Park Central ! ! ! ! Great Hotel ! ! ! 
 Mar 1 2008 	 Central Park Central 	 must spend good part 2 full day research hotel New York . budget , also not want end dive ! ! decide Park Central location price , book direct web site manage get king room $ 200 night right top end budget . have book , worried review service state room consider several time pay bit take hotel Manhattan . in end decide stick hotel hotel good bad review bad could check night . so , hotel ! ! check 7 pm Saturday , queue guy ( Chris ) quite chatty welcoming . we get lift ( queue either ) go room 9th floor . the room big clean hotel have stay . bathroom also big would expect quite new clean , shower fine usual bottle shampoo bar soap , box tissue etc . the bed HUGE comfy ! plenty pillow , sheet blanket . good sized room safe free plus iron board . , everything need . our room inside face view mean quiet slept well day city foot . the location , other say , fantastic . subway station right outside hotel good way get around ( wish have buy 7 day pass would saved we money ) 's wide range place eat around hotel , restaurant diner delis hour day , favourite Applejack Diner breakfast , $ 15 $ 20 2 we . we could not fault housekeeping , room clean tidy well day , clean towel etc . leave tip . when check guy bit surly do quickly billing issue . so , sum base stay ; find look ( expensive dive ) , great location explore city , would stay recommend family friend . 
 Feb 28 2008 	 Check Billing ! 	 find hotel little well adequate . rate good ; good true apparently . get bill AMX $ 99.00 addition micellaneous . after torture trying find someone talk phone tell & quot ; fumigation fee & quot ; someone smoke non - smoking room request . interesting . partner NON - smokers.we process doctor supply affidavit fact non - smoker AMX . would rather pay additional $ 99.00 stay well hotel avoid time energy spending fix little mess . next time . 
 Feb 26 2008 	 Nice Place good location 	 book hotel stay thru JetBlue really like . 5 people travel we hotel 4 people . instead pay upgrade 1 person lounge lobby check say do go room . needless say rotate floor 5 night . service great really complaint . place really clean real nice upscale appearence . able get room & quot ; e - rate & quot ; around $ 167.00 night , great deal 
 Feb 25 2008 	 Amazing ! ! 	 return back stay 5 night Park Central Hotel . bit worried checking trip advisor book load bad review , never worried . hotel fab , check quick arrive 4.30pm , must admit reception staff miserable like make effort nice , not worry long room nice . we stay 17th floor great view Times Square . room large , bathroom small side powerful shower . room clean warm . never eat drank hotel can not comment . location hotel fantastic , 5 minute walk times square couple minute central park another 5 minute shop . would recommend go Soho find last day great shop . would recommend park central anyone want stay near broadway times square . 
 Feb 24 2008 	 can not wai go back ! ! ! 	 back morning 6night stay hotel , would highly recommend anybody go new york definitly return ! location ideal , right time square ( fantastic view room , 16th floor ) , leave central park straight ahead 5th avenue ( abercrombie & amp ; Fitch , tiffenys etc . , two block away ) . subway station right beside hotel , safe fast , travel everywere . room gorgeous , clean fresh ! ! ! cold room time ! however never report staff self blame ! busy day return room always tidy , clean bed make , exactly need day shopping ! I ve never sleep comfortable bed , sink every night . hav absolutly complaint hotel , definitly return ! one thing aware , leave hotel door man insist get we taxi , fine bring we around side hotel black car 's wait bring airport , independent driver charge fortune ! change mind last minute go yellow cab set rate airport state outside taxi - always use YELLOW cabs ! ! ! ! first day two reccommend get tour bus around downtown ( depend site want see ) . great holiday can not wait return ! ! ! 
 Feb 21 2008 	 great rate nice room great location 	 ' ve stay 25 night last month Park Central Hotel . great location tourist , well many office building nearby . entrance 3 side , make much nice get snow cab drop wrong end ... room large NYC . bathroom decent sized - ' ve vary size ... room somewhat modern , comfortable , clean . view meh / ok , well be 18 - 20th floor face south ( time sq ) .I generally find rate $ 30 - 60 cheap per night nearby hotel . negative thing say free internet ( ' ve yet find anywhere NYC ) , elevator slow . slow , ' ve take stair 8th floor slow .... apparently be work . 
 Feb 21 2008 	 right ! 	 hotel perfect location . staff little unfriendly contrast other helpful . thing would fault carpet little dirty wallpaper peeling . give smoking room request non - smoking happily move we much well room next day . all cafe around Hotel great . shopping definitely recommend Soho , make mistake stick around 5th Avenue much expensive . discover Soho last day be shop go first ! H & amp ; brilliant - 2 's cheap 's unbelievable . I also recommend Sex City Tour like programme , be much fun see different side New York . I great stay , love food , people , hotel , atmosphere . definitely recommend Hotel ! 
 Feb 20 2008 	 good choice 	 good balance price quality . we stay four nigth hotel . perfect location . step metro short walk Central Park Time Square . lot choice around hotel breakfast , lunch dinner . room clean , reasonable comfort basic thing . in next trip ny , sure de Park Central Hotel would first choice . 
 Feb 19 2008 	 Recommend ... 	 recommend hotel let . location brilliant , second Central Park , around 5 - 10 min walk many key attraction . room well expect , great size , clean . would definitely recommend . 
 Feb 13 2008 	 new york new york 	 stay 3 night jan must say lovely stay poblem . queue check room ready arrival even though 3 hour early check , room nice clean 2 large double bed complaint bathroom either .... do not eat hotel drink bar ... expensive . theatre ticket usually cheap u buy directly box office show get ticket show front row $ 26.50 ... basically go shop enjoy new york sit around hotel look fault get excellent price location book hotel website ... already stay fitzpatrick grand central beat cheap alternative def go back hotel next year . 
 Feb 12 2008 	 another Great Stay 	 stay Park Central Dec. 16th-20th . second stay hotel - first 2002 . little worried reading review , , great stay . flight cancel due weather call let know would check later plan . person phone & amp ; lady check - in helpful . clean , nice - sized room 6th floor . clean / straighten daily & amp ; always restock plenty towel ( make difference tip job well do ) . yes , elevator slow time , never problem we ... give we chance rest ache foot mile walking do ! location perfect ! ! recommend hotel friend & amp ; definitely stay next time NYC . 
 Feb 12 2008 	 wonderful stay . 	 different expectation come hotel . wife stay Park Central late January . other say , location absolutely great . unlike other , however , stay fine . staff member rude , concierge go thi way help we , room clean , never line elevator . even speak person clean room kind . leave tip every day room clean standard . not use restaurant bar , can not comment . overall , , not five star hotel , not pay five star price either . take comment grain salt not affraid stay Park Central . pleasant stay . 
