recommendation 	 book executive room 3 night Friday - Monday give room face interior yard hotel find nice realize room next engine room - hardly possible sleep since hum machine come wall . book special rate expect good room category clearly one able sleep without disturbance noise come ventilation system . bathroom need renovation 100 % clean spacious . ask another room next morning tell pack luggage Hilton staff would move belonging newly assign room . return afternoon luggage still old room finally move suitcase . second room 6th floor , Terrace Floor , must recently refurbish since decoration much nice rest floor / room . room small first one quite . however one could hear guest room next door talk bathroom . ( smell smoke bathroom non smoking floor ... ) one bathrobe room even two . orderd room service , average hotel food . leave evening tray , put outside room still . return hotel 11:30pm want take night cap bar . first thing waiter advise , bar would close 30min . ask drink menue bring wine list wait impatiently next table . actually want whisky never give we menue finally leave take drink . outside room still tray room service , quite surprising since turn service room . maid assume one guest room well . tray still outside room - 24hrs order food - come back next afternoon leftover start smell . 4 employee room next we , seem issue condition guest leave , none remove tray finish cleaning . come back night tray finally remove turn service realize 2 guest room . breakfast executive lounge good table never really clean scrambeld egg old cold . check clerk ask we enjoy stay neither wish we nice day . location hotel great attention detail really strength staff find particullarly friendly helpful . certainly recommend hotel friend avoid book Hilton future business leisure trip . 
 good stay not look hotel give ' experience ' 	 good choice hotel want somewhere convenient stay Paddington , step away Paddington tube / rail station . hotel experience average , staff fumble check mood generally impersonal need . base explore London , Paddington convenient tube station well connect important line . room spacious give London , decor date room smell cigarette even though suppose non smoking . internet access expensive , internet cafe dot surround street . overall , good stay be not look hotel give experience . 
 Apr 26 2008 	 great 	 overly impressed hotel ..... make bed single quilt double quilt cover .... 3rd bed floor end sleep double bed well .... 2 single push together one fall middle ..... apart ok ! 
 Apr 20 2008 	 Great Location 	 good value book one special weekend package . expensive not . great location , beside Paddington station . staff helpful , although restaurant staff bit distract servcie charge include even glass wine bar ! ! however , stay twice go back , location value money ( get deal ! ) 
 Mar 28 2008 	 Impressive Hotel Service rather matter fact 	 ' ve stay many Hilton property London Hilton Paddington rate towards top list . the hotel quite impressive reception area . bedroom ( fortunate upgrade suite ) art - deco style fit well historic location . bedroom area nicely furnish large comfortable bed bathroom spotless . pleasant . the hotel easy find access hotel make directly Paddington station concourse . however effectively rear entrance hotel find way reception . service matter fact rather welcome . however minor thing opinion hotel meet expectation . 
 Mar 18 2008 	 overall good experience minor problem 	 nice hotel reasonably price London . the good : - decent sized room comfortable bed- clean good service- adjacent Paddington wonderful , shop next train station includingsainsbury 's Marks & amp ; Spencer grocery . pharmacy light food restaurant ! suggestion : get executive room breakfast include . you breakfast , drink snack exective lounge include room fee . well worth it . problem : - water temperature shower fluctuate wildly.- Thermostats room nothing . cannotadjust temperature exact number , hot / cold , fan . even , seem completely ineffective . confirmed issue guest hotel room . have open window ( winter ) keep cool . these issue must address 4 star hotel . 
 Mar 11 2008 	 Oooh 	 real copper bottomed treat hotel . fancy ice ? - use bespoke ice machine . fancy rockstar energy 10 lammer ? visit one many local shop hand glorious essential bounty . hotel please mock art deco style , mirror friendly hospitality fact bank detail steal accidentally leave casher floor . shower leave bit desire often quite cold , probably due something wrong . room ? - smash ! - spacious , clean roomy . close west end may even find spot rich & amp ; famous . first night amazed see ' Paul ' tv 's neighbour adjoining casino , night number 2 musician John Driver could sighted make way along one buzz yet leafy thoroughfare . oh one giltterati ! ( briefly ! ) Vive le Hilton Paddington ! ! 
 Mar 3 2008 	 Convenient Location Nice Executive Room 	 Location convenient , although $ 60USD return Heathrow Express need factor . late arrival airport probably convenient wait around airport hotel shuttle . stay large executive room , quite comfortable . breakfast lounge also good , selection good Hilton hotel stay . book well advance , stay Friday night , rate $ 250usd taxis , excellent 4 - star hotel central London . overall , stay next visit London . 
 Mar 2 2008 	 great locastion clean tidy . 	 arrive late , check two room settle executive room 5th floor luck get reasonable price . location truly asset , central London near . the heating though work properly come back meal 23.30 room much overheat nothing could do , staff tell we . bring we fan : - ) temper escalate heat room . lot hassle , argue manager night , look another really nice room 2nd floor , finally force small room 6th floor terrace , thing start work really well . lot hassle finally turn thing well . room clean , convenient nice . terrace would even nice summer . the staff hotel extremely helpful ( apart " manager " ) front desk concierge . matter fact concierge really good hotel , apart location . thank great help . the executive lounge really good extra nit miss . get upgrade feature really consider book hotel . another positive note finally charge we standard double make initial hassle . surely make we positive entire stay . sum ; book hotel location get good price , make sure room work . 
 Feb 28 2008 	 Recommend 	 stay Paddington HIlton Feb 22 - 25 , 2008 London business . agree location extremely convenient Heathrow , 's positive stay . key issue : - wake call not happen . business hotel , obviously big problem- call place inquire extend stay , tell , & quot ; system , call back tomorrow & quot ; . needless say , not bother . - rate wacky . colleague charge vastly different rate ( 140 vs 300 pound per night ) despite room type , etc . bring management , simply refuse make adjustment . evidently hilton , customer always right . - 's business hotel , charge 15 pound ( $ 30 ) per day internet access . want wifi lobby also t-1 room cost 3o pound - $ 60 - per day . - bathroom spacious musty . light spotty . shower water temp highly variable.- nickel dime customer everything - can not sit lobby without repeatedly ask purchase something serverI would recommend hotel professional personal travel . take express paddington - go find well hotel . 
 Feb 28 2008 	 love unique hotel load character great story ! 	 end hotel last minute booking & quot ; secret & quot ; hotel pleasantly surprise ! hotel unique entrance location train line . hotel pack history . top tip : read book history hotel , find every room , truly unique story add lot flair sense magic nice hotel . food par , location great nice neighboorhood good restaurant . room bit small everywhere london , everything need look modern decent . recommend , unique story location give lot extra flair , something special . 
 Feb 13 2008 	 one enjoyable stay London 	 select Hilton London Paddington exhaustive search hotel Paddington Station area . fly Heathrow 10 pm , hotel Paddington area seem good choice . plus stay area past rather enjoy . aware , Hilton London Paddington attach Paddington train station . I able book nonrefundable advance room 109 GBP per night . anything 100 pound range London good deal . advance purchase might everyone 's cup tea though . cancellation reason . sure plan . upon arrival check - in process fast room upgrage standard deluxe . slow time year travel sure plenty room spare . room spotless feature double bed . well actually two twin bed together . pretty common booking double Europe . room size large european standard . siren , general noise outside notice . the room also feature two chair , small table , desk chair , small dry bar area coffee , tea biscuit along ever overprice Hilton minibar . closet drawer space adequate two people . bath acceptable size spotless . soft fluffy towel standard bath article would expect . hey , hilton wash clothe .... new experience London . the stay without problem . internet access steep , budget plan use . one word caution shower . every make quick step back water become unbearably hot . guess someone close flush . , half dozen hotel ' ve stay London , good . 
 Feb 11 2008 	 great stay 	 great stay hotel well situate room lovely , two thing thing think would make stay nice quciker breakfast service wait age get break get breakfast line agin make toast .... breakfast cold tht time , stay cheap hotel 100 % well organise way hot result . one thing bar close early satuerday night .... look forward go back lovely hotel relax bar go bed ........ allow private party onlt sell bottle work £ 9 pint bit pricey ......... anyone mind . 
