hotel 	 hilton downtown , lot history , film make , build large hotel world , call steven . 
 Apr 11 2008 	 good bad ... 	 stay Hilton hotel often due work travel , gold hhonor member . trip pleasure since season decide try Priceline first time pleased get Hilton Chicago . check quick staff member happy give we nice lake view room 15th floor despite get room Priceline . Buckingham Fountain ( feature Married Children ) almost right across street would lovely summer run . I think hotel beautiful well maintain . room small side two window could open four inch . could not hear El , enough siren make . bed wonderful , bathroom clean well appoint . think hotel situate perfectly interested museum , Millenium Park walk along lake . like walk , location do not bother we much , would say far south Michigan would willing go . approximately one mile hotel start Mag Mile , bit less theatre district . see Jersey Boys absolutely love it . we think hotel nickel dimed bit .... $ 6 15 minute internet business center , $ 15 use excercise room , $ 2 store bag . room service price quite high , not avail service . 
 Apr 10 2008 	 stay elsewhere 	 live Chicago suburb stay weekend attend company meeting . mystify favorable review many people give . maybe stay bad floor hotel visitor love Chicago carry review Hilton . would not want stay town , nice hotel Chicago . hall decorate 1950 's , hallway carpeting wallcovere date , wear ugly smell . couch chair near elevator floor not replace decade . room small outdated bed uncomfortable . another reviewer note , heat / AC really could not regulate room warm . open window find EL train sound like go bed , even though 2 block away . company office conference room literally next EL noise hotel room ten time wosre office . would suggest stay west side hotel , especially ytou trouble sleep . $ 41 parking highway robbery restaurant overprice . plus side , lobby typical grand lobby another era ballroom also nice . food meeting good , bad outweighs good . 
 Apr 7 2008 	 mostly positive 	 mixed feeling property . lovely ' Grand ' Style Hotel lot history . lobby public area beautiful . room nicely furnish comfortable . however , minor issue . feel location ideal . go museum top list , great hotel . shop Mag Mile frequent nice restaurant ( bar ) River North Gold Coast area high list , would stay somewhere close area ( like Wacker / Michigan , Streeterville , North Loop , Mag Mile , Water Tower area ) . quite trek area walk . cab fast add . room two bed two bathroom fine wih ( love bathroom spread thing ) . room back hotel could hear ' El ' night bit disappointing . room bit warm ( even AC crank ) open window ' El ' noise hear . .... nice hotel would recommend staying bit far north . 
 Apr 2 2008 	 great comfortable hotel 	 Loved hotel moment cross threshold . great attentive service check - in staff front desk immediately upgrade executive floor ( floor 24 ) . room spacious , comfortable nicely decorate . hotel 's location great give take stroll Lake Michigan access Grant Park outside hotel . manage take nice long walk walk lunch dinner . downside pay wireless internet access , $ 12 day , be much cheap use pay european hotel . overall , great hotel exactly would expect . highly recommend come Chicago visit . 
 Mar 31 2008 	 not leave valuable open 	 leave iPod PDA charge strangely enough , iPod steal . will assume moron take could not make head tail , whereas iPod fairly easy spot . anyway ; expecting reimburse almost without question incident report immediately upon discover steal ; quite opposite occur actually . & quot ; investigation & quot ; determine whether lock mechanism fail , determine responsible . shock initially . be talk 3rd generation 20 gb iPod . insurance company 's argument simple ; responsible period . say part investigation interrogate staff find completely innocent wrongdoing . anyone would . wonderful world would live indeed . ask agent let interrogate respond . make clear regardless policy essentially accuse lie fraud . agent good deflect statement definition black white one . , quite well profession could purchase iPod . 's simply issue . one assume level protection one 's personal belonging stay hotel . apparently , Hilton , not . ' m insult say least . regardless , decide stay please aware staff thief hotel fact support accuse situation ever arise . 
 Mar 16 2008 	 Classic Hotel great stay 	 Stayed conference hotel seem quite busy time . everything one would expect hotel public place excellent . Close Field Museum one direction Art Institute direction . room may fairly small , quite comfortable . excellent fitness room , in - room WiFi seem pricey $ 13 day . walk distance El underground lot nice place eat nearby . 
 Mar 15 2008 	 great hotel great decor 	 Stayed conference really enjoy room , clean well lay lot character do not seem like generic sterile hotel room . little far Magnificant Mile since begin spring , really nice 20 - 30 minute walk / stroll quick cab ride . service great thehotel several restaurant choose . hotel close L train could hear afternoon not distract . relax stay would definitely go back . 
 Mar 13 2008 	 Good Old Style Traditional Hotel 	 massive hotel appear many conventioneer , locate south Loop Chicago . location bad , however , be bit south like Magnificent Mile , close McCormack Place thus appeal convention . would not want south , neighbourhood start get bit & quot ; iffy & quot ; . hotel huge inside , check smooth incredibly pleasant . hotel ton elevator bank comfortable sofas floor sit case wait ( never ) . size hotel obvious map journey room . many twist turn await ........... huge hotel . room quite nice . large two bathroom ( suite either ) , however , believe get upgrade . Hilton Honours member get coupon complimentary bottled water receive USA Today door next morning . bed definitely small size ......... room two small double bed . tv large - problem .... navigate usual solicitation buy movie get normal tv . staff helpful EXTREMELY pleasant . despite size , well run hotel content employee make difference world . wonder hotel Hilton landmark Chicago since late 1920 . 
 Mar 13 2008 	 decent 	 find hotel big . conference tough find meeting room . decent room old hotel . staff helpful general area . 
 Mar 12 2008 	 Fitness fan : Fork 	 husband stay Hilton conference . thing like : two full bathroom room , convenient lobby coffee bar convert wine bar evening , easy walk number museum park , friendly staff , comfortable seat area in - hotel restaraunt , clean room bathroom , friendly staff . thing might keep we stay : -Hilton charge guest , include hhonors member , $ 15 use fitness area . equipment average , good . charge use pool , hot tub ( small ) track charge gold hhonor member . group guest line use fitness area leave learn $ 15 charge per person . disappoint not fee waive guest - HHonors members.- heating / air conditioning control thermostat on / off switch - maintain room temp challenge.- error bill - self - parking $ 41 night ( hotel within 1/2 mile charge $ 15 $ 20 valet ) not bad place ' ve stay - also good . ' m still search Chicago hotel count . 
 Mar 10 2008 	 watch newly renovate room ! 	 disappoint , horrified . husband Hilton fan year . HHilton Gold member use HHilton American Express card accrue point free stay . have able complete guest survey tv , would . notice survey would sent manager . never be . although historic hotel gorgeous , service good , restaurant bar okay ( crowd ' ve book conference , usually weekend ) ... room nightmare . find staff member complain smell like paint room new carpet , new wallpaper , new varnish baseboard new furnishing . imagine outgasing fume chemical ? FEMA trailer Mississippi abandon reason . although cold windy outside , least able keep window crack open . heat control we , good . we would ask new room , husband hurt back lift carry - ons overhead bin could not move . stay weekend not physically pack move stuff . room service godsend . the main point ask room recently redecorate avoid . can not believe new owner Hilton chain , investment firm ( Hilton family sell ) , would treat client like . main concern profit . be obvious . 
