mediocre 	 good thing hotel price receive Orbitz ( $ 160 / double inc vat ) . location near tube keep mind tube extensive renovation , extremely crowded day , may run weekend . , take tube hotel Heathrow . easy trip -- hotel directly across Gloucester Rd tube station -- virtual nightmare due overcrowding tube . literally stand one foot part way insufficient floor space . District Cicle line -- also across hotel -- close weekend . hotel particularly close many tourist attraction exception Kensington Palace south Kensington museum . look like straight shot th Tower London require we ride 4 different train . beware review extoll easy access tube . also could find satisfactory breakfast spot nearby . hotel want $ 25 continental breakfast nearby spot mostly bakerie coffee shop . want reasonably price , old fashioned English breakfast close hotel , good luck . room small , par course London guess , although recently seem trend toward large room . apparently trend yet reach Baily woefully inadquate drawer space . husband use small drawer availiable live suitcase . hotel claim room service idea two people could eaten room . floor ? plumbing also issue . husband force use public bathroom would decide flush day . occasionally wonder pay private bath take lift 4 floor use lobby facility . hotel ok price fine guess , although always deal available stay much nice , convenient hotel price . 
 Excellent hotel miss extra touch 	 Bailey 's excellent hotel , authentic english atmosphere charm , great location across street Underground . give four star , be really four star minus . time little extra touch miss : one receptionist make line short , one maid room clean would thorough instead leave something day , one doorman would actually someone door , etc . room nicely furnish quite comfortable , unmistakably English . way , hotel difference room category really make difference , avoid really small entry category room spring high category ( top category non - suite room huge , even american standard ) . buffet breakfast quite good room rate include ; otherwise try starbuck dozen place across street . 
 Felt like home ! 	 return 7 day stay Bailey . first , say , location great ! wonderful walk underground hotel directly across street . could easier get back Heathrow . splurge Deluxe Room ( L119 ) include internet stock wet bar . nice additional item purchase local Waitress Grocery . room spacious comfortable . want feel Old World exactly get . bathroom quaint wonderful deep tub towel warm ! room , 322 , end long hallway quite entire stay . cold , wet day always nice get room feel right home . staff check , concierge , maid service pleasant efficient . question answer smile ! could please stay . even receive special desert upon arrival celebrate 20th anniversary . area around hotel wonderful . family orient within walk distance many resturant , grocery store , ATM . husband go Cafe Forum every morning coffee free croissant . , location underground perfect get various part London . we would highly recommend hotel one strongly consider get chance visit London future . 
 Aug 6 2008 	 average Worth stay 	 often seem case , good bad review make valid point . also case Millennium Bailey ' London . hotel get solid three , five , even though strong case make high low rating . stay last week July first week August . Short VersionThe hotel old , yet staff work hard keep demand age structure . room large London standard , lack modern convenience new building . employee clearly overwork understaffed , yet par hotel , relative experience knowledge industry . hand , work hard make every effort provide good service . unfortunately , hand tie variety reason . hotel lack feature amenity , make hard working staff . food expensive average . breakfast $ 34 per person simple tea run $ 10 ( tip ) . give choice London , would go somewhere else next time , however , regret stay Bailey ' would recommend , provide traveler understand plus minus . long VersionRoomsWe start penthouse move club room ( reason later ) . room large London standard nicely furnish solid wood furniture big screen tv . furniture old wear , other comfortable good shape . bed terrible . king two single push together mattresse old soft . half king bed indentation , would roll back . forget snuggle wife bed . need comfortable bed , go elsewhere , bed bad . fold sofa break one room offer free roll away . friend experience make offer ( standard rollaway cost $ 60 per night … ouch ) . AC / HeatThe penthouse two AC unit , one broken bathroom AC . rarely issue London , temp low 80 ( hot London standard ) , move Club room two floor . even Club room temperature still hot . doubt issue time . housekeepingthe floor never vacuum change sheet unless ask . king even come cover sheet . ask special one . leave note , follow instruction extra towel , sheet , etc . reason take shower curtain stay replace liner , thus make mess floor . take sheet sofa bed one night leave replacement . hour call housekeeping ( 10:30 pm ) go front desk tell go night . find linen closet hallway , take sheet , make bed . seem understaffed may time room properly . management problem , staff merely bear burden . whole , hotel vey clean bathrrom spotless . impressed bathroom service ( san shower curtain ) . ConciergeSome ok , helpful , extremely nice . tell we wrong open time Tower London throw entire day first Monday town . could give good restaurant recommendation slow try figure answer . Andy much helpful rest , see twice . like housekeeping , short staff . often concierge busy serve bellman check luggage . Front DeskThey skilled staff know . anytime problem ( many ) quick resolve issue . take little negotiating , make accommodation various problem , however , would rather problem begin . would say front desk staff good fine hotel . great job ! restaurantwe get room service . besides outrageously expensive food average bar restaurant . service , hand , excellent . staff work hard provide good experience . restaurant manager commend excellent staff training , fire cook . quality food , price high , even London standard . OtherThe elevator occasionally break , three , usually ok . location great , right across Gloucester block Kensington South . 4 block north great moroccan restaurant ( think Pasha ' ) . hear elsewhere one good London . well ever ! bad concierge ' tell we . good chinese restaurant attach Millennium , block , service slow . across street little mall fast food place , want reasonable priced breakfast . also , next moroccan place nice italian restaurant good indian one across street ( Memories India ) . hotel decor nice create comfortable experience . SummaryThey get B+ effort , c- quality facility . hotel definitely average hotel decent service one worth give try . would go back , usually stay 4 5 star hotel , prefer lot pamper vacation . long know expect go , would recommend hotel . price pay , definitely acceptable . since first night go well ( room ready 3 hour late ask 2 hour early , AC ' work , toilet ' flush penthouse shower make someone 5 ' 10 & quot ; ) would well experience . get well , still great . really like staff , feel bad heavy work load must endure . solid 3 star Bailey 's , sincerely thank staff hospitality . good people ! 
 Aug 4 2008 	 mix feeling 	 get great deal two couple celebrate 50th birthday via travelzoo- include breakfast two course evening meal . on plus side : friend get upgrade room restaurant arrange birthday cake . restaurant supervisor night manager heplful courteous food good . location excellant , oppposite tube shop / pub museum close by . now side : standard room warn enter turn air conditioning go restaurant.- plus allocate smoking room request non smoking . mention manager say do not pay fora bottle wine meal . return room 11.30 p.m. temperature 30.0 c. maintenance man arrive inform us air conditioning break therefore duty manager supply us 2 electric fan . 5.30 cold shower go outside walk hot . hotel bill reduce charge us service charge wine meal restaurant although meal include rate one bottle wine complementary . despite , would consider use hotel - friend complaints- check room / bill thoroughly accept either . 
 Jul 29 2008 	 good value hotel London 	 get good deal hotel Eurostar package . hotel fairly basic fairly good standard price London - room reasonable size , huge , expect London . staff front desk particularly helpful , floor creaky otherwise major complaint . bathroom nice , bed comfortable . view room - look brick wall kind generator make hum noise . great location next tube station convenient ( although due large number hotel around vicinity buying tube ticket Sat morning nightmare ! ) . overall fairly good hotel price would stay . 
 Jul 28 2008 	 lovely 4 star hotel 	 Booked hotel cheap internet weekend stay london . I suprise lovely hotel , character age well keep . the room quite good size london hotel . spacious , clean , nicely decorate though little worn . bathroom clean modern , however leak towel rail handy man come fix within half hour.tea coffee facility room , tv sattelite channel , mini bar , desk & amp ; chair , trouser press hair dryer . breakfast lovely plenty choose , full english , cereal , fresh fruit , tea coffee lot different juice . service good everyone helpful polite . the problem hotel price drink bar , expensive suppose get centre London . overall would reccommend hotel well worth money live 4 star status . 
 Jul 24 2008 	 great location poor room clean / service 	 Hotel brilliantly locate directly across street Gloucester Rd tube station serve picaddilly & amp ; Circle line easy see major tourist site . good breakfast , not use restaurant bar can not comment . booking , ask high floor far away lift , exactly get happy . room big enough , minibar , tea / coffee make facility . , grumble ! accumulate quite lot loose change instead carry around place one glass room . within 2 hour come back room maid & quot ; assumed & quot ; tip take lot ! fair enough ' ve check room first morning hotel ! well clean staff presumptious , not empty bin whole duration 3 night stay . 6carrier bag rubbish lying room ! 4 star ... even 3 star ! toilet roll not refill resort buy milk milk tea / coffee facility not ever re - stocked . also , wooden bath panel fall , handle fall chest drawer carpet 5th floor lobby definitely see well day . I would not stay ... yes , location good numerous hotel street would check first . pity shoddy cleaning staff let place . 
 Jul 22 2008 	 hotel ! 	 come back 3rd stay hotel 's great . staff service excellent . location good . short walk round corner round natural history museum , v , harrod harvey nic . local facility enough great pub , boot ( toothbrush etc forgot pack ) tesco open 24 hour . recommend organic pizza place - nice drink pub . tube across road - fab . would definitely go back recommend . 
 Jul 15 2008 	 absolutely Perfect ! ! 	 family absolutely LOVED Bailey ! ! ! room clean , spacious , nicely decorate comfortable . talk Location , Location , Location . bailey close everything ! ! ! underground , fast food restaurant , local pub , 24 hour convenient store , money exchange , grocery story , pharmacy , internet cafe charming bookstore . also , Bailey 's restaurant scumptious . english breakfast include fresh , hot english favorite egg , ham , potato sausage . also fresh fruit , fruit juice , cereal , pastry . hot tea & quot ; die & quot ; . finally , entire Bailey staff outstanding ! ! friendly , helpful knowledgable . London vacation would memorable without Bailey . 
 Jul 13 2008 	 love hotel come back ! 	 husband stay hotel two night love ! ! ! wonderful hotel , wonderful location , love bar hotel , tube across street , room good size London standard , think good hotel stay London , think size hotel small like many hotel London . I use gym actually next door hotel nice , free ! travel England two time per year love stay day London , next trip stay ! ! ! : - ) 
 Jul 3 2008 	 Special Surprise Anniversary 	 book Expedia , write property inform would 25th wedding anniversary stay . assign spacious room king bed . addition , bring we wonderful , delicious cake upon check . pleased facet visit , recommend hotel highly . tip : not miss wide selection neighborhood restaurant walk east South Kensington Station . 
 Jul 3 2008 	 comfortable Clean Convienient Hotel ! 	 get good deal hotel feature Lastminute.com ' secret ' hotel quite easy figure ! £ 122 get wife room one night breakfast 2 course evening meal . the hotel originally 100 year old though carpet stair little threadbare comfortable relaxed feel . hotel sympathetically update keep original charm . room ( 233 ) little small still acceptable , everything clean , mini bar well stock decent plasma screen tv . bathroom ok everything work satisfaction . the staff pleasant efficient . the restaurant evening meal modern still keep style update hotel , food excellent service match . breakfast buffet style reasonably well run choice hot cold food . do aware restaurant include service charge , check bill come check , not pay , tell receptionist tip restaurant staff direct want charge take off . the hotel location right opposite Gloucester Road tube station , turn right come station Baileys across road . 
 Jun 23 2008 	 Fantastic Location ... Pity Customer Service Response 	 stay 2 night Millennium Bailey 28 - 30 May . location unbeatable . great also TESCO Express rigth across teh road , KFC , Starbucks Waitrose supermarket . plus tube station doorstep , literally ! plenty eat option well , area 's dead 8 o'clock unlike place . room small , clean comfortable . nothing complain ' ve London price pay nothing short miraculous city . just one little sticking point . check - in , give frequent flyer number . tell .. ... give check . beat ? check , reminder . cam back , write email request mile credit . not even oblige courtesy simple acknowledgment , much less response . be nearly month ! would love recommend hotel . fact friend town time . good thing say hotel ... well ws hiccup talk . 
