good 	 well would like start think staff early check . must say complementary upgrade room would nice . however , normal room fine . great service throughout stay . valet , bellhop , server Coranado Cafe , everything great . always stay Vegas . 10 minute strip , everything need . strip mess terrible traffic . even see Floyd Mayweather play blackjack great casino . hope come back December . could however drop need charge $ 15 night use internet . 
 doctor order . 	 first , always confuse people downgrade property something could easily research . south Point frequently criticize far Strip . think point , far ' m concern 's strength , weakness . late trip take early morning drive Strip . thank . taste , sp perfect size distance action . rental nothing 10 - 15 minute away anyway . I also would prefer charge internet exercise room , fact norm LV . not know property offer complimentary internet gym access . criticize sp something everyone else not make sense I . so not , offer . money , little need spend stay SP , well property Vegas . recent stay pay $ 100 3- night stay . reasonable price get stay large , clean room would put shame many room high - end hotel . casino perfect size well . big enough offer variety game , large different zip code . during visit two fantastic meal - one primarily Prime Rib Silverado ( pretzel bread absolute good ) . stay SP , try buffet , also decide give whirl . satisfactory . nothing either overly complain compliment . in lead recent trip hard time decide stay . ' m happy choose SP , would happily . happily . 
 cheap NHL 	 cheap room bad sport book ! never see NHL Hockey game play sport book . 
 Sep 25 2008 	 Excellent Value without minor flaw ... 	 hear positive thing South Point decide give try night . never really stay strip Vegas , ( Orleans close ) rate low place look nice give shot . let start positive since far outweight negative . exterior hotel grand -- much like nice hotel strip . one postive thing realize right away hotel complicate layout , unlike many big resort feel like maze time . check - in counter right near entrance , enter right casino . casino nice spacious , well lit , airy open feel . find room simple , long hike . basically that s way entire hotel feel . even though big place , everything feel nearby easy find . get mid - level room .. 17th floor provide good view pool mountain . would advise other pay extra 10 $ night get room good view . far room , great ! huge well decorate . probably good room ever see price . large bathroom always desire seperate vanity area . complaint room whatsoever . one big postive south point pool . grandest decadent Vegas stretch , still nice . make even great lack crowd . even Satruday pool half full . choice chair . Tuesday almost feel like pool . south Point also great selection restaruant . try 3 4 they . now negative . one , think buffet quite lousy . even Sunday morning . selection mediocre food taste fresh . kind downer . also play loud music 830am . that s last thing want hear eat breakfast hungover Vegas . black jack dealer among least friendly ever come across . one guy almost frightened seem angry . knock casino , people seem hire . sportsbook excellent , crowded Sunday football . almost impossible get seat . hundered . one minor complaint shuttle strip . reason take Mandalay Bay . great go right nearby , people end go center strip . either pay another 10 - 15 $ cab take far , walk 20 - 30mins heat . choose taxi . really think extend shuttle take people little -- maybe Flamingo . all excellent value , great time . like place flaw , price please experienced South Point . 
 Sep 25 2008 	 Vegastastic ! ! 	 viste Vegas previously must admit , reservation stay & quot ; Strip & quot ; . arrival reservation quickly dissapeare . south Point absolutely superb . hotel enormous luxuriuos . yes , quite way Strip hotel provide modern air - condition courtesy bus run throughout day , half dozen time hour . never wait ten minute bus turn whip Madalay Bay . Pickups Strip run much later evening less - hotel situate Off - Strip . South Point undergo major extension refurb look simply stunning backdrop Nevada desert . however , even though work yet finish viste erali year noisy dust . gripe simme pool close hotel not offer alternative make provision sister hotel . everything else WorldClass . major advantage Off - Strip sunrise sunset , simply spectacular breathtaking . price ? well value money not come . well value money ! cheap luxury hotel ever fortune stay . forget Luxor MGM , ' m come back South Point everytime ! ! ! : ) 
 Sep 24 2008 	 delightful place ! 	 first time South Point absolutely delighted ! staff friendly courteous . casino bright clean smokey . room large clean bed comfortable . housekeep marvelous job clean maintain room . room quite large nice safe valuable coffee maker . one new room happy . hope stay future . 
 Sep 24 2008 	 Nice Hotel 	 girlfriend stay week September . we ' ve Vegas & amp ; decide stay strip , escape crowd end day . firstly , other say , large newish hotel . clean , room rest hotel . the room large nice flatscreen tv.the shower bath good pressure . we eat eatery . buffet average , steakhouse prime rib restaurant good & amp ; deli excellent . the swimming pool area nice , pool freezing . cold , freezing ! manage keep low temperature 's 100 degree outside mystifie I . drink service casino good staff generally pleasant . we use cinema , excellent good value . we use spa happy it . we not drive , use shuttle frequently . never wait 10 minute . be pretty good . would stay ? well , without car . be bit far main action . use shuttle fine , time consume . also shop long walk away . 
 Sep 22 2008 	 Great Value 	 reserve two night hotel $ 45 per night . hotel relatively new ( least look new ) clean hotel . room spacious , well appoint , clean . $ 45 , good value get money . high 3 - star low 4 - star hotel . , satisfied experience would return price right . here annoyances:1 . front desk disorganize unfriendly . wait 25 minute line check in.2 . hotel offer free shuttle strip . shuttle infrequent ( every 30 minute ) unreliable ( not stick schedule ) . also fill frequently wait next shuttle ( 30 minute later ) . $ 45 , justify use taxi , run $ 25 way strip . 
 Sep 22 2008 	 Fantastic 	 great place stay , good clean room large tv . car hire must supply free courtesy bus Mandalay Bay . go timeshare presentation good way get cheap holiday get free show ticket , buffet meal well money . well worth sit boring presentation ! 
 Sep 21 2008 	 Nice issue 	 hotel beautiful . room large , nicely decorate . large window view strip north . bathroom nice large . room closet safe , large flat panel tv mount dresser . issue . check fast yet not think girl outwardly friendly . live . Friday seafood buffet good crowded . line table move fast enough yet guy seat friend we . waitress good though . food typical Vegas buffet ok . Orlean 's buffet well . use COUPONS BOOKLET give check in . ! ! ! ! ! housekeep nice job . Friday Sunday never clean room . grant sleep Saturday leave leave sign service room . come back 4 hour later nothing . nap come door man saythe assign room . say 2 night leave . front desk must make mistake . leave Saturday go show around 5 pm , still leave service room sign . nothing happen . word warn though . get car night Vegas unless hotel lot . husband assault angry hispanic motorist . end go ER break nose . Police make arrest see witness . happen street corner outside hotel . hotel security excellent come aid though . this last trip Vegas thank idiot . book Expedia get Friday / Saturday stay $ 76 night hotel far exceed price ! sweet deal ! 
 Sep 20 2008 	 Favorite Vegas Hotel 	 first stay South Point May 2006 , although call South Coast . less 6 month old spacious room 42 inch plasma tv room . casino floor bright inviting . overcrowded like strip . & quot ; Gift shop & quot ; good liquor price around . every year go back least ( live LA ) still love hotel . Sign player club get great deal send e - mail address year round . tell friend place . caveat would tell anyone strip . 's love . first visit Las Vegas , might think little far away . would always recommend get car stay , say , close i-15 Freeway strip downtown 10 - 20 minute . I weekend July book room birthday weekend October ! 
 Sep 19 2008 	 great value exceed expectation 	 great place stay Vegas ...... large clean room , great casino , beautiful spa , even multiplex cinema ....... keep good work Southpoint . 
 Sep 17 2008 	 complaint ! ! ! 	 even though hotel 10 min south strip , still great location . check process fast easy , staff member Takeo helpful answer question . give room 14th floor must say soon walk impressed . room book basic king size non - smoking room look like mini suite . spacious , clean , plasma tv complain . bathroom big clean well supply lotion shower gel Bath & amp ; body work . good night sleep pillow , bed . complain . price get GREAT . 
 Sep 17 2008 	 Perfect cheap night Vegas 	 go Las Vegas 8 hour overnight flight simply look cheap decent room night . South Point $ 65 incl taxis . perfect . book hotel website . I not see much hotel . arrive 11:00pm leave 6:00am shuttle back airport . room huge perfectly comfortable large lcd tv everything one would need . internet $ 12 / 24 hour not use . use none hotel facility except free shuttle morning great . the downside hotel 6 mile south Mandalay Bay ( ie end strip ) taxi fare evening $ 38 incl tip . however , shuttle get feel taxi driver may take long way round . if another layover would . want Las Vegas would stay near strip . 
 Sep 17 2008 	 Value fun south Strip 	 Excellent value , clean , still glitzy although mile south main Vegas strip . similar Orleans Casino - formerly sister hotel , also review - bit sophisticated . spacious room excellent decor , amenity - hair dryer , phone twelve - foot bathroom - interesting pool . con : location limit without car ; local 800 call start $ 1 ; internet charge outrageous $ 12 daily pc $ 11 hourly share pc . review limit stay one day use facility food . 
