nice 	 okay , will start say teenager travel often , know fair share hotel . go New York mom great aunt visit family see city . choose Novotel picture website ; be modern , clean , white colour . get , lobby nice , like website show , white accent colour granet counter . service good , pretty average . soon get onto floor ( 12th ) , drastic change . wall orange blue accent mark . get room , turn light almost cry . expect nice white room , feel step dingy motel Arizona Mexico . drape bedspread generic hotel print , wall odd splotchy orange , green metal windowframe . almost expect cockroach spider come wall . add , bed uncomfortable lipstick smear pillow . time upset , special trip birthday , beginning not expect . make thing bad , buy wireless internet not work . the bathroom , however nice . part room modern nice lighting makeup , shower not nice . shower floor bumpy , come away floor . veiw also nice , good ; overlook top dirty building , crowded city not shocking . food service good ! one good in - room meal ' ve have . I ' m mean turn hotel people , comfort level . many people say come city see city , hotel sleep . hote one important thing ; 's place feel safe get good sleep long day . feel safe hotel . stay 2 night , switch hotel . 
 Professional friendly staff beautiful hotel 	 Chose hotel due excellent impression make senior hotel manager later staff encounter . room quiet , clean beautiful view Times Square . location convenient everything midtown Manhattan , especially theater district . stay base upon satisfy experience . 
 Jul 28 2008 	 Loved 	 stay first trip NYC , second honeymoon . find staff friendly helpful . stay standard room lovely , clean comfortable . problem fridge room though . take can drink put keep cool , sensor fridge charge account . drunk . quick word front desk sort . location hotel perfect , easy stroll Central Park , Broadway Theatres stone throw away . well recommend . 
 Jul 21 2008 	 everything want ny .... 	 ask ? amazing view Times Square 12th ( 1204 ) story room . lovely balcony bar restaurant overlook Times Square reasonably price drink . room comfortable massive bed excellent bathroom . ware censor base mini bar .. bit slow hand chardge . also make international call room slug astronoical rate . whole thing effect trip aware . easy walk Times Square , 5th avenue Rockefeller center . bother city pass lot include bus tour . take blue bus , will not disappoint , walk city easily do save $ 50 per head . hotel highly recommend really make stay New York . back ! 
 Jul 7 2008 	 Excellent Stay - back ! 	 find Novotel via agent ( first extended visit NYC ) . come highly recommend know . room spacious , clean comfortable , service exceptional . be right 52nd Broadway everything would want see within walking distance ( theater , Time Square , NBC Studios , Rockerfeller Center , Radio City , ESPN Zone , etc ) . fact one day walk way 34th Street Macy's / Empire State Building . need rent car - cab subway good . use breakfast buffet Novotel ( instead , other suggest , walk two block Cosmic Diner - will not disappoint . 2 double bed room , reason , stock enough towel 3 . call front desk complete set towel deliver within minute - never another concern throughout stay . not & quot ; room view & quot ; not pay extra $ $ $ one . ' m corner away & quot ; live & quot ; view . everything room work fine , AC not cold least comfortable . entire staff go way greet we ensure everything fine stay . Watch & quot ; wet bar & quot ; fridge room PROGRAMMED automatically charge beverage 's remove . not want put drink fridge keep cool fear have charge . already know will pay $ $ $ $ $ anyway would not advise use . say , 's place whenever decide visit NYC . 
 Jul 7 2008 	 good price location 	 know , NY expensive find resonably price place stay Manhattan trick . hotel close Times Square many theatre nearby . novotel resonable price decent sized room . frill place room clean . room could update ( ie remove gross bedspread replace duvet ) bit . room soundproof . room constantly hot , stuffy & amp ; musky return way cope lock smell open window airconditioner weak . I make reservation 4 month advance 2 - bed non - smoking room upon arrival , 2 - bed smoking room . room really smoky , happy this . the skydeck nice place hang view Times Square . lobby hotel 7th floor . would take elevator 7th floor order transfer another elevator get room . elevator slow time would let couple full elevator load go find room one . if get good price , good place stay due location . 
 Jun 30 2008 	 good price standard location 	 Booked Novotel trip NYC Dad . obviously New York hotel crazily expensive travel young people budget conscientious good hostel private room . however need something well standard ( ie : Premier Inn ) keen central Novotel probably good value find completely meet expectation . clean , nice , new modern , decent sized room New York pretty good view available . great wee american diner ( Broadway diner ) near end block - good breakfast good weekday deal . definitely good choice get reasonable price . pay £ 140 night include taxis room 2 double February one good price go standard / location . 
 Jun 23 2008 	 good hotel choice price right 	 Husband stay 4 night early month pleasently surprised ( stay Hotel Pennsylvania last trip 2005 ) . hotel great location , store right next door water , snack etc starbuck across street , ( amongst other ) negative : towel bathroom tiny , like hand towel bath towel . a / C not seem go 73 degree - window open could put noise . Carpet bit old dirty . positive : Location , location , location . nice bar outside terrace . room lot big expect , big plus bed really comfy . 's safe big wardrobe full length mirror . 
 Jun 17 2008 	 Great Location 	 New York Novotel great central location sight . right heart & quot ; Theatreland & quot ; short stroll Central Park . hotel room clean comfortable , guest would benefit coffee maker room however McDonalds end block . staff helpful polite however concierge somewhat sour face although know stuff ! GREAT HOTEL , GREAT LOCATION . worth every PENNY . 
 Jun 11 2008 	 good central hotel bit expensive 	 stay last minute business trip colleague . 's nice hotel , location excellent . complaint even though arrive evening around 6 pm , room not ready , give we free drink bar wait ready . room nice spacious , glam , great compare central New York hotel . would stay , hopefully not expensive not book last minute ! ! ! 
 Jun 6 2008 	 Perfect location 	 stay heatwave April 2008 ! say , never problem room temperature reviewer say ... could want a / c te time ! ! perfect location , do not think value location hotel beat ! Ritz , New York numerous occasion , want somewhere clean sleep , centrally locate , well price money spend NY , hotel 100 % tick box ! staff friendly helpful , do not ever breakfast could not comment , use Stardust diner , turn left come hotel 50 yard along street , $ 6 breakfast ! can not reccomend hotel highly enough , clean 3 * brilliant location , long get good price , do not think go wrong ! ! ! 
 Jun 6 2008 	 great location stay 	 stay 5 night early May . room nice roomy , king bed , face Broadway . could look street window see Times Square . quiet , clean comfortable . location great . easy walk around area , Central Park , Times Square . close many theater , Starbucks , McDonalds . also easy get taxi . problem shut heat first call front desk nice maintenance man come within 15 minute change cool . work fine . never wait elevator 1 minute , usually much less . would stay ever New York City . 
 may 24 2008 	 excellent base really helpful staff 	 stay Novotel April 8 friend , lady , shopping break way cruise . New York fall foul often rude ill - mannered employee many city 's hotel restaurant , could please Novotel . splendid position Broadway , large room 2 double bed , excellent coffee shop outside area give great view Times Square hotel staff could enough help . 9 lady load luggage easy guest nothing much trouble - hotel even keep bag day return cruise give we shopping time . you walk anywhere location - turn leave 5th Avenue , Central Park Bloomingdales , turn leave Macys Times Square . shall definately stay . 
 May 20 2008 	 Decent hotel heart action 	 wife arrive New York first night honeymoon want stay somewhere near everything expensive Novotel hit spot count . use room sleep 's difficult enthuse much . Suffice say , hotel clean , comfortable , surprisingly quiet ( although 34th floor ) perfectly locate Broadway West 52nd 3 block Times Square . with hindsight would prefer stay West Villiage friendly less touristy feel be really pleased Novotel nonetheless . definately recommend cheapish , decent hotel central Manhattan . 
