fine 	 quality room service expect Hilton : average . location make perfect stay . right edge China Town 10min walk many good restaurant Columbus Avenue . much well location Embarcadero around Union Squaire . defintely would stay . 
 Nov 16 2004 	 location good San Fransisco ....... 	 stay holiday inn 6 - 13 nov 2004 , hotel average 3 star view hotel second none . if possible ask bay view room high floor , view bay breathtaking . the good thing hotel location , across road Portsmouth Square , heart Chinatown , 5 minute walk North Beach italian district 15 minute either direction walk shopping district Civic Square tourist thoroughfare Fisherman , Wharf , definately 10 10 location . for breakfast would reccomend Garden Restaurant outside hotel , leave , breakfast hotel overprice poor , similaly need camera film etc hotel shop way overpice walk across Chinatown get good shop there . we would stay location , good San Fransisco , rather hotel ........... 
 Nov 13 2004 	 experience people ! 	 book another hotel SF , decide change hotel base review website . wish had'nt bother . the location fantastic , 10 min stroll Downtown SF excellent shopping / cinema etc ...... 10 min trolley car ride wharf , SF 's good chinese restaurant ( view ) road ( House Nanking ) .The check staff rude , abrupt helpful . room bay - view great , - build site directly opposite start work early day . also ask high floor , hotel busy intersection road . place quite low street also noisey - despite assure hotel numerous e - mail week lead vacation would place fairly high up . with lack sleep first nite ask move . front desk rude , helpful , offer room side hotel floor ! housekeeping staff great , keep room immaculate friendly . I like complain holiday , enjoy let thing wash , - feel problem REALLY sour stay beautiful city SF . ( 1st-8th November ) . 
 Oct 31 2004 	 Clean Rooms 	 stay Holiday Select three night . location good . breakfast good fast . business center open 24 hour real easy locate . top floor . able locate check e - mail . hotel locate downtown surprised see homeless park across street - usual city . hotel staff outside almost 24 hour light good . overall good clean place stay . would stay location . 
 Sep 20 2004 	 great Views 	 Standard room great view . ask high floor bay view delight good view Alcatraz Isalnd room 22nd floor . great view roof top pool perfectly adequate . room good size usual facility reception staff polite helpful . place San Francisco parking expensive . hotel within walk distance China Town short taxi cable car ride Fishermans Wharf . choose hotel view roof top pool anything else disappointed . 
 Sep 16 2004 	 AVERAGE 	 Hotel ok , wonder big enthusisam revierwer come . room decent shape , seem newly renovate . big empty place , lounge chair suppose ( hotel picture ) , try get one , man give impression would know talk bring normal chair . next morning see lounge chair room clean . room however remain without one whole stay.nothe wrong hotel , average correct description . location fine , walk many place . pool plus especially travel kid . 
 Sep 11 2004 	 impressed 	 consider rave review list expect average hotel . stay 5 night Holiday Inn Downtown Spa ( Sept 5 - 10 , 2004 ) . hotel staff not overly friendly . rude not go way . upon checkout customer service agent not even ask stay . guess hard ask guest , town , like San Francisco , please come , etc . room small clean . nothing fancy . internet access / computer guest . tell & quot ; Business Centre & quot ; work want check e - mail walk 7 block Kinkos . price pay expect hospitality . however , seem pay location . extra thing mention . what like : hotel locate corner China Town , financial district , North Beach . easy access great food ! cool rooftop pool . bring swim suit spend day enjoy view ( Coit Tower , TranAmerica , Bay / Ocean ) . not bring swimsuit wish have . what not like:3 -4 block near Cable car stop . main attraction along Cable Car route . morning walk cable car stop fine . however night could not walk fast enough hotel ! many shady / homeless people around hotel - especially Kearny street . 
 Aug 21 2004 	 good Kept Hotel Secret San Francisco 	 place stay s.f . view high floor room - either Sausalito , Alcatraz Coit Tower , downtown Trans America building- amazing delight -in instance , would hard press get million dollar view like top dollar hotel Nob Hill ! room spotless , recently renovate , decor rival far expensive chain . staff helpful , overly friendly - no complaint . location - at corner Chinatown North Beach short walk Union Square , Embarcadero , simply BEAT ! 
 Aug 19 2004 	 absolutely brilliant 	 visit SF parent could not wait show site . love San Francisco . arrive Holiday Inn great hotel NY , high expectation hotel . wrong ! ! check manage get great room superb bay view . room good size everything working order . staff check - in polite helpful along concierge . take breakfast every day hotel great value enjoy lounge evening . location perfect , quiet , within 15 minute walk major attraction 2 block cable car . great roof top pool fantastic bay view . what really make hotel stand friendliness staff . big thank Liz checkout , customer service fine art . wonderful housekeeper . keep room spotless , also give we great advice chinese festival take place probably would miss . give we info get around , location , sightseeing always big smile . thank - you Mu Zhen . San Francisco friendliest city ever visit , apart home city course ... staff part experience . thank wonderful stay . 
 Aug 10 2004 	 great location ! ! ! 	 like hotel , location great , do not pay taxi whole stay , transportation airport , hotel clean , staff helpful . highly recommend hotel anyone look luxurious hotel , good one . 
 Aug 5 2004 	 great week great location ! 	 choose hotel largely location not disappointed . not want stay Fishermans Wharf - tacky turn review Union Square area prove correct . San Francisco fantastic city really need sort problem homeless folk - intimidate especially evening . whereas , hotel able wander Chinatown , Columbus Avenue italian food , main cable car route even Union Square feel comfortable safe . admittedly be nothing open beyond 6 pm financial district , everything else close not problem . the hotel bog - standard Holiday Inn nothing wrong - least know exactly get - not always case , especially book old hotel NYC etc . room good order housekeeping job admirably efficiently . check - in receptionist exceptionally helpful secure we desire adjoining room , high 20th floor magnificent bay view - can not fault service . happy choice hotel , great week stay would recommend anyone . 
 Jul 19 2004 	 spectacular- could not ask ! 	 hotel truly wonderful . fiance originally go stay Ramada , read review tripadvisor . somehow stumble upon website mention Holiday Inn Select Spa . seem good true , great ! good location . fiance able walk Chinatown Little Italy ( 2 3 block away ) . staff really friendly helpful direction . spend 150 dollar ( include tax ) Executive Room 25th floor . pay 15 dollar extra get room , worth price . plush robe , free breakfast ( cost guest 11 dollar , though really not worth eat hotel fabulous ethnic restaurant nearby ) , access office internet connection importantly great view Little Italy , Bay Alcatraz . room spacious desk , comfy oversized chair Ottoman king size bed . everything look modern clean . problem , quite small , call time get extra pillow , get one wrong type ( get feather , foam , snore pillow ) . one thing check last day take we 10 minute get elevator full . rooftop pool definitely plus . always want stay hotel one . view great , bit windy . another extra Chinese Cultural Center actually locate hotel ! highly recommend hotel 's great service , price , location room . enjoy ! love . 
