view 	 grand hotel . size current standard , ' high location result view provide . hotel host US president Hoover Ford , earn status top hotel San Francisco ~40 year . the hotel maintain classical elegance , keep good balance old look modem functionality . unbeatable feature hotel view beautiful San Francisco city . stay room 12th floor face Union Square ; view room already impressive . although many people afford set foot presidential suite 18th floor , one ' need rubber bank spend couple hour Top Mark restaurant top floor building . near 360 - degree view good part San Francisco city really breath take . may convenient hotel business traveler . hotel locate top Knob Hill . street lead towards hotel steep bus line go . form public transportation serve hotel cable car , tourist attraction reliable transportation . parking space limit cost $ 55 day park . besides , convenient go place city like San Francisco driving . taxicab easy find rush hour many cab want cruise steep Knob Hill spot available cab stand . hotel provide complimentary transportation service financial district union square district weekday , first - hand experience . ideal hotel tourist fit enough climb couple hundred yard steep hill . hotel serve three cable car line , take Market Street , Van Ness Ave , Fishman ' Wharf , Ferry Building Ghirardelli Square . 10 - 15 minute hill walking take China Town Union Square . cable car crow early morning dark . even busy hour , California Street cable car less crow , case one need go back hill afternoon take rest . major part enjoyment stay Mark Hopkins visit Top Mark restaurant bar , , ever - change San Francisco weather cooperate . opinion daytime view well nighttime one . extremely luck stay : marine layer clear strong wind early morning , bright sunlight illuminate Grace Cathedral building low angle , clear blue sky Golden Gate Bridge back drop . million dollar view we stare enjoy breakfast . ' high expectation food , turn much well expect . OJ good ; coffee ok ; fruit fresh plenty choose ; pastry good . top usual suspect hotel breakfast buffet , array cold meat , 10 kind cheese variety smoke salmon choose . even several kind chinese dim sum respectable quality present bamboo steamer , remind people San Francisco hotel . price breakfast buffet reasonable $ 28 per adult , $ 17 per child 12 year old . thing strange bill 15 % " service charge " another 15 % " service gratitude " . since total bill inline expectation satisfied view , ' bother ask two service item bill . thing cross " tip " line bill . little bit outrage ask tip charge 30 % service already ? give 5 value get good deal , probably bad economy . 
 Mar 8 2008 	 good overall great service nickel would dime 	 hotel centrally located- major attraction San Francisco easily accessible hotel car , public transportation , walking , taxi , e.g . Fisherman 's Wharf , etc . top hotel also great view city- top hill high building area . fyi , steep hill prepare San Francisco . service also excellent- bellhop room service Top Mark . prepare pay service . parking reasonably price relative area- cheap parking around block save money way lose valet service- call . ( ) hotel room service fee , Mark Hopkins add additional 15 % gratuity room service automatically- discretion . maybe like ensure room service get fair due bit much force pay consider discretionary . rationale guest might know tip way help , well way less presumptuous would many establishment do- put bill suggest tip percent ( e.g . 15 % , 18 % , 20 % ) - way unsure tip , see suggest decide oppose force tip- would like restaurant 2 bill come tip included- 's bit presumptuous waiter tell good service . part world may include gratuity bill , US bar large party something similar . the big complaint though make pay internet service ... per computer . yes , make pay internet service- nickel have dim . complimentary instead per room access charge , per computer access charge . 2 laptop , pay per laptop . 4 star hotel , simply unacceptable- motel give free internet access , know something wrong pay basic service . internet access secure wireless , simply wireless ( ethernet ) pay . charge much , much pay something basic now - a - day , especially 4 star hotel . comparison , someone else mention , Fairmont across street provide free wireless . hell , coffee shop across street offer free internet . leave unpleasant taste mouth- not , rating would least 1 star . be one little thing annoy ... thing , overall experience great- view service good . book hotwire provide option upgrade ( high floor ) small fee ( would still less expensive pay full price would still fair deal ) . 
 Feb 26 2008 	 check bill 	 stay business two night . first night fine . room small cushy , nice view , hyper - price internet connection . hotel bar upstairs also beautiful view , high price , lousy service . second night check 4 am catch plane back Chicago . Printer not work , promise e - mail bill . 3 week later , still bill . fax request ! got bill : add $ 200 second night 's price . 6 week call , finally get reverse . rich not know well , hotel fine . care service try someplace else . 
 Feb 19 2008 	 like walk uphill : ) 	 get hotel priceline reasonable price not choice , turn avery nice base city excursion . hotel maintain early 20 century style , room large ( mean compare european standard romms US huge ; ) ) ) well furnish , view spectacular hotel one high spot town . cable car stop outside front door hand city attraction walk distance , although walkin hill may painful . breakfast expensive ( $ 30 per person ) good , find healthy food besides bacon , bean sausage ; ) 
 Feb 12 2008 	 love mark hopkin ! ! 	 return day ago 5 day stay mark hopkin . nice hotel , one fine stay . bed perfect , high quality linen , mattress , pillow , comfortable great night sleep . sick cold , front desk helpful find anything need . food top mark , must go place top floor fantastic veiw san francisco , food good , breakfast expensive , perfect . early morning sun water sky line worth $ 63 ! ! color throughout calm elegant . service truly expect hotel price range . first trip san francisco , much travel , beleive overlook gem city . cable car ( california line ) run front hotel . go china town , eat great eastern jackson , good mongolian beef ever ! could taste bad cold . go extra expense , stay mark hopkin . . 
 Jan 17 2008 	 love ; stay 	 husband stay Mark Hopkins 5 night . book via Hotwire read many complaint Hotwire / Priceline guest , brace possible negative treatment attitude . however , experience nothing negative thoroughly enjoy stay Mark Hopkins . will happy return . all staff encounter pleasant , friendly , courteous ready help ( one minor exception 's worth detail ) . feel everyone , bellhop housekeeping staff , demonstrate good training friendly service attitude . we book standard room , since stay 5 night , pleased give corner room little large typical standard lovely city view two side . well - appoint quite comfortable stay , problem noise . Nob Hill location splendid , make easy walk Chinatown , North Beach , Union Square area interest . walk hill fun -- wear good walk shoe take cab haul luggage . great time would happy stay Mark Hopkins . 
 Jan 13 2008 	 5 Star service without Attitude ! ~ 	 family 5 3 small child , usually 5 star hotel small boutique hotel do not always let we feel welcome ...... book hotel see travel channel , room good size , clean , bed comfy , since hotel old , think AC blow one side room , love size bathroom , improve toiletry . aside , love place , 5 star concierge without 5 star attitude ! ! ask information shuttle fisherman 's wharf do not make reservation , arrive lobby , decide change plan take hotel shuttle , conciege greet name say limo reserve , keep mind never make reservation ! Limo come though front less 5 minute , chauffer greet we NAME , introduce give we bit history place go . look luxury hotel , plenty SF price tag , Mark Hopkins top chart customer service , well train friendly staff make we feel like home . 
 Jan 1 2008 	 still one good place SF 	 want take wife somewhere special 20th anniversary , know could not go wrong San Francisco . ton research online look great hotel . would disappoint & quot ; deluxe & quot ; hotel past little cautious , Mark Hopkins everything have hope ! book package Travelocity R / t air Honolulu 6 night deluxe king $ 2,100 . everything hotel perfect ! great location near Chinatown , perch Nob Hill 2 cable car line intersect . staff extremely attentive , room beautiful . incredible view window city partial view Alcatraz Golden Gate . bed comfortable marble bathroom great . guest enjoy free entry & quot ; Top Mark & quot ; , world - famous 19th floor penthouse bar , 360 degree view , live jazz 100 martini menu . buy pass good cable car , bus street car , use car city . ( traffic heavy parking expensive . ) original Fairmont across street even opulent , much expensive . sure go least visit famous & quot ; Tonga Room & quot ; . 
 Dec 22 2007 	 Cardiovascular Challenge 	 stay October 2007 book room Priceline . say really not much add not already say . pro : great view , Elegant Setting , Good Location want ot near Chinatown Union Square . con : room nice quite 4 star standard , nickel dime everything ( like every SF hotel ) , prepare walk . since be top hill , walk straight uphill be come tourist destination . 40 year old average fitness run 5 k 3X week . make stupid mistake decide take BART SFO walk hotel . suitcase tow laptop back , make definitely give heart good stress test ! 
 Dec 20 2007 	 beautiful hotel even close hype 	 least expensive hotel stay honeymoon sonoma , monterey san francisco . however , staff especially front desk people act like place 5 + star act like pleasure stay appease we . feel like look nose several occasion . room nice , great view clean date . bed big fluffy . amenity find two square ghirardeli chocolate place pillow evening . want around beautiful people 24/7 blur busy - ness activity . 
 Dec 16 2007 	 nice place so - so service 	 Decent rate ( $ 159 ) hotel beautiful . room nice , clean comfortable . parking $ 50 really insane , wait 20min even get car garage ! Service- poor every restaurant every staff member speak . guess underpaid ? example- stare wait finish meal could clean closing time dot . never ask refill coffee , water- get annoy ask ( cover 3 eat ) still good far outweighs bad , be elegant comfortable hotel , room even low level great good view . 
 Dec 9 2007 	 Classic Hotel Modern Amenities 	 upscale lobby , restaurant , great food , service , classy hotel . worth get deal . top restaurant ( top floor ) outstanding great dance scene local apparently dine dance . upscale , dinner dress / suit type deal . nice staff , elegant , marble lobby , old world charm modern hotel . celebrity stay , like connery other , wonder . highly recommend place anyone stay SF business pleasure . expensive overall , exclusive , private , quiet , accomodate staff . well - run place , love place . 
 Dec 6 2007 	 never 	 pluse great view 17th fl . room , include huge window bathroom , great bellhop , clean room , great location nice toiletry . negative many . call concierge , get answer machine . 4 day check , call back . room sterile / grim . enough light read sitting room . much junk surface , work around Bose radio , permanently attach bedside table , find spot glass book . enough space unpack clothe . breakfast lunch available buffet . way get information call hotel operator . one else answer phone . surly doorman . power assist toilet ( side wall bed ) sound like jet plane , even bathroom door close . expensive internet connection . would immediately check early check fee ! breakfast use spa Fairmount Hotel across street . Top Mark bar rather sad . 
 Dec 4 2007 	 Pleasant Amazing 	 reserve room Mark Hopkins use Priceline website get great deal room . read review reader , figure would not give nicest room , fairly target . assign room third floor view rooftop vent duct system . fair , stand leave window look diagonally right , could see downtown glimpse water - stretch . the room nice , view . bed comfortable , temperature control good , room seem good shape ( little wallpaper peel bathroom , much ) . room come mini - bar , private safe , large closet , two comfy robe . bathroom not well equip - one thin glass shelf put personal item counter space speak . also , supply two bath towel - call housekeeping need . check - in go smoothly , although kind funny receptionist mention fact book Priceline assign room . figure connection ! : ) concierge service helpful , staff general around front desk seem always willing provide recommendation . extra service - WiFi cost $ 12 / day . 's include continental breakfast . get NY Times , opt get 50 cent discount per weekday room . try get exercise room business center , room key would not open door , figure much hassle worry . 's Intercontinental Club Lounge look like add nice service , want use need special membership status willing fork $ 60 per day . top Mark - First , be stay hotel want go Top Mark peak hour , take elevator lobby go back . elevator go restaurant pretty much not stop floor - go straight lobby top . second , busy Top Mark . go , huge crowd lobby wait table . hostess predict long wait time ( tell 25 35 minute table bar ) lot people leave . actually get table restaurant wait less ten minute , seem lose business night over - estimate wait . also , ask hostess could get phone call table available stay hotel , refuse . not seem like terribly great service nice hotel . we drink Top Mark nice . waitstaff also nice . location - location great . large hill deal ( Powell ) , be close Union Square , walk distance China Town short cable car ride Fisherman 's wharf . summary : really pretty nice stay , extra cost de guest really add start make question would choose spend full price room . instead , could pay price much inclusive boutique hotel . definitely worth Priceline price - doubt . pay full price , likely would disappoint . 
