beautiful 	 book hotel June November read TripAdvisor review . read particularyly disturb story shabby bedroom poor service even lady night go business hotel would tempt book elsewhere friend pay full booked option . receive e mail hilton concierge service prior departure reply tell concerned standard room read bad review request refurbish room . recieve reply state request note refurbish room available time check would comply request . arrival check two hour early tell room ready go straight 12th floor . room absolutely fine clean overlook quiet courtyard extremely relieve ! explore public area hotel absolutely beautiful . really impressive hotel fascinating history . everyone hotel helpful , service staff first class could ask . barman mixed cocktail delicious nothing much trouble staff anywhere hotel . trip 50th birthday present friend hotel put bottle spark wine lovely welcome letter room considerate touch . conclusion would thoroughly recommend hotel anyone . lovely time would return future . 
 would not put dog 	 offer & quot ; luxury suite & quot ; compensate previously substandard accommodation e.g . peel paint ( probably lead ) , unclean room , furniture miss part , etc . picture already site pretty much tell story . & quot ; luxury & quot ; suite nothing like brochure would believe . Old 60 's era furniture , utterly unclean . kitchenette still spill coffee previous occupant stove ? not look like clean year . grunge leftover food . downright gross . ruin anniversary . 
 May 9 2009 	 Excellent service though come price 	 hold annual conference Waldorf June 2008 . whole atmosphere around hotel make feel nostalgic ... step movie 1940 . highly recommend ... though come steep price purely room guest . compare lot plush ny hotel frankly , cost differential not much . let us get basic : -accomodation : - room slightly large standard hotel room would find . though must mention , room extremely large enough space fit car . location : - right heart midtown Manhattan . conveniently locate sight see well business meeting . Taxis , subway , bus ... name ... right doorstep hotel . service : - service level immaculate , especially consider host conference 200 people participate . hotel staff dedicate enough ensure need meet ontime , everytime . food : - request special indian dish lunch dinner ... honestly , Paneer Makhanwala Maa - ki - daal good would find indian restaurant . otherwise , have lunch dinner restaurant turn pricey affair . cheer .... 
 May 9 2009 	 Disappointing 	 stay Waldorf two night business . quite excited history name , come away disappointed . stay 6th floor , room small , view brick wall , date furniture wireless internet . order room service room service , 2 egg / coffee juice $ 53 . price , ton well option will never stay . 
 May 5 2009 	 traditional Glamour Charm 	 ' upgrade ' hotel travel agent , find base two - night stay happy accident . room allocate us arrival 10.30am delighted discover spacious twin room decorate traditionally ( lot floral go ! ) . bathroom somewhat date perfectly adequate short stay good supply towel toiletry . we find bar restaurant hotel almost prohibitively expensive , probably due weak Sterling visit . say , couple drink bar near lobby - everyone seem lovely time not want miss ! hotel well locate first time visitor New York want sight - able walk landmark , although always plenty taxi nearby need . be always comfort feel big city pop back hotel drop shopping / freshen head back - Waldorf locate centrally allow we . overall , hotel mean ' fade glamour ' . whilst ' m glad experienced charm Waldorf would probably pick contemporary hotel future visit New York . 
 Apr 27 2009 	 great First Time Stay Waldorf 	 husband celebrate anniversary Waldorf April 2009 . stay extended weekend time live . upon check , ask upgrade give minisuite 42nd ( top ) floor . find suite also double second bedroom Royal Suite , use part - time home Duke Duchess Windsor . room absolutely beautiful window face 50th Street could also see Park Avenue . small foyer , include wetbar refrigerator . bedroom / living area , comfortable king bed ' ve ever sleep , along desk chair , couch , armchair , coffee table , end table entertainment center tv . right bedroom small change area closet safe keep along luggage rack , iron ironing board . dress area bathroom , tub separate shower area . could ask well service . hotel convenient everything couple subway station within block two . would definitely love return Waldorf someday , many city / country want see first . 
 Apr 27 2009 	 average 	 large , impersonal , busy hotel . one bedroome suite spacious enough family four . bedroom lounge good condition , comfortable clean feel cold dark even sunny day . bathroom old date . hear traffic noise . drink food expensive . I find location Sunday brunch main foyer next check desk rather odd . I surprise lack security hotel , anyone could wander in . the hotel ideally locate within easy walk distance many attraction . 
 Apr 26 2009 	 perfect stay . 	 arrival departure everything superb . room clean spacious staff wonderful throughout . there guide tour hotel , actually really great experience . learn lot history hotel get see part hotel would normally see guest , include kitchen . would happily recommend would happily stay . 
 Apr 25 2009 	 Honeslty ? ..... stay name ! 	 Waldorf extremely elegant , famous hotel certainly not disappoint . room huge immaculate , love bathroom , really bright load mirror ! bed fabulous ( mind , exhaust sighseeing would sleep washing line ! ) however New York spend little time room anyway ! say people watch Waldorf fabulous full tux 's ball gown Ugg boot ! fair stay hotel history really make trip New York special ! 
 Apr 24 2009 	 worth moneyyou pay name . 	 Thought would celebrate 50th birthday three friend . the holiday be not cheap , save year . we request adjoining room , do not get later tell adjoining room anyway . room basic cold . heating do not work snow there . Grafitti scrape bedside cabinet , shower / bath knob miss , electric socket work . good friend feel let hotel have not even leave card know celebrate 50th [ do not mind ] complain get back first evening bottle cava box four chocolate leave room . only thing take money friend credit card they . they reply letter email . I would stay clear hotel . 
 Apr 21 2009 	 Fantastic Hotel Experience ! 	 read not - so - flattering reportst Waldorf - Astoria leave . get chance choose hotel part group . pleasantly surprised WA experience ! service second none . take care anything ask . one night , need ice foot . within minute ask , ice bag door . decor upscale elegant . hotel room large spacious . part hotel show age bathroom plumbing . ok though . opportunity dinner Bear Bull . quite expensive , nice . drink lobby twice would anywhere else . food two group breakfast super , perfect way start day . would stay ... probably since 's & quot ; , do & quot ; kind thing . prefer Crown Plaza Time Square hotel . would recommend hotel ? absolutely ! 's great place experience atleast once . on side note ... noticed thought hooker lobby late one evening . sure something see NY hotel & quot ; see & quot ; someone . ' m sure allow upstairs . ( GROSS ) 
 Apr 21 2009 	 Nice Place .... middle road NYC . 	 Wife stay WA long weekend friend . location central Midtown make easy get around . WA 's famous name make sound appeal really . go rip hotel nice let face ... old place .... sort tell . think management do great job wa aging easy tell spot . hotel apparently AC heat ... one . temp 80 degree NYC AC hotel switch . room uncomfortable friend complain . tell open window provide small oscillating fan . funny see cheap little wal mart fan blow around room WA . room small well appoint . bath towel top notch bed nice . 42 inch flat screen cool . check service polite concierge helpful . Bartenders cool recommend great restaurant . wa nice everyone nice could honestly place little disappointing . overall , think problem , friend , WA hotel live big name . say WA think timeless elegance oppulent accomodation . bash WA use something little nicer think seasoned traveler would page . 
 Apr 21 2009 	 Beautiful Hotel good service challenge experience . 	 Waldorf beautiful Hotel comfortable bed helpful staff . location perfect , near liveliest spot far enough allow good night rest . great , non - smoking room smoking room air - ionizer place . hotel double charge account stay , place hold 100 dollar day initial quote possibility & quot ; incidentals & quot ; ( ie . minibar , internet use etc ) . bring hold amount bank account 240 % initial quote . staff defense , tell desk attendant wrong charge correct , manager call correct mistake , 24hrs later correct , paper bank account . television remote never work , tired run city speed not time notice . room clean comfortable . staff , attentive courteous , exception desk clerk , always professional . high expectation hotel , find disappointed correct another billing issue check , time incorrect charge minibar , course hotel favor . everything specifically design seperate hard - work dollar . enjoy stay , double check billing , prepare direct attention poorly handle billing procedure . not nice make stand , take advantage . 
