great 	 husband stay Hilton London Kensington stay London last week . fabulous hotel ! give corner room large room clean comfortable . near tube Shepherd 's Bush walk distance hotel . Westfield Mall nearby shopper 's heaven ! high end regular store ton place eat . husband eat Byron serve burger . food service great . little pricey everything London pricey ! would definitely recommend hotel anyone travel London first time . easy access tube bus , taxis everywhere safe neighborhood ! one negative thing inter 
 small clean . good location . 	 overall , decent hotel . room small side family 3 . clean . good breakfast . location ok , good . 10 min walk tube shopping basic ( well upscale mall ) . 
 wish not bother 	 wife stay Hilton Kensington last weekend ( 27 - 29th Nov 09 short get away busy job . decide stay ta Hilton excellent stay one Hitlon hotel Glasgow ( get engage ) . unfortunately extremely disappointed several aspect stay . select non - smoking room , however room ( 2063 ) receive corridor smell badly cigarette smoke . rang duty manager pleasant offer we two solution - room freshen and/or move room next day hotel fully book . book 2 night stay breakfast one eveening meal . go restaurant ( busy ) show table completely set . Glasgow experience anticipate buffet style meal variety choice . however disappointed find extremely limited unexcite set menu ( need highlight Hilton 's website would probably book without evening meal include ) . option upgrade meal , however supplement question quite exagerate ( example 13 pound go grill chicken dish 15.50 approx al carte menu ) .My wife opt vegetarian option set menu ( vegeterian ) . spinah ricotta tortolleni extremely balnd disappoint feel tesco brand fresh pasta sauce would exciting . wife choose bread butter pudding custard desert . highly disappointed . bread butter pudding dry nothing compare make week previous . custard taste school dinner like certainly powder base . starter bland water ' fresh ' pea soup . main 8pound supplement ( 21.50 la carte menu ) West Eleven ( restaurant name ) fish chip . plate arrive mountain chip , 2 small piece fish ( apparently turbot ) stne cold mushy pea . chip nice tartar suce , whole meal boring . choose set menu lack good choice . dessert mean white choc cheesecake - however available opted stoffee pecan nut cheescake . also bore . summarise meal would say waste money service certainly 4 * .That night go relax room plan busy Saturday . however , sleep 12.30 heard group girl bang door enter room next ( 2061 ) shreke screaming . understand noise , however girl continue get loud intermittent screaming , loud laughter , music , slam door run corridor . continue approx 40 min feel choice ring reception . agree speak rowdy guest . 5 minute later hear member staff knock ask girl kindly keep noise . obviously do not care door close start louder ever . 40 minute later another staff member knock door ( have not make second call assume someone else complain ) . staff member ( introduce manager ) ask quiet . must wait outside room soon knock door inform would leave ahad warn . unfortunately , gril continued ruin supposedly relax stay . end get sleep well 3 am . follow day extremely tired wife decide speak manager disappoint unrelaxing night . duty manager ( female ) helpful understanding say unfortunately unable deduct anything bill pay advance , tell would speak manager could compensate we lose night sleep . return hotel long day give key new room ( 7061 ) size previous room ( relatively small ) , mention make time would compensated previous night . follow morning , relax night 's sleep , go breakfast tell could avail executive lounge , obviously do previous day way compensation unfortunately communicate we , although enjoy relax breakfast lounge , know access previous evening could make use could enjoy complimentry drink canape would feel adequate compensation previous night unfortunately due poor communication feel poorly compensate dissapointing night . on second night go restaurant recommend concierge ( Edera ) - good overpriced lack adequate portion . the hotel situate well original tour bus stop directly opposite hotel . hotelw close shepherd bush tube stationa nd large westfield shopping centre . we come home trip without relaxed overall stay disappointing do not think could could risk book Hilton hotel clearly consistency . 
 good location great service small noisy room 	 Hilton everything right except guest room door slam shut loud enough wake sleep . return London shortly stay repair . this short walk Shepards Bush underground station new mall . 
 Dec 26 2008 	 poorly situate 	 hotel middle nowhere , far tube attraction . room dull , place 3 rotten apple address someone else ( seriously ! ) bowl not really liven . restaurant mediocre hugely overprice , bad thing hotel staff . would charitable call rude incompetent . example : one day key stop work . rather accompany room , passport would confirm room , staff find easy imagine kind nefarious scenario explain would want break room . probably bad experience ' ve ever . 
 Dec 17 2008 	 spell srvice ? neither . 	 really not terrible , close . location fine ( least nearby business meeting ) , cabbie point , Kensington . room clean comfortable , though bit noisy . real problem even heat window open impossible keep temperature reasonably cool level . the real problem , though , service . begin check - in , extend breakfast buffet , lobby bar housekeeping , end check - out * every * thing incredibly slow . bar & amp ; restaurant , problem staffing level , staff assignment . large number & quot ; suit & quot ; busily supervise small number actual worker . even supervision seem entirely oblivious waiting customer . sit bar almost 15 minute notice watch least one party give leave . get coffee * * ( oppose ) breakfast prove beyond capability . end breakfast , skip omelette . omelette cook also responsible replenish rest breakfast buffet , leave omelette dry ( bad ) .normal housekeeping service fine , special request ( & quot ; will right , sir ! & quot ; ) take 45 minute follow - up call . slow service check - in check - out seem matter competence rather staff . one particular clerk seem responsible delay action . unfortunately , senior person assign HHonors desk . 
 Dec 14 2008 	 excellent base see London 	 take wife away overnight London see show stay Kensington Hilton . really convenient Oxford Tube ( bus ) stop right outside collect we next day . initially little apprehensive hotel look like 1970 monstrosity , however , enter pleasantly surprised . become really spacious , clean welcome hotel excellent staff ( especially Rashid concierge help bus route direction etc etc ) . room executive room ( 6035 ) really nice little small tea / coffee make facility , flatscreen tv freeview , safe , internet connection , en - suite , mini bar etc etc . ice make facility corridor provide ice bucket ( Hint - take champagne ) . wife curiously remove item fridge return although automate charge ( previous review ) . room ready arrive early luggage store concierge return . access executive lounge breakfast include . breakfast lovely lot choice . eat morning 0900hrs 2000hrs still full . eat evening comment say room service menu look little extortionate . sleep interrupt moron mess corridor adjoining room night follow Christmas party ground floor apart really good time £ 99 per night reasonable get ( one deal ) . road new Westfield shopping centre great Christmas shopping credit card . definately return excellent base see London use £ 3.50 day bus rover type ticket . good arrive public transport parking £ 37 overnight hotel within congestion charge area . look deal make superb visit London . 
 Dec 14 2008 	 wonderful time 	 brilliant weekend friend . hotel great location , good transport connection area central London . lovely room every facility - great choice breakfast enjoy nice evening meal first night . booked afternoon tea Ritz second night absolutely gorgeous , would highly recomme special treat . fantastic shopping centre open - opposite hotel - amazing selection shop . staff helpful especially consierge - oh anyone find silver diamond pearl earring anywhere hotel - mine ! thank . 
 Dec 12 2008 	 good enough Us 	 arrive early morning ( 9 am ) grant early check hotel receptionist . check breeze service average . we give room 1st floor face main road . room size reasonable price pay opinion . tea coffee facilite together butter shortbread biscuit provide FOC hotel room . toiletry also provide reasonably clean bathroom . room heater take time heat room though . basic tv channel include thai channel ( ' m guess ) Dubai channel available . hotel situate 10 min walk away tube . along way cafe tesco buy H2O from . alternatively , concierge tell we take bus ( can not rem number ) bus stop infront hotel , would take we Picadilly Circus . try cost 2 pound per person . well get day pass tube 5 + pound unlimited number trip within zone 1 - 2.the area surround Hilton safe notice plenty upmarket car park along street . also police vehicle patrol street around 6 + pm . overall , value money hotel would gladly stay next trip ! 
 Dec 8 2008 	 great sightseeing 	 ' ve return weekend break friend find hotel ideal need . arrive around 1 pm room within 15 minute arrive . room ( twin overlook street ) spotless , little small , use sleep size not really issue . bathroom quite spacious complimentary toiletry hairdryer . bed really comfortable - suffer back problem sleep like baby one ! breakfast include rate ( book work get really great deal ) enough keep we go day . staff really friendly , especially concierge helpful direction etc . 's close tube station handy sight shop . I ' ve read mixed review hotel would hesitate recommend short break . great time can not wait go back spring . 
 Nov 30 2008 	 great Stay ! 	 8 year old niece stay hotel Nov 22 - 29 . room clean comfortable . staff friendly take extra step niece . check reception clerk speak niece make feel welcome since first trip London . also quick answer question local area . 10 minute walk tube station . lot shop place eat . would recommend hotel anyone travel London would stay . good job ! 
 Nov 30 2008 	 bad hotel ever stay ! ! 	 stay hundred hotel year country mainly work . possibly worst ever stay in . the room well furnish comfortable small . positive point ! la carte menu Friday night horrendous . speak many people night think exactly same . the food bad ever experience . buffet style main course . cold , dry tasteless ! absolutely disgusting ! hardly eat it . the breakfast follow morning bad , luke warm good wait 10 minute plate ! ! service staff dreadful . ask two people tea coffee , wait 10 minute still arrive ask third time . one couple speak arrive Friday night find blood sink toilet . room clean prior arrival . there also appear lot people complain item go miss . Nintendo DS mobile phone example . also , cost - 5 pound bottle water ! 9 pound cheap glass wine . 33 pound steak - GET real ! ! oh , move item mini bar , even do not take use - charge ! ! 
 Nov 27 2008 	 Nice hotel 	 80 gbp quite good value double breakfast , breakfast Hilton excellent . outside not look great , room nice 's clean . 
 Nov 25 2008 	 value money 100 GBP / night 	 get special rate deal allow book hotel 100 pound / night , go . 's expensive - choose another . the positive side : spacious room , aqequate location ( reach city center 15 - 20 minute ) , safe area , good breakfast . the negative : dusty carpet , old furniture , mostly indian staff , hardly speak english . feel strange try explain need semisweet wine , dry . waiter could not understand word & quot ; semisweet & quot ; keep ask & quot ; Sweets ? need sweet , sir ? & quot ; .I would recommend City Inn Westminster Park Inns . price much high quailty . 
 Nov 24 2008 	 friendly staff expensive internet 	 Hilton London Kensington locate beautiful Notting Hill new Westfield Shopping Centre - prime location London . however be bit far walk next tube station . staff friendly , room warm , cozy Hilton standard . internet 15 GBP per day , way much give mobile internet flatrate laptop cost . otherwise nothing complain ! 
 Nov 23 2008 	 Value money 	 book short break secret deal get 2 night room 2 deluxe hotel £ 138 . staff helpful friendly . room adequate short break . only disappointment twin room double available . however staff offer upgrade executive suite £ 50 per night . if travel tube get Shepards Bush nearer Holland Park . close new WESTFIELD shopping complex night magnificent . 
 Nov 20 2008 	 Pleasant stay 	 since friend frequently indulge perk Diamond status Hilton , guilte crazy quick 4 night stay London stay different Hilton property night maintain status . O.K. , not really guilt , jump chance , 4 hotel four night ? nice hotel residential section border Holland Park Shepherd 's Bush . quick 5 - 8 minute walk Tube station really quiet . room small , adequate . bed comfortable . nice gym weight machine , dumbell several aerobic machine basement . concierge desk quite helpful arrangement complete quickly . entire staff smile quite friendly . overall , good value . 
 Nov 3 2008 	 Top Location 	 great location , 10 min Oxford St , across road large Urban shopping centre Europe . 5 minute walk tube station . the Hotel Staff excellent . 
 Oct 29 2008 	 Holland Park handy base 	 Hotel Holland Park , handy tube 15 minute walk Kensington High Street . we arrive early able check - in straight away . room small comfortable - offer breakfast £ 10 , rather £ 19 .Had drink bar bit steep glass champagne- £ 10 plus 10 % service charge put tab . that aside , staff excellent , location excellent comfortable beds- see people mean door bang big deal . decent hotel . 
 Oct 28 2008 	 Nice Stay 	 see hotel Hotukdeals website snap £ 60 BB two adult . know London Hotels steal ! park outside London get tube Holland Park book early .. would reccomend parking hotel price steep must pay congestion charge also . I check although room ready ( expect ) check luggage free Conc' . return fantastic day Camden Town Covent Garden pick Key Card retire night . room clean ' compact ' ( size expect London Hotels ) - modern decor nice big LCD foot bed watch MOTD ..... perfect . nice hot shower morning big breakfast ( mine include tariff would baulked bit £ 20 head ! ! ) .checke skip feel good ! ! staff friendly helpful especially Georgina answer every email enquiry visit within minute . when deal come round book sure ... 
 Oct 22 2008 	 great location 	 stay 4 night room overlook street front hotel . small size compare australian hotel large compare London hotel . room clean comfortable . staff helpful busy huge number guest . location hotel great tourist bus leave across road hotel entrance - ( hop hop bus ) . tube station easy walk hotel pass lot shop way . breakfast buffet style busy hard find seat . 
