room 	 would highly recommend hotel - fantastic spot Manhattan ( walk distance 5th Ave subway etc ) be neat , tidy decent price . our room 2 single bed inside , must admit much small expect , not bother we one bit - be New York , be go spend extend amount time room , be crazy ! tiny room suit we sleep . clean comfortable within budget ( $ 1000 5 night - book expedia ) .I highly recommend hotel would definitely stay . 
 Dec 12 2008 	 thumb 30 30 	 return stay 30 30 good comment . can not understand people complain , use 5 * book 3 * - think might something ! would definately stay , room clean , definately small , towel change , bathroom clean bed make every day . staff could helpful , especially check wait come home phone battery die , ask reception staff would mind charge phone , problem . ok , staff English / American , however many hotel UK full team local staff ? restaurant attach hotel , Zana 's ideal breakfast , however would definately suggest Crooked Knife across road evening meal even pre / after night drink . ideally locate subway , 3 block around corner , 5 minute walk . Macy 's , Empire State Building much much within walk distance . as Travel Agent UK would definately recommend client clean base budget look comfortable ideally locate base friendly staff . right mind come city like New York admire hotel room , certainly , life short worry silly little thing , get see city offer believe everything . stress usual 5 * deluxe guest may find quite standard . 
 Dec 11 2008 	 fantastic experience 	 reading review little worried Thirty Thirty - pleasantly surprised hotel . room fantastic ( deluxe two queen bed ) , bathroom huge clean staff pleasant . location brilliant - literally walk everywhere . close subway . great little mexican place call Dos Caminos block away Park Ave - fantastic . cute pub across street - Crooked Knife . not sure people review hotel staying - love would definitely return . 
 Dec 9 2008 	 good location clean desk staff ok .... 	 intial thought good , lobby nice clean check staff member speak break english try tell reservation follow day . several minute explain know suppose arrive take receipt show correct . state would charge additional $ 10 change date even though fault hotel web site book ... people wrong date 30 - 30 ... staff member seem phone friend loud unprofessional . bell man excellent however ... fine room small although clean , shower hot , bed numerous pillow comfortable . location good midtown close time square greenich village go way .. staff helpful ( besides bellman ) question place eat .. etc .... bartender attach resturant nice outgoing 
 Dec 1 2008 	 brilliant family room 	 visit New York england 5day visit september celebrate mums 50th . book family room could stay together . arrival check great , doorman take luggage straight room . the family size room great ! ! compare photo see room I m sure triple size ! two double ( king sized ) bed , two tv ( one face towards bed , face lounge area ) sofa , arm chair , two large window overlook street below . the shower quite large , although temperature seem little annoying get right . lot wardrobe draw space good be long visit want unpack . however room iron board+iron , coffee machine safe . 
 Nov 25 2008 	 Excellent 	 stay Thirty Thirty 4 night happy hotel . staff friendly helpful , room big expect clean comfortable . location ideal convenient ( Empire State Building around corner ! ) . would definately stay would recommend hotel . 
 Nov 18 2008 	 Loved ! 	 read review Thirty Thirty , pretty worried forthcoming visit ! however , nothing worried ! stay 5 night November 11th . arrive tired flight London warm welcome , able check early . room big - book standard room , maybe get lucky . clean , big bathroom , kitchenette , tv , safe , hairdryer etc etc . daily maid service , reception staff deal friendly helpful . not notice dirtyness bad smell other comment ! hotel also great location . would definitely recommend hotel other ! 
 Nov 17 2008 	 absolutely fantastic 	 Stayed Thirty Thirty hotel boyfriend 5 night 10th November 15th . arrival find reception staff welcome , helpful friendly . booking go standard room read previous review web set hope room would ok . request stay front hotel request honour . arrive room find extremely clean , yes standard size go New York standard room large . plenty space suitcase shopping bag . room large double bed , side locker , large lamp , tv modern painting . bathroom fine , toilet , sink , shower , standard size issue . room clean daily basis towel change . mid week sheet etc change bed . morning paper deliver room , extra charge , standard hotel guest receive also . ask direction tourist attraction find reception staff absolutely fabulous caring making sure get every wanted go . also restaurant across road hotel also read previous review strongly recommend restaurant . '' Crooked Knife '' food beautiful , dine three five night , value money , quality food service second none . also small bar attach restaurant could go drink dinner like . first time New York book hotel reading review nervous hotel honestly would hesitation recommend hotel stay future . 
 Nov 17 2008 	 Brilliant 	 would return ; stay hotel 5th Nov 08 reading review little worried arrival know nothing worry . reception area clean useful info lobby area , staff extremley helpful throughtout stay . our room small expect new york , bed comfy large , tv , safe chair bathroom clean , problem , view thirty street much look never room really . location hotel great 2 minute 5th Avenue ten minute walk time square- go madisson square garden watch joe calzaghe fight hotel perfect take we 5 minute walk . Gordan Ramsey 's restaurant must New York find fantastic value $ 35pp 3 course maze section . eat Crooked Knife accross thirty thirty 2 course come £ 75 nice do not compare.overall find hotel new york great ! ! 
 Nov 13 2008 	 delighted 	 girlfriend stay Thirty Thirty 5 night Oct.2008.We book Premium king room hotel website . ( think Premium King available directly hotel ) room spacious- like suite room . sofa bed king size bed . bed lovely . sleep window open find quiet . room clean temperture problem . Bathroom modern though light poor . staff friendly . location good . we delight room would recommend hotel other . 
 Nov 13 2008 	 great budget hotel 	 stay thirty thirty 4 night last week , read previous review anxious hotel pleasantly surprie . check early want smoking room provide problem even though have not request booking ..... room small bathroom tiny big shower comfortable bed .... clean call every day tide leave fresh towel etc . .. staff throught hotel helpful polite . want somewhere fairly central , clean comfortable satisfied thirty thirty plan stay next year return trip ! ! ! 
 Nov 1 2008 	 ' lose ' booking leave we strand 	 Thank goodness call ... book two room recent birthday trip new york , send email hotel add another room , reply send we say would honor reservation already . lose ! expect apology attempt make amend treat disinterest . although room leave , expect we pay premium rate last minute booking . disgraceful . avoid cost . 
