security 	 glow review , sadly , would actively steer people away hotel . everything go along nicely 3 night stay -- think price right , location good room amenity nice . unfortunately , money vanish room safe would feel safe stay hotel .... recommend hotel friend colleague . fact : stay hotel 3 night mid November . stay , use hotel safe valuable extra cash would not carry street . night check , take valuable cash safe , leave $ 250 safe lock security code . check next day though experience traveler always check room thoroughly check , forget empty safe . leave hotel 10 a.m. realize mistake 4 pm immediately call hotel . supposedly , security person duty go room use hand hold device ride personal security code . wait hold check room . get back phone , say , & quot ; ' m sorry , safe empty & quot ; .Of course , word mine , see money safe know lock left room . one open safe meantime , would explain vanish act ? next talk head security hotel several time . first conversation , say personally go security person safe open . next conversation , press whether SAW safe open empty , retract early statement say , & quot ; , not go room , stay elevator . & quot ; therefore , person open safe witness . find revelation bit disturbing . change story ? next , ask speak hotel manager . wait 5 hour receive call back . apologize behalf hotel , could not explain discrepancy security staff 's story promise & quot ; get bottom situation get back & quot ; . say look forward full report wish could get money back , concerned hotel institute well security system follow . nearly two week since incident not hear anything manager ...... credit , offered offer complimentary stay future visit , issue fully investigate resolve , would not feel safe staying hotel . so .... stay Empire Hotel , remember well carry valuable . money lose , could upgrade well ( safe ) hotel . one point , stay , lobby close entire day tv show , Gossip Girl film . ' m sure hotel compensate use space , add nothing inconvenience stay go alternate entrance , etc . make feel like hotel try use space make much money possible without concern might affect guest . mention issue front desk staff , say lobby use film crew nearly every week , one situation , on - go inconvenience future guest . 
 Closet -- -- joke ! 	 absolute bad hotel ever stay ! small understatement . closet size space . broken window . iron . bathroom disgusting . huge disappointment . picture website suite .... not fool . 
 Mar 24 2009 	 nice hotel complaint 	 First Complaint would parking price $ 65 per night find parking ICON Garage right around corner- advance reservation online $ 70 weekend . walk get really warm feel friendly doorman semi friendly front desk staff . room bite small bad ... bathroom small european door- kinda neat ... would want home hotel fine . location wonderful - Central Park right ! another compaint ice machine anywhere- must call room service ice bring small bucket chance need call one person ... welll needless say mean tipping . feel like tip frozen water . something would glad get keep money . room service close 11 pm Sat night understand ice 11 pm . call wine glass 3 time take almost 2 hour get end drink wine outta bathroom glass . work . complaint clean room Sat . never put new wash clothe use face towel Sunday . housekeeper nice give we slipper ... make sure ask room check robe . Overall~ lovely time may return look uptown area . 
 Mar 23 2009 	 fantastic hotel 	 recently stay empire hotel 5 day say ignore bad review unsure go read review need fantastic room nice clean maid service every day fresh linen also turn service free charge nite leave sweet treat room aftreward definately wow factor walk staff friendly helpfull thing moan hotel expensive new york expect cheap holiday , excellent mini market next door also starbuck right door step nice restaurant next door cheap thow bye hopper ticket go town save yourselfs money pool hotel open till may thow good nite life hotel top floor , excellent poistion central park times square , last note visit hotel sure dissappointe enjoy fun spend spend spend xxxx 
 Mar 15 2009 	 great hotel zero personality reception desk 	 Stayed Empire Tuesday night early March . reserve smoking room even though early afternoon non available . smoking room leave hotel one room upgrade require upgrade price along . three front desk personnel brusque disintereste . Room nicely appoint , warm even HVAC . shower door , curtain shower base ( drain bathroom floor ) water cover entire bathroom floor carpet room . quite mess . lobby bar nice great service . coffee available morning outside around corner Starbucks . 
 Mar 11 2009 	 nothing spectacular nice hotel great locaiton 	 frequent business traveler NYC , Empire Hotel nothing ordinary good hotel city . this modernized hotel asian influence right West Elm offer room small side extremely small bathroom ( 1 person ) . king size bed comfortable large chair corner small desk locate directly wall mount flat screen tv make uncomfortable work . closet small . 's much room quiet clean . the lobby bar open invite Center Cut , new steak house second floor offer good meal . overall comfortable , clean quiet . three great thing NYC hotel room Empire Hotel nothing special . 
 Feb 27 2009 	 fantastic stay empire 	 get amazing deal Travelzoo , although ' ve stay around NY , have never hear Empire . WOW , great stay . location incredible ; literally across street Lincoln Center . 's extremely close several subway stop , shop Columbus Circle , ton place eat . lobby fantastic . be get glamorous 20 's feel , luxurious inviting time . staff , doorman , front desk staff , clean staff friendly helpful every turn . give free mojito night stay , live music fun . room , small , knock . incredibly clean , comfy bed , beautifully decorate . shower thing little weird , not bother . friend stay another room , AC / heating unit not work , roasted night , sure check . perfect , great night . keep look see great rate , can not wait go back ! 
 Feb 12 2009 	 absolutely terrible . 	 stay Empire travel work September last year . lobby decor fantastic even room great design . issue service rodent . I check hotel , get ready bed , usual check bed bug ( since good friend run , would rather avoid ) . pull mattress back , boxspre COVERED RAT DROPPINGS . . . BED.Unacceptable . call front desk ask please change room ( would change hotel late ) . get push back change room ... keep say , ' you kid , RAT DROPPINGS BED . ' finally , get assign new room . meet bell hop new room , tell put credit card next key would happen . um , ? tell , ' ' m sure think ' m change room ( pajama ) be certainly lock . dropping bed . ' anyway , rest trip go like . one coworker could not sleep night scratch wall ( rat ) another awoken 2 someone try get door . when try get refund room , not even get call back . leave least 4 message manager . much well hotel much well value NYC . 
 Jan 29 2009 	 Front Desk Staff need improvement 	 although live area , stay Empire business reason . location ( across Lincoln Center ) can not beat ( choose . spend lot time Lincoln Center ) .The lobby Empire wonderful inviting . however , front desk could not less interested guest -- least one . perhaps tell work medium ? might change tune . poor customer service , upon checkout . the room ( deluxe ) okay -- especially since look Lincoln Center . however , be excuse , price , cheap armoire ( call armoire generous ) .also , bathroom ( mine not tiny ) horrible . there room cosmetic , toothbrushe anything . the sink problem -- not drain properly . plus lighten atrocious . shower okay , even half open glass panel ( not leak onto floor ) .as other say , room overheat . shut heat totally , even though chilly . turn occasionally warm thing bit . it nice desk room , extra plug near desk . unplug light use computer ( use w/o battery ) . 's poor planning . on positive note , bed comfortable , housekeeping staff quite nice . doorman ( cute young guy ) especially cheerful ( welcome ) . 
 Jan 27 2009 	 Disappointed hotel 	 arrrive 2.45pm tell room ready yet check 3.15pm still ready eventually check 4.30pm even offer refreshment wait - find room small dark bathroom even small could open door sit loo 's little room - heater turn continually make noise could not leave night - window stiff could not open - back hotel humming noise night come heating system - family staying room front hotel get sound traffic night plus building work 8.00am morning - extra charge add account tell discover credit card account - email hotel several time get reply - definately would recommend hotel anyone . 
 Jan 25 2009 	 Upscale trendy Hotel 	 new trendy hotel close proximity Central Park . 10 dollar cab ride Penn Station . room nice , tiny . expect NYC not break bank . 
 Jan 24 2009 	 Nice hotel 	 attend event Lincoln Center bid Priceline , use strategy make likely would get Empire Hotel . pay $ 150 night 60 % rack rate happy price . upon checkin , ask could get room high floor street view let upgrade reasonable surcharge . room great , king - size bed many nice amenity , like comfortable bathrobe fresh flower . doorman check - out clerk , staff deal weekend pleasant helpful never encounter attitude book Priceline . good part hotel location since be right middle many restaurant , shop activity away tackiness Times Square . great time Empire Hotel would delight stay . 
 Jan 21 2009 	 GREAT price GREAT location NICE Room 	 stay Empire Hotel January 16 January 20 , 2009 . mother law actually couple day long , 14th . travel californian mother law ( 60 's ) , husband , two girl , age 12 9 , Ohio . book two Superior double room Expedia , DIRT CHEAP compare anything else -- $ 200 plus tax per night . stay Empire lot kid Opera trip parent , know location feel comfortable . also read online Empire recently undergo complete renovation . one thing remember , unless want pay gazillion per night room , NEW YORK HOTEL ROOMS SMALL . also recently stay Time hotel , room size Empire comparable bit big . book two adjacent Superior Doubles , get 2 room overlook street third ( actually 5th , way count floor ) floor . room two double bed lovely linen . bed , comfortable . also small desk , flat screen tv , bench - type thing two drawer , small closet safe minibar . room small , clean , comfortable , manner ( excuse 's ) three us room fine . bathroom tiny . one person time . find typical New York not bother . always bring earplug suburbanite , use lot noise beyond cricket bird . street noise , nothing unlike anyplace else New York . service good . always doorman two get door , offer help luggage , hail cab . concierge help print boarding pass ( although rest desk staff would not , say speak concierge ) . staff make good breakfast recommendation , help direction , etc . keep bowl apple reservation desk , nice . think girl eat share . . . . lobby gorgeous , girl want stay lounge . nice touch like cookie bed turndown service , extra soft blanket fold bottom bed not & quot ; unmake & quot ; nap , lot pillow , amenity ( shampoo / soap / sewing kit / body wash / lotion / robe / hair dryer ) expect . can not beat location . block two Central Park , Tavern Green block north , Lincoln Center directly across street , Museum Natural History easy walk north , Theatre District easy walk south . Times Square , Rockefeller Center , Radio City , etc . easy walk distance . ton eat option . Metro close , cab easy get , .It sub - zero temperature first couple day stay , room chilly ( unbearable ) . like way , not ask help thermostat . mother law like cold , come adjust interior valve heating unit heat , room toasty . nothing wrong heater , cold , able adjust they . my picky picky picky husband kid love hotel , say would come back ( tend stay JW Marriott hotel , W , Kimpton , etc . ) . first trip NYC , think preppe prepare small room bathroom help expectation . want go back , stay . would even pay , since think rate will rarely see ! 
